Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Book,Pages,Conference
Speech/music classification using features from spectral peaks,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2020/5/7,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",28.0,,IEEE,"Spectrograms of speech and music contain distinct striation patterns. Traditional features represent various properties of the audio signal but do not necessarily capture such patterns. This work proposes to model such spectrogram patterns using a novel Spectral Peak Tracking (SPT) approach. Two novel time-frequency features for speech vs. music classification are proposed. The proposed features are extracted in two stages. First, SPT is performed to track a preset number of highest amplitude spectral peaks in an audio interval. In the second stage, the location and amplitudes of these peak traces are used to compute the proposed feature sets. The first feature involves the computation of mean and standard deviation of peak traces. The second feature is obtained as averaged component posterior probability vectors of Gaussian mixture models learned on the peak traces. Speech vs. music classification is …",15,"Speech/music classification using features from spectral peaks
M Bhattacharjee, SRM Prasanna, P Guha - IEEE/ACM Transactions on Audio, Speech, and …, 2020
Cited by 15 Related articles All 2 versions","{'2021': 4, '2022': 10, '2023': 1}",,1549-1559,
A system for semantic segmentation of TV news broadcast videos,"Raghvendra Kannao, Prithwijit Guha",2020/3,Multimedia Tools and Applications,79.0,,Springer US,"TV news channels present rich and complete experience of various events through audio-visual content. This makes television news an influential medium to affect masses and thus persuaded various social scientists and regulators to monitor and analyze the content of broadcast videos. An organized archive of newscast is a prerequisite for any such analysis. Creating such archive requires segmentation of continuous news videos into suitable logical units. Based on the application, these logical units may be one of channel content obtained after advertisement removal, different shows, news stories or video shots. In this work, we propose an end to end system with software architecture for segmenting the TV broadcast videos at all these four granularities. The videos are segmented into shots. Video shots are used as basic unit for all further processing. Video shots are first subjected to advertisement …",1,"A system for semantic segmentation of TV news broadcast videos
R Kannao, P Guha - Multimedia Tools and Applications, 2020
Cited by 1 Related articles All 3 versions",{'2022': 1},,6191-6225,
Exploration of excitation source information for shouted and normal speech classification,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2020/2/25,The Journal of the Acoustical Society of America,147.0,2.0,Acoustical Society of America,"Discrimination between shouted and normal speech is an essential prerequisite for many speech processing applications. Existing works have established that excitation source information plays a significant role in shouted speech production. In speech processing literature, various features have been proposed to model different aspects of the excitation source. The principal contribution of this work is to explore three such features, Discrete Cosine Transform of Integrated Linear Prediction Residual (DCT-ILPR), Mel-Power Difference of Spectrum in Sub-bands (MPDSS), and Residual Mel-Frequency Cepstral Coefficient (RMFCC), for shouted and normal speech classification. The DCT-ILPR feature represents the shape of the glottal cycle, MPDSS estimates the periodicity of the excitation source spectrum, and RMFCC characterizes smoothed spectral information of the excitation source. The authors have also …",5,"Exploration of excitation source information for shouted and normal speech classification
S Baghel, SRM Prasanna, P Guha - The Journal of the Acoustical Society of America, 2020
Cited by 5 Related articles All 5 versions","{'2021': 3, '2022': 2}",,1250-1261,
Analysis of excitation source characteristics for shouted and normal speech classification,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2020/2/21,,,,IEEE,"The present work is aimed at analysing the excitation source characteristics of normal and shouted speech. In this context, we analyze the Differenced Electroglottogram (DEGG) signal corresponding to different vowels. This work proposes two novel excitation source features that are estimated from DEGG signal. These features are (a) Open Phase Triangle Area (OPTA) and (b) Flatness of Glottal Cycle (FoGC). OPTA captures the effect of open phase duration and slope of DEGG signal. FoGC measures the change in source characteristics due to strength of excitation (SoE) and pitch period. A practical issue in using the proposed features is the unavailability of DEGG signal in most speech processing applications. To overcome this problem, the integrated linear prediction residual (ILPR) signal estimated from speech is considered as an approximation of DEGG. We show that the proposed features can be computed …",2,"Analysis of excitation source characteristics for shouted and normal speech classification
S Baghel, SRM Prasanna, P Guha - 2020 National Conference on Communications (NCC), 2020
Cited by 2 Related articles All 2 versions",{'2021': 2},,1-6,2020 National Conference on Communications (NCC)
Segmenting with style: detecting program and story boundaries in TV news broadcast videos,"Raghvendra Kannao, Prithwijit Guha",2019/11,Multimedia Tools and Applications,78.0,,Springer US,"Television news is an important medium to convey information to masses. This motivates several stakeholders to monitor and analyze the news broadcasts. Segmentation of streaming broadcast into programs and stories is a necessary first step for such analysis. Television news producers use predefined and unique presentation styles to create the channel content. Presentation styles vary with program and news story category, broadcast time, targeted audience etc. This motivated us to use presentation styles as features for segmenting news broadcasts. We propose a novel approach for characterization of spatio-temporal presentation styles. This involves characterization of spatial styles using a set of (presentation style specific) semantic shot categories derived from LSCOM-Lite Ontology. We also identify features and classifiers to automate the process of shot labeling for spatial style characterization …",9,"Segmenting with style: detecting program and story boundaries in TV news broadcast videos
R Kannao, P Guha - Multimedia Tools and Applications, 2019
Cited by 9 Related articles All 4 versions","{'2019': 1, '2020': 1, '2021': 4, '2022': 3}",,31925-31957,
Visual Object Tracking Using Perceptron Forests and Optical Flow,"Gaurav Nakum, Prithwijit Guha, Rashmi Dutta Baruah",2019,,,,Springer International Publishing,"This work proposes a new approach for target representation and candidate proposal selection to track single objects in videos. Constructing an appearance model that is robust to visual appearance changes is a challenging problem in visual tracking. Typically, complicated models are used to achieve this robustness. However, such models have high computational cost and thus, are not suitable for real-time tracking. In this paper, we propose a visual tracking algorithm in which target objects are represented by compact low-dimensional codes, constructed using perceptron forests. We employ the highly successful tracking-by-detection framework to use these representations for training an online discriminative classifier to separate the object from the background. Moreover, the candidate proposals are generated from a two-phase strategy. First, we employ dense optical flow to estimate the geometric …",0,"Visual Object Tracking Using Perceptron Forests and Optical Flow
G Nakum, P Guha, RD Baruah - Pattern Recognition and Machine Intelligence: 8th …, 2019
Related articles All 2 versions",{},,525-532,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II"
Shouted and normal speech classification using 1D CNN,"Shikha Baghel, Mrinmoy Bhattacharjee, SRM Prasanna, Prithwijit Guha",2019,,,,Springer International Publishing,"Automatic shouted speech detection systems usually model its spectral characteristics to differentiate it from normal speech. Mostly hand-crafted features have been explored for shouted speech detection. However, many works on audio processing suggest that approaches based on automatic feature learning are more robust than hand-crafted feature engineering. This work re-demonstrates this notion by proposing a 1D-CNN architecture for shouted and normal speech classification task. The CNN learns features from the magnitude spectrum of speech frames. Classification is performed by fully connected layers at later stages of the network. Performance of the proposed architecture is evaluated on three datasets and validated against three existing approaches. As an additional contribution, a discussion of features learned by the CNN kernels is provided with relevant visualizations.",4,"Shouted and normal speech classification using 1D CNN
S Baghel, M Bhattacharjee, SRM Prasanna, P Guha - Pattern Recognition and Machine Intelligence: 8th …, 2019
Cited by 4 Related articles All 3 versions","{'2021': 2, '2022': 2}",,472-480,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II"
Time-frequency audio features for speech-music classification,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2018/11/3,arXiv preprint arXiv:1811.01222,,,,"Distinct striation patterns are observed in the spectrograms of speech and music. This motivated us to propose three novel time-frequency features for speech-music classification. These features are extracted in two stages. First, a preset number of prominent spectral peak locations are identified from the spectra of each frame. These important peak locations obtained from each frame are used to form Spectral peak sequences (SPS) for an audio interval. In second stage, these SPS are treated as time series data of frequency locations. The proposed features are extracted as periodicity, average frequency and statistical attributes of these spectral peak sequences. Speech-music categorization is performed by learning binary classifiers on these features. We have experimented with Gaussian mixture models, support vector machine and random forest classifiers. Our proposal is validated on four datasets and benchmarked against three baseline approaches. Experimental results establish the validity of our proposal.",11,"Time-frequency audio features for speech-music classification
M Bhattacharjee, SRM Prasanna, P Guha - arXiv preprint arXiv:1811.01222, 2018
Cited by 11 Related articles All 2 versions","{'2020': 3, '2021': 5, '2022': 2, '2023': 1}",,,
Visual tracking with breeding fireflies using brightness from background-foreground information,"Pranay Kate, Mathew Francis, Prithwijit Guha",2018/8/20,,,,IEEE,"Visual target tracking involves object localization in image sequences. This is achieved by optimizing image feature similarity based objective functions in object state space. Meta-heuristic algorithms have shown promising results in solving hard optimization problems where gradients are not available. This motivated us to use Firefly algorithms in visual object tracking. The object state is represented by its bounding box parameters and the target is modeled by its color distribution. This work has two significant contributions. First, we propose a hybrid firefly algorithm where genetic operations are performed using Real-coded Genetic Algorithm(RGA). Here, the crossover operation is modified by incorporating parent velocity information. Second, the firefly brightness is computed from both foreground and background information (as opposed to only foreground). This helps in handling scale implosion and explosion …",5,"Visual tracking with breeding fireflies using brightness from background-foreground information
P Kate, M Francis, P Guha - 2018 24th International Conference on Pattern …, 2018
Cited by 5 Related articles All 2 versions","{'2019': 1, '2020': 1, '2021': 3}",,2570-2575,2018 24th International Conference on Pattern Recognition (ICPR)
Excitation source feature for discriminating shouted and normal speech,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2018/7/16,,,,IEEE,"Dynamics of shouted speech production significantly vary from that of normal speech. These variations can be analyzed from excitation source information by using differenced electroglottogram (DEGG) signal. This work has two contributions. First, the proposal of a novel Glottal Open Phase Tilt (GOPT) feature derived from DEGG signal for discrimination of shouted and normal speech. Second, the construction of a database of speech and corresponding EGG signals for performance analysis of the proposed feature. In case of shouting, vocal folds vibrate faster and close abruptly. This leads to relative proximity of glottal opening and the following closing instances. This motivated the proposal of tilt feature for discriminating shouted from normal speech. The proposed feature is also extracted from ILPR signals that are known to approximate DEGG signals. Experiments on the collected dataset have provided shouted …",7,"Excitation source feature for discriminating shouted and normal speech
S Baghel, SRM Prasanna, P Guha - 2018 International Conference on Signal Processing …, 2018
Cited by 7 Related articles All 2 versions","{'2020': 2, '2021': 3, '2022': 2}",,167-171,2018 International Conference on Signal Processing and Communications (SPCOM)
Progressively balanced multi-class neural trees,"Ameya Godbole, Spoorthy Bhat, Prithwijit Guha",2018/2/25,,,,IEEE,"Decision trees are discriminative classifiers that hierarchically partition the input space to achieve regions containing instances having uniform class label. Existing works in this area have mostly focused on C4.S trees that learn axis aligned partitions. On the other hand, neural trees learn oblique partitions from data and use lesser number of decision nodes hosting perceptrons. However, these perceptrons are susceptible to data imbalances. This motivated us to propose a progressively balanced neural tree where training dataset are balanced prior to perceptron learning. The second contribution is the optimization of the decision function with respect to entropy impurity based objective functions. This formulation also allows a parent node to have more than two child nodes. The proposed algorithm is benchmarked on ten standard datasets against three baseline multi-class classification algorithms.",2,"Progressively balanced multi-class neural trees
A Godbole, S Bhat, P Guha - 2018 Twenty Fourth National Conference on …, 2018
Cited by 2 Related articles","{'2021': 1, '2022': 1}",,1-6,2018 Twenty Fourth National Conference on Communications (NCC)
