Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
A DNN-based low power ECG co-processor architecture to classify cardiac arrhythmia for wearable devices,"Meenali Janveja, Rushik Parmar, Mayank Tantuway, Gaurav Trivedi",2022/1/25,IEEE Transactions on Circuits and Systems II: Express Briefs,69.0,4.0,IEEE,"In this brief, a Deep Neural Network (DNN) based cardiac arrhythmia (CA) classifier is proposed, which can classify ECG beats into normal and different types of arrhythmia beats. An optimized fixed length beat is extracted from a time domain ECG signal and is fed as an input to the proposed classifier. This fixed sized input beat obviates the need to extract handcrafted ECG features and aids in the optimization of our proposed design. The classifier presented in this brief exhibits better or comparable classification accuracy than the previously reported methods, which utilize complex algorithms for CA classification employing patient-independent(subject-oriented) approaches. Moreover, the proposed CA classifier consumes at , when implemented using Bulk CMOS technology. The low power realization of the proposed design as compared to well-known state-of-the-art methods makes it …",8,"A DNN-based low power ECG co-processor architecture to classify cardiac arrhythmia for wearable devices
M Janveja, R Parmar, M Tantuway, G Trivedi - IEEE Transactions on Circuits and Systems II: Express …, 2022
Cited by 8 Related articles","{'2022': 5, '2023': 3}",2281-2285,,,,
Proceedings of Emerging Trends and Technologies on Intelligent Systems,"Arti Noor, Abhijit Sen, Gaurav Trivedi",2022,,,,Springer Singapore,"The series “Advances in Intelligent Systems and Computing” contains publications on theory, applications, and design methods of Intelligent Systems and Intelligent Computing. Virtually all disciplines such as engineering, natural sciences, computer and information science, ICT, economics, business, e-commerce, environment, healthcare, life science are covered. The list of topics spans all the areas of modern intelligent systems and computing such as: computational intelligence, soft computing including neural networks, fuzzy systems, evolutionary computing and the fusion of these paradigms, social intelligence, ambient intelligence, computational neuroscience, artificial life, virtual worlds and society, cognitive science and systems, Perception and Vision, DNA and immune based systems, self-organizing and adaptive systems, e-Learning and teaching, human-centered and human-centric computing …",0,"Proceedings of Emerging Trends and Technologies on Intelligent Systems
A Noor, A Sen, G Trivedi - 2022
All 4 versions",{},,,,,
Performance Improvement Techniques in Shell-and-Tube Type of LHS Unit,"Berihu Gebreyohannes Abreha, Pinakeswar Mahanta, Gaurav Trivedi",2022,,,,Springer Singapore,"This study presents a thermal performance comparative study of three shell-and-tube latent heat storage (LHS) models. With the help of the optimization technique, 19 tubes are chosen with an internal and external diameter of 17 mm and 20 mm, respectively. In the first case, the LHS model is considered without fins. In the second case, the LHS model is also modeled without fins, but the phase changing materials (PCM) are mixed with 5% volume fraction of Cu nanoparticles. In the third case, every HTF tube is supported by four fins. In order to maintain the same volume of PCM in all the models, shell diameter of the first LHS model is 235 mm and for the second and third cases, the diameter is set to be 240 mm. Commercial sugar alcohol known as Erythritol (C4H10O4) is considered as PCM. ANSYS Fluent environment is employed for the numerical modeling and solution of the governing equations …",0,"Performance Improvement Techniques in Shell-and-Tube Type of LHS Unit
BG Abreha, P Mahanta, G Trivedi - Advances in Thermofluids and Renewable Energy …, 2022
Related articles All 2 versions",{},153-163,,Advances in Thermofluids and Renewable Energy: Select Proceedings of TFRE 2020,,
An area and power efficient VLSI architecture for ECG feature extraction for wearable IoT healthcare applications,"Meenali Janveja, Gaurav Trivedi",2022/1/1,Integration,82.0,,Elsevier,"The mortality rate due to cardiac abnormalities is enormous, making the development of wearables to monitor functioning of the heart of paramount importance. In this paper, wepresent a resource efficient and low power architecture using Integer Haar Wavelet Transform for the complete delineation of ECG signal. The novelty of the algorithm lies in the use of single scale wavelet coefficients to delineate P-QRS-T features making it computationally simple. The proposed architecture is implemented using Xilinx FPGA ZedBoard Zynq™− 7000 platform, and utilises only 4.38% of the available resources. It is synthesised using 180 nm CMOS technology consuming 0.88 μ W power, making it area as well as power-efficient for the wearable IoT healthcare devices.",5,"An area and power efficient VLSI architecture for ECG feature extraction for wearable IoT healthcare applications
M Janveja, G Trivedi - Integration, 2022
Cited by 5 Related articles All 2 versions","{'2022': 2, '2023': 3}",96-103,,,,
An FPGA based electromagnetic transient analysis of power distribution network,"Swati Shukla, Abhishek Agrawal, Balbir Singh, Gaurav Trivedi",2022/1/1,Electric Power Systems Research,202.0,,Elsevier,"The electrical power distribution network (PDN) is in the transition phase due to the integration of distributed energy resources (DERs). Therefore, an accurate and efficient modeling and simulation platform is the need of the hour to determine the dynamic behavior of the PDN. The recent computational hardware, such as GPU, FPGA, etc. enables new simulation paradigm and develop a more realistic platform in the form of system emulators. In this paper, an FPGA based electromagnetic transient (EMT) simulation framework for the PDN is presented. Conjugate-gradient (CG) based electrical network solver is implemented in the proposed framework, and a test case is analyzed for Jail substation of Guwahati city, India, to validate the simulation environment. It has been compared with the MATLAB based implementation for verifying its accuracy. The proposed EMT simulator is approximately 12.5 times faster as …",2,"An FPGA based electromagnetic transient analysis of power distribution network
S Shukla, A Agrawal, B Singh, G Trivedi - Electric Power Systems Research, 2022
Cited by 2 Related articles All 2 versions",{'2022': 2},107577,,,,
A Dual-Stage Attention based RNN-Model for Short Term Load Forecasting of Individual Household,"Praveen Tiwari, Pinakeswar Mahanta, Gaurav Trivedi",2021/12/9,,,,IEEE,"In the modern power distribution systems, Short-Term Load Forecasting (STLF) is helpful in effective load scheduling and control. Lately, smart meters are being introduced to industrial and domestic consumers to enable two-way energy flow and robust communication between the consumer and the utility. The smart meters provide sufficient data for the training of artificial intelligence(AI) models for the accurate STLF and economic load scheduling of individual consumers. The STLF of a particular household is useful for automatic demand response management of domestic consumers. Recently, attention-based Recurrent Neural Network (RNN) models have been proposed for STLF of the individual household. In this work, a Dual Stage Attention-Based Long Short Term Memory (DSA-LSTM) model is proposed for the STLF of the individual household. The performance of DSA-LSTM is compared with the single …",0,"A Dual-Stage Attention based RNN-Model for Short Term Load Forecasting of Individual Household
P Tiwari, P Mahanta, G Trivedi - 2021 International Conference on Electrical, Computer …, 2021
Related articles",{},1-6,,"2021 International Conference on Electrical, Computer and Energy Technologies (ICECET)",,
Design of low power VLSI architecture for classification of arrhythmic beats using DNN for wearable device applications,"Meenali Janveja, Mayank Tantuway, Ketan Chaudhari, Gaurav Trivedi",2021/10/26,,,,IEEE,"Arrhythmia is one of the most common cardiac disorders, which is a critical threat to human life. However, wearable devices having real-time cardiac health monitoring aids individuals as well as medical professionals in the timely diagnosis of fatal heart diseases, such as arrhythmia. This paper proposes a low power VLSI architecture that facilitates the classification of Electrocardiogram (ECG) into normal and other seven types of arrhythmia beats using a Deep Neural Network (DNN). Unlike the existing methods for heartbeat classification, in which handcrafted ECG features are utilised, the proposed design leverages DNN for the classification of arrhythmia using a complete ECG beat. This obviates the need to extract ECG features separately and, produces an accurate and power optimised design for arrhythmia classification. Evaluation of the proposed methodology on the MIT-BIH dataset exhibits the accuracy …",1,"Design of low power VLSI architecture for classification of arrhythmic beats using DNN for wearable device applications
M Janveja, M Tantuway, K Chaudhari, G Trivedi - 2021 IEEE Nordic Circuits and Systems Conference …, 2021
Cited by 1 Related articles",{'2022': 1},1-6,,2021 IEEE Nordic Circuits and Systems Conference (NorCAS),,
A low-complexity shifting-based conflict-free memory-addressing architecture for higher-radix FFT,"Sumit Agarwal, Shaik Rafi Ahamed, Anup Kumar Gogoi, Gaurav Trivedi",2021/10/13,IEEE Access,9.0,,IEEE,"Conflict-free addressing (CFA) techniques are necessary for Fast Fourier Transform (FFT) hardware. For low radices, well-proven XOR-based addressing architectures are available in the literature. Applications such as wireless communication use higher FFT radices, more processing elements, and a larger number of memory sets for a continuous flow of data. In the existing CFA techniques, the complexity increases with increasing radices or memory sets. In the proposed technique, the higher number of memory sets and radix are leveraged to advantage. A novel scheme is suggested to reduce the complexity using a progressive shifting technique. The mathematical basis of the scheme is derived here and illustrated with an example of 512-point radix-16 FFT. The proposed and existing CFA architectures are designed using Verilog and implemented in the Semiconductor Laboratory, Chandigarh, 180 nm SCL …",3,"A low-complexity shifting-based conflict-free memory-addressing architecture for higher-radix FFT
S Agarwal, SR Ahamed, AK Gogoi, G Trivedi - IEEE Access, 2021
Cited by 3 Related articles All 2 versions",{'2022': 3},140349-140357,,,,
Numerical analysis of the Impact of Gate Geometry variations on the Reliability of AlGaN/GaN HEMT,"Sushanta Bordoloi, Ashok Ray, Gaurav Trivedi",2021/9/24,,,,IEEE,"Converse piezoelectric strain leads to degradations such as structural deformation, creation of traps, etc. in AlGaN/GaN high electron mobility transistors (HEMTs). In this paper, an approach to reduce the converse piezoelectric strain in the AlGaN barrier layer is presented by adopting a filleted gate (FG) geometry HEMT. It is observed that in FG HEMT, the peak vertical electric field, and vertical converse piezoelectric strain reduces by almost 25%, while electron temperature reduces by 20% in comparison to the traditionally used rectangular gate HEMT. It is also observed that the reduction in peak vertical electric field, and peak vertical converse piezoelectric strain is more than staircase gate geometry device. Thus, the proposed FG HEMT is expected to be a potential candidate which can tackle converse piezoelectric strain induced damages in AlGaN/GaN HEMT devices.",3,"Numerical analysis of the Impact of Gate Geometry variations on the Reliability of AlGaN/GaN HEMT
S Bordoloi, A Ray, G Trivedi - 2021 IEEE 4th International Conference on Computing …, 2021
Cited by 3 Related articles",{'2022': 3},1-5,,"2021 IEEE 4th International Conference on Computing, Power and Communication Technologies (GUCON)",,
Design of a low power bfloat16 pipelined mac unit for deep neural network applications,"Ankita Tiwari, Gaurav Trivedi, Prithwijit Guha",2021/8/23,,,,IEEE,"Evolution of artificial intelligence (AI) and advances in semiconductor technology has enabled us to design many complex systems ranging from IoT based applications to high performance compute engines. AI incorporates various application driven machine learning algorithms, in which floating point numbers are employed for the training of neural network models. However, few simpler number systems, such as fixed-point and integers, are employed in inference due to their smaller bit-width, which reduce area and power consumption at the cost of accuracy due to quantization. The usage of floating point MAC improves the accuracy, but it results in a larger area and more power consumption. In this paper, an area and power efficient pipelined Bfloat16 MAC is proposed aiming performance improvement of neural network applications. The proposed unit is able to handle overflow, underflow, and normalization …",5,"Design of a low power bfloat16 pipelined mac unit for deep neural network applications
A Tiwari, G Trivedi, P Guha - 2021 IEEE Region 10 Symposium (TENSYMP), 2021
Cited by 5 Related articles",{'2022': 5},1-8,,2021 IEEE Region 10 Symposium (TENSYMP),,
Introspection into reliability aspects in AlGaN/GaN HEMTs with gate geometry modification,"Sushanta Bordoloi, Ashok Ray, Gaurav Trivedi",2021/7/13,IEEE Access,9.0,,IEEE,"Reliability enhancement of AlGaN / GaN HEMT is a significant thrust area due to rapidly improving material and processing technology. In this paper, a detailed analysis of gate-shaped AlGaN / GaN HEMT with field plate is presented. Although AlGaN / GaN HEMT with field-plate is well known, its blending with gate-shaping leading to a more robust and reliable behaviour is described in this paper. It is observed that the threshold voltage and transconductance invariably remain constant for various combinations of gate-shaped and field plate placements. The threshold voltage for all the devices are found to be - 5.8 V. The peak transconductance for the devices without field plate and with field plate is ~ 0.16 S/mm and ~ 0.15 S/mm, respectively. Apart from leakage current, the electric field also gets mitigated for both gate-shaped and field-plated devices by ~ 45% and ~ 68%, respectively. The moderation in electric …",4,"Introspection into reliability aspects in AlGaN/GaN HEMTs with gate geometry modification
S Bordoloi, A Ray, G Trivedi - IEEE Access, 2021
Cited by 4 Related articles","{'2022': 3, '2023': 1}",99828-99841,,,,
Machine Learning for VLSI CAD: A Case Study in On-Chip Power Grid Design,"Sukanta Dey, Sukumar Nandi, Gaurav Trivedi",2021/7/7,,,,IEEE,"With the improvement of VLSI technology, on-chip power grid design is becoming more challenging than before. In this design phase of VLSI CAD, power grids are generated in order to make power and ground connections to transistors or logic blocks. However, due to the scaling of supply voltage and increase in the number of transistors per unit area of the chip, power grid design has become a considerable challenge. The two major issues encountered during power transfer via power grid are IR drop and Electromigration (EM). For a large chip, designers have to perform many iterations of a design in order to minimize IR drop and EM violations, which increases design cycle time. Recently, machine learning (ML) techniques have attracted the VLSI CAD community and are found to be very effective in solving VLSI CAD problems. However, very few works attempted to solve on-chip power grid design problem …",3,"Machine Learning for VLSI CAD: A Case Study in On-Chip Power Grid Design
S Dey, S Nandi, G Trivedi - 2021 IEEE Computer Society Annual Symposium on …, 2021
Cited by 3 Related articles All 4 versions","{'2022': 2, '2023': 1}",378-383,,,2021 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),
A Novel Low-Power Encryption Scheme Based on Chaotic Dynamic Triple Pendulum System for Wide Range of Applications,"Bikram Paul, Souradip Pal, Abhishek Agrawal, Gaurav Trivedi",2021/6/18,,,,TechRxiv,"Recent advancements in the domain of quantum computing are posing a security threat to the classical cryptography algorithms. Popular symmetric and asymmetric cryptosystems including RSA, ECC, DES, Diffie-Hellman etc. can be broken by a quantum computer executing Shors and Grovers algorithms. This motivated scientific community to design newer encryption schemes to address security vulnerabilities. Hash, Code, Lattice, Multivariate Polynomial based cryptography algorithms, known as post-quantum cryptography algorithms (PQC), exhibit resistance against classical as well as quantum crypto-attacks. Apart from these PQC algorithms, a relatively new method of constructing cryptosystems utilizing the unpredictability property of discrete chaotic dynamic systems has become noteworthy from the practical perspective. In this paper, we present a novel approach to design an encryption scheme based on the chaotic dynamic physical system, which is derived from a mechanical model depicting nonlinear dynamics and exhibits resistance against various attacks. The effectiveness of the proposed cryptography scheme is validated against various standard tests, such as Lyapunov exponents test, bifurcation diagrams, sensitivity to parametric and to initial values, ergodicity, collision test, NIST, diehard randomness test etc. This algorithm is also verified through an FPGA implementation to assess its usage in low power high throughput applications as well. The power consumption and resource utilization of the proposed design are 56% and 72.6%, respectively, as compared to other known methods while operating at 628.14 MHz. It is …",0,"A Novel Low-Power Encryption Scheme Based on Chaotic Dynamic Triple Pendulum System for Wide Range of Applications
B Paul, S Pal, A Agrawal, G Trivedi - 2021
Related articles All 2 versions",{},,,,,
PGOpt: Multi-objective design space exploration framework for large-Scale on-chip power grid design in VLSI SoC using evolutionary computing technique,"Sukanta Dey, Sukumar Nandi, Gaurav Trivedi",2021/3/1,Microprocessors and Microsystems,81.0,,Elsevier,"Design of the power grid network (PGN) of a VLSI chip is a challenging task because of the increase in network complexity. Due to the presence of resistances of the metal lines of the PGN, voltage drops occur in the form of IR drop, which can change the voltage level of underlying logic circuits, resulting in malfunction of the System-on-Chip (SoC). The IR drop also depends upon different reliability constraints, and violation of those constraints can deteriorate the IR drop much more. Subsequently, a significant objective while designing a PGN is to reduce the IR drop without violating the reliability constraints. IR drop also affects the timing of the critical path of the circuits. Over the past two decades, several works have been proposed to optimize the PGN by minimizing metal area considering the IR drop as a design constraint. One of the widely accepted IR drop minimization practices is by increasing the metal widths …",7,"PGOpt: Multi-objective design space exploration framework for large-Scale on-chip power grid design in VLSI SoC using evolutionary computing technique
S Dey, S Nandi, G Trivedi - Microprocessors and Microsystems, 2021
Cited by 7 Related articles All 2 versions","{'2021': 3, '2022': 3, '2023': 1}",103440,,,,
Comparison of NMOS and PMOS Input Driving Dynamic Comparator in 45nm Technology,"S Hussain, R Kumar, G Trivedi",2021,IOP Conference Series: Materials Science and Engineering,1020.0,1.0,IOP Publishing,"A comparison of NMOS and PMOS input driving dynamic comparator is carried out in 45nm technology. NMOS driving dynamic comparator shows lesser delay and consumes less power as compared to PMOS driving comparator. The advantage of the later is the noise immunity at higher frequencies. The normalized energy-noise-delay-product (ENDP) for NMOS dynamic comparator and PMOS dynamic comparator is 2.08 and 4.48, respectively.",1,"Comparison of NMOS and PMOS Input Driving Dynamic Comparator in 45nm Technology
S Hussain, R Kumar, G Trivedi - IOP Conference Series: Materials Science and …, 2021
Cited by 1 Related articles All 3 versions",{'2021': 1},012022,,,,
FPGA implementation of simplified spiking neural network,"Shikhar Gupta, Arpan Vyas, Gaurav Trivedi",2020/11/23,,,,IEEE,"Spiking Neural Networks (SNN) are third generation Artificial Neural Networks (ANN), which are close to the biological neural system. In recent years SNN has become popular in the area of robotics and embedded applications, therefore, it has become imperative to explore its real-time and energy-efficient implementations. SNNs are more powerful than their predecessors because of their ability to encode temporal information and to use biologically plausible plasticity rules. In this paper, a simpler and computationally efficient SNN model is described. The proposed model is implemented and validated utilizing a Xilinx Virtex 6 FPGA. It is demonstrated that the proposed model analyzes a fully connected network consisting of 800 neurons and 12,544 synapses in real-time.",9,"FPGA implementation of simplified spiking neural network
S Gupta, A Vyas, G Trivedi - 2020 27th IEEE International Conference on …, 2020
Cited by 9 Related articles All 4 versions","{'2021': 2, '2022': 7}",1-4,,"2020 27th IEEE International Conference on Electronics, Circuits and Systems (ICECS)",,
3D‐IC partitioning method based on genetic algorithm,"Naorem Yaipharenba Meitei, Krishna Lal Baishnab, Gaurav Trivedi",2020/10,"IET Circuits, Devices & Systems",14.0,7.0,The Institution of Engineering and Technology,"In this study, a new tier partitioning algorithm for three‐dimensional integrated circuits (3D ICs) using a genetic algorithm (GA) is presented. Design parameters for the proposed 3D IC partitioning method are average layer power density and number of through‐silicon vias (TSVs) subject to fixed‐outline constraint. The GA with newly introduced crossover and mutation operation, termed as even crossover and complement mutation, is employed for optimisation of design variables. Experimental results exhibit that the authors proposed method reduces the average number of TSVs by 45.75 and 44.68%, as compared to taboo search and simulated annealing‐based 3D partitioning methods. It also reduces the average number of TSVs, maximum power density among the layers and average layer area by 28.34, 40.29, and 27.85%, respectively, as compared to thermal‐aware 3D partitioning technique. The results of …",8,"3D‐IC partitioning method based on genetic algorithm
NY Meitei, KL Baishnab, G Trivedi - IET Circuits, Devices & Systems, 2020
Cited by 8 Related articles All 2 versions","{'2021': 1, '2022': 5, '2023': 2}",1104-1109,,,,
Thermal performance evaluation of multi-tube cylindrical LHS system,"Berihu Gebreyohannes Abreha, Pinakeswar Mahanta, Gaurav Trivedi",2020/10/1,Applied Thermal Engineering,179.0,,Pergamon,"This study presents a numerical performance evaluation of shell and tube type of latent heat storage (LHS) with multiple finned tubes. Erythritol (C4H10O4) as energy storage media and cooking waste oil as HTF are employed in the proposed study. Nineteen finned heat transferring fluid (HTF) tubes are embedded inside the phase change material (PCM) to enhance melting. Numerical thermal performance study of LHS is performed using parameters such as charging time, liquid fraction, transient temperature and stored energy. For the melting process, the inlet working fluid flow rate and temperature are 75 LPM and 138 °C. For the discharging process, the flow rate is kept the same as the melting progresses, whereas, the inlet temperature is set to be 87 °C. The PCM in LHS gets melted completely within 175 min. during the charging process and it consumes 156 min. for the whole solidification process. The …",19,"Thermal performance evaluation of multi-tube cylindrical LHS system
BG Abreha, P Mahanta, G Trivedi - Applied Thermal Engineering, 2020
Cited by 19 Related articles","{'2021': 6, '2022': 9, '2023': 4}",115743,,,,
Performance investigation of lab-scale shell and tube LHS prototype,"Berihu Geberyohannes Abreha, Pinakeswar Mahanta, Gaurav Trivedi",2020/10/1,Journal of Energy Storage,31.0,,Elsevier,"The latent heat storage (LHS) system is an essential component required to harness renewable energy systems. For this purpose, thermal energy storage media commonly known as phase-change martials (PCM) are utilized. However, their low thermal conductivity is the main challenge to be addressed in the LHS systems applications. Therefore, a shell and tube kind of LHS with multiple finned heat transferring fluid (HTF) tubes is designed and fabricated. Erythritol (C4H10O4) as an energy storage media and cooking waste oil as HTF are utilized. Experimental and numerical thermal performance study of LHS is performed using various parameters such as stored energy, charging time, transient liquid fraction and temperature. The impact of the HTF mass flow rate and temperature variation on the melting behavior of the storage unit is studied. It is observed that the increase in inlet flow rate and temperature …",4,"Performance investigation of lab-scale shell and tube LHS prototype
BG Abreha, P Mahanta, G Trivedi - Journal of Energy Storage, 2020
Cited by 4 Related articles","{'2021': 1, '2022': 2, '2023': 1}",101527,,,,
Methodology and comparative design of an efficient 4‐bit encoder with bubble error corrector for 1‐GSPS flash type ADC,"Sarfraz Hussain, Rajesh Kumar, Gaurav Trivedi",2020/8,"IET Circuits, Devices & Systems",14.0,5.0,The Institution of Engineering and Technology,"The design of a 4‐bit encoder with a bubble error correction of first order is described in this study. Since encoder restricts speed of the flash analogue‐to‐digital converter (ADC), therefore, an improved and faster encoder is an essential requirement to push its limits. Encoder is divided into two parts: one‐hot code generator [or bubble error corrector (BEC)] and binary encoder. Binary encoder proposed in this study is the modified Fat‐Tree encoder of types I and II. Three types of BECs which have been compared in this study are OR gate based, NAND gate based and the proposed BEC. The proposed BEC consumes less power and provides better speed as compared to NAND based and OR gate based BECs. It can be further employed for higher order bubble correction as well. The proposed BEC consumes dynamic power of 87.071 μW and leakage power of 18.3563 pW exhibiting the delay of 38.3 ps with 1 …",2,"Methodology and comparative design of an efficient 4‐bit encoder with bubble error corrector for 1‐GSPS flash type ADC
S Hussain, R Kumar, G Trivedi - IET Circuits, Devices & Systems, 2020
Cited by 2 Related articles All 2 versions",{},629-639,,,,
Machine learning approach for fast electromigration aware aging prediction in incremental design of large scale on-chip power grid network,"Sukanta Dey, Sukumar Nandi, Gaurav Trivedi",2020/7/5,ACM Transactions on Design Automation of Electronic Systems (TODAES),25.0,5.0,ACM,"With the advancement of technology nodes, Electromigration (EM) signoff has become increasingly difficult, which requires a considerable amount of time for an incremental change in the power grid (PG) network design in a chip. The traditional Black’s empirical equation and Blech’s criterion are still used for EM assessment, which is a time-consuming process. In this article, for the first time, we propose a machine learning (ML) approach to obtain the EM-aware aging prediction of the PG network. We use neural network--based regression as our core ML technique to instantly predict the lifetime of a perturbed PG network. The performance and accuracy of the proposed model using neural network are compared with the well-known standard regression models. We also propose a new failure criterion based on which the EM-aging prediction is done. Potential EM-affected metal segments of the PG network is …",8,"Machine learning approach for fast electromigration aware aging prediction in incremental design of large scale on-chip power grid network
S Dey, S Nandi, G Trivedi - ACM Transactions on Design Automation of Electronic …, 2020
Cited by 8 Related articles All 2 versions","{'2021': 2, '2022': 4, '2023': 1}",1-29,,,,
Comparative review of approximate multipliers,"Sushree Sila P Goswami, Bikram Paul, Sunil Dutt, Gaurav Trivedi",2020/4/15,,,,IEEE,"In the digital signal processing (DSP) system, multiplier is a significant arithmetic module. It contributes mainly in the power consumption and speed, and efficient multipliers are the need of the hour. Approximate computing has added a unique dimension in the area of digital design by reducing area, power and delay. The demand of efficient approximate multipliers is enhancing due to the high speed and fault tolerance as well as its power efficiency. This paper presents comparison of few recent approximate multiplier designs. Experimental results based on the accuracy and circuit parameters are presented. The accuracy parameters are amplitude data accuracy (ACC_amp), information data accuracy (ACC_inf), error rate (ER) and mean error distance (MED). The circuit parameters are delay, power consumption, area. Based on these parameters, the best design in terms of power consumption and area is …",4,"Comparative review of approximate multipliers
SSP Goswami, B Paul, S Dutt, G Trivedi - 2020 30th international conference radioelektronika …, 2020
Cited by 4 Related articles","{'2021': 2, '2022': 2}",1-6,,,2020 30th international conference radioelektronika (radioelektronika),
Design of efficient AES architecture for secure ECG signal transmission for low-power IoT applications,"Meenali Janveja, Bikram Paul, Gaurav Trivedi, Gonella Vijayakanthi, Astha Agrawal, Pidanič Jan, Zdeněk Němec",2020/4/15,,,,IEEE,"Cryptography has an important role in securing information which has gained prominence due to the digitization. Exchange of sensitive personal data such as medical information tends to take place frequently throughout the globe; therefore, protecting data from unauthorized adversary access is imperative. Advanced encryption standard (AES) algorithm is one of the algorithms which is broadly employed because of its exemplary security and usage in extensive applications. This research proposes a modified folded pipelined architecture of an AES algorithm for resources constraint applications. The folding transformation controls the circuit functionalities by time-multiplexing operations to a single functional unit and reduces its area considerably. The proposed architecture is implemented using fewer resources, hence, improves area and the power requirements as compared to the conventional algorithm. The …",9,"Design of efficient AES architecture for secure ECG signal transmission for low-power IoT applications
M Janveja, B Paul, G Trivedi, G Vijayakanthi, A Agrawal… - 2020 30th International Conference Radioelektronika …, 2020
Cited by 9 Related articles","{'2021': 5, '2022': 4}",1-6,,2020 30th International Conference Radioelektronika (RADIOELEKTRONIKA),,
Theoretical study and optimization of apodized fiber Bragg grating for single and quasi-distributed structural health monitoring applications,"Krishna Mohan Dwivedi, Gaurav Trivedi, Sunil K Khijwania",2020/4/15,,,,IEEE,"In this paper, we present an apodized Fiber Bragg grating (FBG) for the single and quasi-distributed sensing applications. Optical characteristics, such as reflectivity, Full-Width at Half Maximum (FWHM), and side-lobes of FBG critical for an efficient quasi-distributed sensing networks are optimized for the proposed grating. The coupled-mode theory and transfer matrix method are utilized to establish numerical modeling of apodized FBGs for single and quasi-distributed sensing networks. All the simulations are performed using MATLAB. Simulation results illustrate that for the optimized grating parameters L = 10 mm and δ̅ n =0.8 ×10 -4 , the proposed grating is characterized with reflectivity of 0.532, FWHM of 0.132 nm, Maximum Side-Lobe (MSL) of -36.25 dB, and Side-Lobe Suppression Ratio (SLSR) of -33.51 dB. Comparative performance analysis of the proposed grating with the elite apodization profiles …",9,"Theoretical study and optimization of apodized fiber Bragg grating for single and quasi-distributed structural health monitoring applications
KM Dwivedi, G Trivedi, SK Khijwania - 2020 30th International Conference Radioelektronika …, 2020
Cited by 9 Related articles All 3 versions","{'2020': 1, '2021': 2, '2022': 5, '2023': 1}",1-6,,2020 30th International Conference Radioelektronika (RADIOELEKTRONIKA),,
PowerPlanningDL: Reliability-aware framework for on-chip power grid design using deep learning,"Sukanta Dey, Sukumar Nandi, Gaurav Trivedi",2020/3/9,,,,IEEE,"With the increase in the complexity of chip designs, VLSI physical design has become a time-consuming task, which is an iterative design process. Power planning is that part of the floorplanning in VLSI physical design where power grid networks are designed in order to provide adequate power to all the underlying functional blocks. Power planning also requires multiple iterative steps to create the power grid network while satisfying the allowed worst-case IR drop and Electromigration (EM) margin. For the first time, this paper introduces Deep learning (DL)-based framework to approximately predict the initial design of the power grid network, considering different reliability constraints. The proposed framework reduces many iterative design steps and speeds up the total design cycle. Neural Network-based multi-target regression technique is used to create the DL model. Feature extraction is done, and training …",11,"PowerPlanningDL: Reliability-aware framework for on-chip power grid design using deep learning
S Dey, S Nandi, G Trivedi - 2020 Design, Automation & Test in Europe Conference …, 2020
Cited by 11 Related articles All 5 versions","{'2020': 1, '2021': 5, '2022': 5}",1520-1525,,"2020 Design, Automation & Test in Europe Conference & Exhibition (DATE)",,
Numerical simulation of enhanced-reliability filleted-gate AlGaN/GaN HEMT,"Ashok Ray, Sushanta Bordoloi, Biplab Sarkar, Pratima Agarwal, Gaurav Trivedi",2020/3,Journal of Electronic Materials,49.0,,Springer US,"Reliability has been one of the major concerns for AlGaN/GaN high-electron-mobility transistors (HEMTs) over the past decades owing to their high-power operation. Although significant progress has been made in recent years, to position AlGaN/GaN HEMT technology as a disruptive technology, better understanding of reliability phenomena and their enhancement is necessary. Greater strength of physical phenomena such as converse piezoelectric strain, electric field, electron temperature, and Joule heating accelerates the degradation and reduces the lifespan of such devices. A detailed numerical study has been carried out to observe the impact of gate filleting on the performance of a AlGaN/GaN HEMT. It is observed that the converse piezoelectric strain in the AlGaN barrier layer, as well as the electron and lattice temperatures are suppressed due to the filleting of the gate geometry. To understand this more …",8,"Numerical simulation of enhanced-reliability filleted-gate AlGaN/GaN HEMT
A Ray, S Bordoloi, B Sarkar, P Agarwal, G Trivedi - Journal of Electronic Materials, 2020
Cited by 8 Related articles All 5 versions","{'2021': 4, '2022': 3, '2023': 1}",2018-2031,,,,
EMT Analysis of Heavy-Duty EVs in Charging Station,"Swati Shukla, Gaurav Trivedi",2020,,,,Springer Singapore,"The catastrophic global energy crisis, which is gripping the world’s progress voraciously, requires stringent and long-term solutions. Sooner or later, there will be a complete shift from IC engine based heavy-duty vehicles to electric powered ones. These vehicles will draw a high magnitude of current from the charging stations. This paper presents EMT analysis for heavy-duty electric vehicle (EV) charging stations. A constant current EV charging system has been designed. Simulation is performed for the 24-s duration, considering the various charging scenarios (CS).",0,"EMT Analysis of Heavy-Duty EVs in Charging Station
S Shukla, G Trivedi - … Systems and Intelligent Computing: Proceedings of …, 2020
Related articles",{},993-1002,,Electronic Systems and Intelligent Computing: Proceedings of ESIC 2020,,
