Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Inventors,Patent office,Application number,Patent number,Conference,Institution,Book,Source
Persim: Data-efficient offline reinforcement learning with heterogeneous agents via personalized simulators,"Anish Agarwal, Abdullah Alomar, Varkey Alumootil, Devavrat Shah, Dennis Shen, Zhi Xu, Cindy Yang",2021/12/6,Advances in Neural Information Processing Systems,34.0,,,"We consider offline reinforcement learning (RL) with heterogeneous agents under severe data scarcity, ie, we only observe a single historical trajectory for every agent under an unknown, potentially sub-optimal policy. We find that the performance of state-of-the-art offline and model-based RL methods degrade significantly given such limited data availability, even for commonly perceived"" solved"" benchmark settings such as"" MountainCar"" and"" CartPole"". To address this challenge, we propose PerSim, a model-based offline RL approach which first learns a personalized simulator for each agent by collectively using the historical trajectories across all agents, prior to learning a policy. We do so by positing that the transition dynamics across agents can be represented as a latent function of latent factors associated with agents, states, and actions; subsequently, we theoretically establish that this function is well-approximated by a"" low-rank"" decomposition of separable agent, state, and action latent functions. This representation suggests a simple, regularized neural network architecture to effectively learn the transition dynamics per agent, even with scarce, offline data. We perform extensive experiments across several benchmark environments and RL methods. The consistent improvement of our approach, measured in terms of both state dynamics prediction and eventual reward, confirms the efficacy of our framework in leveraging limited historical data to simultaneously learn personalized policies across agents.",10,"Persim: Data-efficient offline reinforcement learning with heterogeneous agents via personalized simulators
A Agarwal, A Alomar, V Alumootil, D Shah, D Shen… - Advances in Neural Information Processing Systems, 2021
Cited by 10 Related articles All 4 versions","{'2021': 2, '2022': 6, '2023': 2}",18564-18576,,,,,,,,
Regulating algorithmic filtering on social media,"Sarah Cen, Devavrat Shah",2021/12/6,Advances in Neural Information Processing Systems,34.0,,,"By filtering the content that users see, social media platforms have the ability to influence users' perceptions and decisions, from their dining choices to their voting preferences. This influence has drawn scrutiny, with many calling for regulations on filtering algorithms, but designing and enforcing regulations remains challenging. In this work, we examine three questions. First, given a regulation, how would one design an audit to enforce it? Second, does the audit impose a performance cost on the platform? Third, how does the audit affect the content that the platform is incentivized to filter? In response to these questions, we propose a method such that, given a regulation, an auditor can test whether that regulation is met with only black-box access to the filtering algorithm. We then turn to the platform's perspective. The platform's goal is to maximize an objective function while meeting regulation. We find that there are conditions under which the regulation does not place a high performance cost on the platform and, notably, that content diversity can play a key role in aligning the interests of the platform and regulators.",13,"Regulating algorithmic filtering on social media
S Cen, D Shah - Advances in Neural Information Processing Systems, 2021
Cited by 13 Related articles All 5 versions","{'2021': 1, '2022': 9, '2023': 3}",6997-7011,,,,,,,,
Short and wide network paths,"Lavanya Marla, Lav R Varshney, Devavrat Shah, Nirmal A Prakash, Michael E Gale",2021/10/27,IEEE Transactions on Network Science and Engineering,9.0,2,IEEE,"Network flow is a powerful mathematicalframework to systematically explore the relationship between structure and function in biological, social, and technological networks. We introduce a new pipelining model of flow through networks where commodities must be transported over single paths rather than split over several paths and recombined. We show this notion of pipelined network flow is optimized using network paths that are both short and wide, and develop efficient algorithms to compute such paths for given pairs of nodes and for all-pairs. Short and wide paths are characterized for many real-world networks. Using this framework, we further develop novel information-theoretic lower bounds on computation speed in nervous systems due to limitations from anatomical connectivity and physical noise. This provides predictions on the structural organization and behavior of the nematode Caenorhabditis …",1,"Short and wide network paths
L Marla, LR Varshney, D Shah, NA Prakash, ME Gale - IEEE Transactions on Network Science and …, 2021
Cited by 1 Related articles All 8 versions",{'2021': 1},524-537,,,,,,,,
Causal matrix completion,"Anish Agarwal, Munther Dahleh, Devavrat Shah, Dennis Shen",2021/9/30,arXiv preprint arXiv:2109.15154,,,,"Matrix completion is the study of recovering an underlying matrix from a sparse subset of noisy observations. Traditionally, it is assumed that the entries of the matrix are ""missing completely at random"" (MCAR), i.e., each entry is revealed at random, independent of everything else, with uniform probability. This is likely unrealistic due to the presence of ""latent confounders"", i.e., unobserved factors that determine both the entries of the underlying matrix and the missingness pattern in the observed matrix. For example, in the context of movie recommender systems -- a canonical application for matrix completion -- a user who vehemently dislikes horror films is unlikely to ever watch horror films. In general, these confounders yield ""missing not at random"" (MNAR) data, which can severely impact any inference procedure that does not correct for this bias. We develop a formal causal model for matrix completion through the language of potential outcomes, and provide novel identification arguments for a variety of causal estimands of interest. We design a procedure, which we call ""synthetic nearest neighbors"" (SNN), to estimate these causal estimands. We prove finite-sample consistency and asymptotic normality of our estimator. Our analysis also leads to new theoretical results for the matrix completion literature. In particular, we establish entry-wise, i.e., max-norm, finite-sample consistency and asymptotic normality results for matrix completion with MNAR data. As a special case, this also provides entry-wise bounds for matrix completion with MCAR data. Across simulated and real data, we demonstrate the efficacy of our proposed estimator.",14,"Causal matrix completion
A Agarwal, M Dahleh, D Shah, D Shen - arXiv preprint arXiv:2109.15154, 2021
Cited by 14 Related articles All 7 versions","{'2022': 9, '2023': 5}",,,,,,,,,
tspdb: Time series predict db,"Anish Agarwal, Abdullah Alomar, Devavrat Shah",2021/8/7,,,,PMLR,"A major bottleneck of the current Machine Learning (ML) workflow is the time consuming, error prone engineering required to get data from a datastore or a database (DB) to the point an ML algorithm can be applied to it. This is further exacerbated since ML algorithms are now trained on large volumes of data, yet we need predictions in real-time, especially in a variety of time-series applications such as finance and real-time control systems. Hence, we explore the feasibility of directly integrating prediction functionality on top of a data store or DB. Such a system ideally:(i) provides an intuitive prediction query interface which alleviates the unwieldy data engineering;(ii) provides state-of-the-art statistical accuracy while ensuring incremental model update, low model training time and low latency for making predictions. As the main contribution we explicitly instantiate a proof-of-concept, tspDB which directly integrates with PostgreSQL. We rigorously test tspDB’s statistical and computational performance against the state-of-the-art time series algorithms, including a Long-Short-Term-Memory (LSTM) neural network and DeepAR (industry standard deep learning library by Amazon). Statistically, on standard time series benchmarks, tspDB outperforms LSTM and DeepAR with 1.1-1.3 x higher relative accuracy. Computationally, tspDB is 59-62x and 94-95x faster compared to LSTM and DeepAR in terms of median ML model training time and prediction query latency, respectively. Further, compared to PostgreSQL’s bulk insert time and its SELECT query latency, tspDB is slower only by 1.3 x and 2.6 x respectively. That is, tspDB is a real-time prediction …",5,"tspdb: Time series predict db
A Agarwal, A Alomar, D Shah - NeurIPS 2020 Competition and Demonstration Track, 2021
Cited by 5 Related articles All 5 versions",{},27-56,,,,,NeurIPS 2020 Competition and Demonstration Track,,,
Quantifying Variational Approximation for Log-Partition Function,"Romain Cosson, Devavrat Shah",2021/7/21,,,,PMLR,"Variational methods, such as mean-field (MF) and tree-reweighted (TRW), provide computationally efficient approximations of the log-partition function for generic graphical models but their approximation ratio is generally not quantified. As the primary contribution of this work, we provide an approach to quantify their approximation ratio for any discrete pairwise graphical model with non-negative potentials through a property of the underlying graph structure . Specifically, we argue that (a variant of) TRW produces an estimate within factor where captures how far is from tree structure. As a consequence, the approximation ratio is for trees, for graphs with maximum average degree and for graphs with girth at least . The quantity is the solution of a min-max problem associated with the spanning tree polytope of that can be evaluated in polynomial time for any graph. We provide a near linear-time variant that achieves an approximation ratio depending on the minimal (across edges) effective resistance of the graph. We connect our results to the graph partition approximation method and thus provide a unified perspective.",0,"Quantifying Variational Approximation for Log-Partition Function
R Cosson, D Shah - Conference on Learning Theory, 2021
Related articles All 6 versions",{},1330-1357,,,,,Conference on Learning Theory,,,
Prediction using fusion of heterogeneous unstructured data,,2021/7/13,,,,,"Methods and apparatus for predicting unknown values given a data set of known values. A prediction engine ingests a variety of data sets. Once the dataset has been ingested, requests for predictions may be presented to the prediction engine. The engine responds with a prediction as well as a confidence score based on the ingested information using a variety of techniques. Some of these techniques identify witness values in the ingested data that are similar to the requested prediction, other techniques compute witness values from ingested data, etc. These witness values are aggregated to yield an answer and a confidence level in a way that permits the user to review the underlying witness values.",0,"Prediction using fusion of heterogeneous unstructured data
G Chen, V Doshi, YZ Huang, V Sachidananda, D Shah… - US Patent 11,062,224, 2021
Related articles All 4 versions",{},,"George Chen, Vishal Doshi, Ying-Zong Huang, Vighnesh Sachidananda, Devavrat Shah, Vasudha Shivamoggi",US,15294659.0,11062224.0,,,,
Method and apparatus for graph-based computing,,2021/7/6,,,,,"A method is disclosed including: receiving a graph-based program that identifies a bipartite graph and one or more update function sets, the bipartite graph including a plurality of graph nodes and a plurality of edges, such that each graph node corresponds to one of the update function sets; associating each of a plurality of computing units with a different respective one of the graph nodes; instantiating, by a Publisher Subscriber platform, a plurality of channels, the plurality of channels defining a topology that matches a topology of the bipartite graph; and executing the graph-based program based on the plurality of channels to produce a result.",0,"Method and apparatus for graph-based computing
DD Shah, V Ramesh - US Patent 11,055,157, 2021
Related articles All 4 versions",{},,"Devavrat D Shah, Vinayak Ramesh",US,16683918.0,11055157.0,,,,
I Know What You Bought At Chipotle for $9.81 by Solving A Linear Inverse Problem,"Michael Fleder, Devavrat Shah",2021/5/31,ACM SIGMETRICS Performance Evaluation Review,49.0,1,ACM,"We consider the question of identifying which set of products are purchased and at what prices in a given transaction by observing only the total amount spent in the transaction, and nothing more. The ability to solve such an inverse problem can lead to refined information about consumer spending by simply observing anonymized credit card transactions data. Indeed, when considered in isolation, it is impossible to identify the products purchased and their prices from a given transaction based on just the transaction total. However, given a large number of transactions, there may be a hope.
As the main contribution of this work, we provide a robust estimation algorithm for decomposing transaction totals into the underlying, individual product(s) purchased by utilizing a large corpus of transactions. Our method recovers a (product prices) vector $p ∈ RN>0 of unknown dimension (number of products) N as well as …",0,"I Know What You Bought At Chipotle for $9.81 by Solving A Linear Inverse Problem
M Fleder, D Shah - ACM SIGMETRICS Performance Evaluation Review, 2021
Related articles All 2 versions",{},59-60,,,,,,,,
8 Computing Choice: Learning Distributions over Permutations,Devavrat Shah,2021/4/8,Information-Theoretic Methods in Data Science,,,Cambridge University Press,"We discuss the question of learning distributions over permutations of a given set of choices, options, or items on the basis of partial observations. This is central to capturing the so-called “choice” in a variety of contexts: understanding preferences of consumers over a collection of products from purchasing and browsing data in the setting of retail and e-commerce, learning public opinion amongst a collection of socioeconomic issues from sparse polling data, deciding a ranking of teams or players from outcomes of games, electing leaders according to votes, and more generally collaborative decision-making employing collective judgment such as accepting papers in a competitive academic conference. The question of learning distributions over permutations arises beyond capturing “choice” as well, for example, tracking a collection of objects using noisy cameras, or aggregating ranking of web-pages using outcomes of multiple search engines. It is only natural that this topic has been studied extensively in economics, political science, and psychology for more than a century, and more recently in computer science, electrical engineering, statistics, and operations research. Here we shall focus on the task of learning distributions over permutations from marginal distributions of two types: first-order marginals and pair-wise comparisons. A lot of progress has been made on this topic in the last decade. The ideal goal is to provide a comprehensive overview of the state-of-the-art on this topic. We shall provide a detailed overview of selective aspects, biased by the author’s perspective of the topic, and provide sufficient pointers to aspects not covered …",2,"8 Computing Choice: Learning Distributions over Permutations
D Shah - Information-Theoretic Methods in Data Science, 2021
Cited by 2 Related articles All 3 versions",{'2020': 2},229,,,,,,,,
Partition-Merge: Distributed Inference and Modularity Optimization,"Vincent Blondel, Kyomin Jung, Pushmeet Kohli, Devavrat Shah, Seungpil Won",2021/4/1,IEEE Access,9.0,,IEEE,"This paper presents a novel meta-algorithm, Partition-Merge (PM), which takes existing centralized algorithms for graph computation and makes them distributed and faster. In a nutshell, PM divides the graph into small subgraphs using our novel randomized partitioning scheme, runs the centralized algorithm on each partition separately, and then stitches the resulting solutions to produce a global solution. We demonstrate the efficiency of the PM algorithm on two popular problems: computation of Maximum A Posteriori (MAP) assignment in an arbitrary pairwise Markov Random Field (MRF) and modularity optimization for community detection. We show that the resulting distributed algorithms for these problems become fast, which run in time linear in the number of nodes in the graph. Furthermore, PM leads to performance comparable - or even better - to that of the centralized algorithms as long as the graph has …",0,"Partition-Merge: Distributed Inference and Modularity Optimization
V Blondel, K Jung, P Kohli, D Shah, S Won - IEEE Access, 2021
Related articles All 6 versions",{},54032-54055,,,,,,,,
On learning continuous pairwise markov random fields,"Abhin Shah, Devavrat Shah, Gregory Wornell",2021/3/18,,,,PMLR,"We consider learning a sparse pairwise Markov Random Field (MRF) with continuous-valued variables from iid samples. We adapt the algorithm of Vuffray et al.(2019) to this setting and provide finite-sample analysis revealing sample complexity scaling logarithmically with the number of variables, as in the discrete and Gaussian settings. Our approach is applicable to a large class of pairwise MRFs with continuous variables and also has desirable asymptotic properties, including consistency and normality under mild conditions. Further, we establish that the population version of the optimization criterion employed in Vuffray et al.(2019) can be interpreted as local maximum likelihood estimation (MLE). As part of our analysis, we introduce a robust variation of sparse linear regression a ‘la Lasso, which may be of interest in its own right.",10,"On learning continuous pairwise markov random fields
A Shah, D Shah, G Wornell - International Conference on Artificial Intelligence and …, 2021
Cited by 10 Related articles All 9 versions","{'2021': 2, '2022': 7, '2023': 1}",1153-1161,,,,,International Conference on Artificial Intelligence and Statistics,,,
Approximating the Log-Partition Function,Romain Cosson,2021,,,,,"Graphical Models are used to represent structural information on a high-dimensional joint probability distribution. Their expressiveness offers simple reductions from a large number of NP-hard problems to inference tasks such as computing the partition function (exact inference) or approximating the log-partition function (approximate inference). In this master thesis, we will motivate the need for a general constant-factor approximations of the log-partition function and prove that a variant of the well studied tree-reweighted algorithm [1] achieves constant factor guarantees. We will express the corresponding approximation ratio 𝜅(𝐺) solely as a function of the graph structure 𝐺.",0,"Approximating the Log-Partition Function
R Cosson - 2021
Related articles",{},,,,,,,Massachusetts Institute of Technology,,
Inferring Sparse Preference Lists from Partial Information,"Vivek Farias, Srikanth Jagabathula, Devavrat Shah",2020/12,Stochastic Systems,10.0,4,INFORMS,"Probability distributions over rankings are crucial for the modeling and design of a wide range of practical systems. In this work, we pursue a nonparametric approach that seeks to learn a distribution over rankings (aka the ranking model) that is consistent with the observed data and has the sparsest possible support (i.e., the smallest number of rankings with nonzero probability mass). We focus on first-order marginal data, which comprise information on the probability that item i is ranked at position j, for all possible item and position pairs. The observed data may be noisy. Finding the sparsest approximation requires brute force search in the worst case. To address this issue, we restrict our search to, what we dub, the signature family, and show that the sparsest model within the signature family can be found computationally efficiently compared with the brute force approach. We then establish that the signature …",2,"Inferring Sparse Preference Lists from Partial Information
V Farias, S Jagabathula, D Shah - Stochastic Systems, 2020
Cited by 2 Related articles All 3 versions",{'2023': 1},335-360,,,,,,,,
I know what you bought at chipotle for $9.81 by solving a linear inverse problem,"Michael Fleder, Devavrat Shah",2020/11/30,Proceedings of the ACM on Measurement and Analysis of Computing Systems,4.0,3,ACM,"We consider the question of identifying which set of products are purchased and at what prices in a given transaction by observing only the total amount spent in the transaction, and nothing more. The ability to solve such an inverse problem can lead to refined information about consumer spending by simply observing anonymized credit card transactions data. Indeed, when considered in isolation, it is impossible to identify the products purchased and their prices from a given transaction just based on the transaction total. However, given a large number of transactions, there may be a hope. As the main contribution of this work, we provide a robust estimation algorithm for decomposing transaction totals into the underlying, individual product(s) purchased by utilizing a large corpus of transactions. Our method recovers a (product prices) vector $p \in \mathbbR ^N_>0 $ of unknown dimension (number of products) N …",5,"I know what you bought at chipotle for $9.81 by solving a linear inverse problem
M Fleder, D Shah - Proceedings of the ACM on Measurement and Analysis …, 2020
Cited by 5 Related articles All 3 versions","{'2021': 1, '2022': 4}",1-17,,,,,,,,
Gradient-based empirical risk minimization using local polynomial regression,"Ali Jadbabaie, Anuran Makur, Devavrat Shah",2020/11/4,arXiv preprint arXiv:2011.02522,,,,"In this paper, we consider the problem of empirical risk minimization (ERM) of smooth, strongly convex loss functions using iterative gradient-based methods. A major goal of this literature has been to compare different algorithms, such as gradient descent (GD) or stochastic gradient descent (SGD), by analyzing their rates of convergence to -approximate solutions. For example, the oracle complexity of GD is , where is the number of training samples. When is large, this can be expensive in practice, and SGD is preferred due to its oracle complexity of . Such standard analyses only utilize the smoothness of the loss function in the parameter being optimized. In contrast, we demonstrate that when the loss function is smooth in the data, we can learn the oracle at every iteration and beat the oracle complexities of both GD and SGD in important regimes. Specifically, at every iteration, our proposed algorithm performs local polynomial regression to learn the gradient of the loss function, and then estimates the true gradient of the ERM objective function. We establish that the oracle complexity of our algorithm scales like (neglecting sub-dominant factors), where and are the data and parameter space dimensions, respectively, and the gradient of the loss function belongs to a -H\""{o}lder class with respect to the data. Our proof extends the analysis of local polynomial regression in non-parametric statistics to provide interpolation guarantees in multivariate settings, and also exploits tools from the inexact GD literature. Unlike GD and SGD, the complexity of our method depends on and . However, when is small and the loss …",3,"Gradient-based empirical risk minimization using local polynomial regression
A Jadbabaie, A Makur, D Shah - arXiv preprint arXiv:2011.02522, 2020
Cited by 3 Related articles All 3 versions",{'2022': 3},,,,,,,,,
On principal component regression in a high-dimensional error-in-variables setting,"Anish Agarwal, Devavrat Shah, Dennis Shen",2020/10/27,arXiv preprint arXiv:2010.14449,,,,"We analyze the classical method of principal component regression (PCR) in a high-dimensional error-in-variables setting. Here, the observed covariates are not only noisy and contain missing values, but the number of covariates can also exceed the sample size. Under suitable conditions, we establish that PCR identifies the unique linear model parameter with minimum -norm, and derive non-asymptotic -rates of convergence that show its consistency. Furthermore, we develop an algorithm for out-of-sample predictions in the presence of corrupted data that uses PCR as a key subroutine, and provide its non-asymptotic prediction performance guarantees. Notably, our results do not require the out-of-samples covariates to follow the same distribution as that of the in-sample covariates, but rather that they obey a simple linear algebraic constraint. We provide simulations that illustrate our theoretical results.",11,"On principal component regression in a high-dimensional error-in-variables setting
A Agarwal, D Shah, D Shen - arXiv preprint arXiv:2010.14449, 2020
Cited by 11 Related articles All 2 versions","{'2019': 1, '2020': 1, '2021': 3, '2022': 4, '2023': 2}",,,,,,,,,
"Adaptive control of COVID-19 outbreaks in India: Local, gradual, and trigger-based exit paths from lockdown","Anup Malani, Satej Soman, Sam Asher, Paul Novosad, Clement Imbert, Vaidehi Tandel, Anish Agarwal, Abdullah Alomar, Arnab Sarker, Devavrat Shah, Dennis Shen, Jonathan Gruber, Stuti Sachdeva, David Kaiser, Luis MA Bettencourt",2020/7/20,,,w27532,National Bureau of Economic Research,"Managing the outbreak of COVID-19 in India constitutes an unprecedented health emergency in one of the largest and most diverse nations in the world. On May 4, 2020, India started the process of releasing its population from a national lockdown during which extreme social distancing was implemented. We describe and simulate an adaptive control approach to exit this situation, while maintaining the epidemic under control. Adaptive control is a flexible countercyclical policy approach, whereby different areas release from lockdown in potentially different gradual ways, dependent on the local progression of the dis-ease. Because of these features, adaptive control requires the ability to decrease or increase social distancing in response to observed and projected dynamics of the disease outbreak. We show via simulation of a stochastic Susceptible-Infected-Recovered (SIR) model and of a synthetic intervention (SI) model that adaptive control performs at least as well as immediate and full release from lockdown starting May 4 and as full release from lockdown after a month (ie, after May 31). The key insight is that adaptive response provides the option to increase or decrease socioeconomic activity depending on how it affects disease progression and this freedom allows it to do at least as well as most other policy alternatives. We also discuss the central challenge to any nuanced release policy, including adaptive control, specifically learning how specific policies translate into changes in contact rates and thus COVID-19's reproductive rate in real time.",20,"Adaptive control of COVID-19 outbreaks in India: Local, gradual, and trigger-based exit paths from lockdown
A Malani, S Soman, S Asher, P Novosad, C Imbert… - 2020
Cited by 20 Related articles All 7 versions","{'2020': 6, '2021': 10, '2022': 4}",,,,,,,,,
Forecasting with alternative data,"Michael Fleder, Devavrat Shah",2020/7/8,ACM SIGMETRICS Performance Evaluation Review,48.0,1,ACM,"We consider the problem of forecasting fine-grained company financials, such as daily revenue, from two input types: noisy proxy signals a la alternative data (e.g. credit card transactions) and sparse ground-truth observations (e.g. quarterly earnings reports). We utilize a classical linear systems model to capture both the evolution of the hidden or latent state (e.g. daily revenue), as well as the proxy signal (e.g. credit cards transactions). The linear system model is particularly well suited here as data is extremely sparse (4 quarterly reports per year). In classical system identification, where the central theme is to learn parameters for such linear systems, unbiased and consistent estimation of parameters is not feasible: the likelihood is non-convex; and worse, the global optimum for maximum likelihood estimation is often non-unique.",6,"Forecasting with alternative data
M Fleder, D Shah - ACM SIGMETRICS Performance Evaluation Review, 2020
Cited by 6 Related articles All 3 versions","{'2020': 1, '2021': 2, '2022': 3}",23-24,,,,,,,,
Estimation of skill distributions,"Ali Jadbabaie, Anuran Makur, Devavrat Shah",2020/6/15,arXiv preprint arXiv:2006.08189,,,,"In this paper, we study the problem of learning the skill distribution of a population of agents from observations of pairwise games in a tournament. These games are played among randomly drawn agents from the population. The agents in our model can be individuals, sports teams, or Wall Street fund managers. Formally, we postulate that the likelihoods of game outcomes are governed by the Bradley-Terry-Luce (or multinomial logit) model, where the probability of an agent beating another is the ratio between its skill level and the pairwise sum of skill levels, and the skill parameters are drawn from an unknown skill density of interest. The problem is, in essence, to learn a distribution from noisy, quantized observations. We propose a simple and tractable algorithm that learns the skill density with near-optimal minimax mean squared error scaling as , for any , when the density is smooth. Our approach brings together prior work on learning skill parameters from pairwise comparisons with kernel density estimation from non-parametric statistics. Furthermore, we prove minimax lower bounds which establish minimax optimality of the skill parameter estimation technique used in our algorithm. These bounds utilize a continuum version of Fano's method along with a covering argument. We apply our algorithm to various soccer leagues and world cups, cricket world cups, and mutual funds. We find that the entropy of a learnt distribution provides a quantitative measure of skill, which provides rigorous explanations for popular beliefs about perceived qualities of sporting events, e.g., soccer league rankings. Finally, we apply our method to assess …",4,"Estimation of skill distributions
A Jadbabaie, A Makur, D Shah - arXiv preprint arXiv:2006.08189, 2020
Cited by 4 Related articles All 3 versions",{},,,,,,,,,
Synthetic interventions,"Anish Agarwal, Devavrat Shah, Dennis Shen",2020/6/13,arXiv preprint arXiv:2006.07691,,,,Multi-dimensional Robust Synthetic Control (mRSC) Page 1 Synthetic Interventions Anish Agarwal Devavrat Shah Dennis Shen Joint work with Page 2 Bridging causal inference & machine learning Core idea in econometrics (what if intervention did not occur?) Matrix/tensor completion Core idea in EE/CS/Stats/ML (impute missing data in a matrix/tensor) 2 Synthetic controls Page 3 Clinical trial study w. Alzheimer’s Therapeutics company 1000+ subjects 4 therapies (1 placebo) 2 year study Page 4 Alzheimer's clinical trial study Inconclusive Average treatment effect for all 3 therapies was insignificant Costly Total cost of trial: $500M - $1B USD (cost of recruiting one patient: $5k – $100k USD) Ethical concerns of testing on human subjects Question Is there a subpopulation of responders? Can we estimate ADAS-COG for each patient under each therapy? 4 Page 5 A question: Can we estimate ADAS-COG for each …,30,"Synthetic interventions
A Agarwal, D Shah, D Shen - arXiv preprint arXiv:2006.07691, 2020
Cited by 30 Related articles All 10 versions","{'2020': 3, '2021': 5, '2022': 19, '2023': 3}",,,,,,,,,
Stable reinforcement learning with unbounded state space,"Devavrat Shah, Qiaomin Xie, Zhi Xu",2020/6/8,arXiv preprint arXiv:2006.04353,,,,"We consider the problem of reinforcement learning (RL) with unbounded state space motivated by the classical problem of scheduling in a queueing network. Traditional policies as well as error metric that are designed for finite, bounded or compact state space, require infinite samples for providing any meaningful performance guarantee (e.g. error) for unbounded state space. That is, we need a new notion of performance metric. As the main contribution of this work, inspired by the literature in queuing systems and control theory, we propose stability as the notion of ""goodness"": the state dynamics under the policy should remain in a bounded region with high probability. As a proof of concept, we propose an RL policy using Sparse-Sampling-based Monte Carlo Oracle and argue that it satisfies the stability property as long as the system dynamics under the optimal policy respects a Lyapunov function. The assumption of existence of a Lyapunov function is not restrictive as it is equivalent to the positive recurrence or stability property of any Markov chain, i.e., if there is any policy that can stabilize the system then it must possess a Lyapunov function. And, our policy does not utilize the knowledge of the specific Lyapunov function. To make our method sample efficient, we provide an improved, sample efficient Sparse-Sampling-based Monte Carlo Oracle with Lipschitz value function that may be of interest in its own right. Furthermore, we design an adaptive version of the algorithm, based on carefully constructed statistical tests, which finds the correct tuning parameter automatically.",5,"Stable reinforcement learning with unbounded state space
D Shah, Q Xie, Z Xu - arXiv preprint arXiv:2006.04353, 2020
Cited by 5 Related articles All 5 versions",{},,,,,,,,,
Non-asymptotic analysis of monte carlo tree search,"Devavrat Shah, Qiaomin Xie, Zhi Xu",2020/6/8,,,,,"In this work, we consider the popular tree-based search strategy within the framework of reinforcement learning, the Monte Carlo Tree Search (MCTS), in the context of infinite-horizon discounted cost Markov Decision Process (MDP) with deterministic transitions. While MCTS is believed to provide an approximate value function for a given state with enough simulations, cf. [Kocsis and Szepesvari 2006; Kocsis et al. 2006], the claimed proof of this property is incomplete. This is due to the fact that the variant of MCTS, the Upper Confidence Bound for Trees (UCT), analyzed in prior works utilizes ""logarithmic"" bonus term for balancing exploration and exploitation within the tree-based search, following the insights from stochastic multi-arm bandit (MAB) literature, cf. [Agrawal 1995; Auer et al. 2002]. In effect, such an approach assumes that the regret of the underlying recursively dependent non-stationary MABs …",23,"Non-asymptotic analysis of monte carlo tree search
D Shah, Q Xie, Z Xu - Abstracts of the 2020 SIGMETRICS/Performance Joint …, 2020
Cited by 23 Related articles All 9 versions","{'2019': 1, '2020': 3, '2021': 7, '2022': 7, '2023': 5}",31-32,,,,,,,Abstracts of the 2020 SIGMETRICS/Performance Joint International Conference on Measurement and Modeling of Computer Systems,
On multivariate singular spectrum analysis,"Anish Agarwal, Abdullah Alomar, Devavrat Shah",2020/6,arXiv preprint arXiv:2006.13448,6.0,,Jun,,6,"On multivariate singular spectrum analysis
A Agarwal, A Alomar, D Shah - arXiv preprint arXiv:2006.13448, 2020
Cited by 6 Related articles","{'2021': 4, '2022': 2}",,,,,,,,,
Two Burning Questions on COVID-19: Did shutting down the economy help? Can we (partially) reopen the economy without risking the second wave?,"Anish Agarwal, Abdullah Alomar, Arnab Sarker, Devavrat Shah, Dennis Shen, Cindy Yang",2020/4/30,arXiv preprint arXiv:2005.00072,,,,"As we reach the apex of the COVID-19 pandemic, the most pressing question facing us is: can we even partially reopen the economy without risking a second wave? We first need to understand if shutting down the economy helped. And if it did, is it possible to achieve similar gains in the war against the pandemic while partially opening up the economy? To do so, it is critical to understand the effects of the various interventions that can be put into place and their corresponding health and economic implications. Since many interventions exist, the key challenge facing policy makers is understanding the potential trade-offs between them, and choosing the particular set of interventions that works best for their circumstance. In this memo, we provide an overview of Synthetic Interventions (a natural generalization of Synthetic Control), a data-driven and statistically principled method to perform what-if scenario planning, i.e., for policy makers to understand the trade-offs between different interventions before having to actually enact them. In essence, the method leverages information from different interventions that have already been enacted across the world and fits it to a policy maker's setting of interest, e.g., to estimate the effect of mobility-restricting interventions on the U.S., we use daily death data from countries that enforced severe mobility restrictions to create a ""synthetic low mobility U.S."" and predict the counterfactual trajectory of the U.S. if it had indeed applied a similar intervention. Using Synthetic Interventions, we find that lifting severe mobility restrictions and only retaining moderate mobility restrictions (at retail and transit locations), seems …",23,"Two Burning Questions on COVID-19: Did shutting down the economy help? Can we (partially) reopen the economy without risking the second wave?
A Agarwal, A Alomar, A Sarker, D Shah, D Shen… - arXiv preprint arXiv:2005.00072, 2020
Cited by 23 Related articles All 6 versions","{'2020': 7, '2021': 10, '2022': 5, '2023': 1}",,,,,,,,,
On reinforcement learning for turn-based zero-sum Markov games,"Devavrat Shah, Varun Somani, Qiaomin Xie, Zhi Xu",2020/2/25,arXiv preprint arXiv:2002.10620,,,,"We consider the problem of finding Nash equilibrium for two-player turn-based zero-sum games. Inspired by the AlphaGo Zero (AGZ) algorithm, we develop a Reinforcement Learning based approach. Specifically, we propose Explore-Improve-Supervise (EIS) method that combines ""exploration"", ""policy improvement""' and ""supervised learning"" to find the value function and policy associated with Nash equilibrium. We identify sufficient conditions for convergence and correctness for such an approach. For a concrete instance of EIS where random policy is used for ""exploration"", Monte-Carlo Tree Search is used for ""policy improvement"" and Nearest Neighbors is used for ""supervised learning"", we establish that this method finds an -approximate value function of Nash equilibrium in steps when the underlying state-space of the game is continuous and -dimensional. This is nearly optimal as we establish a lower bound of for any policy.",7,"On reinforcement learning for turn-based zero-sum Markov games
D Shah, V Somani, Q Xie, Z Xu - arXiv preprint arXiv:2002.10620, 2020
Cited by 7 Related articles All 4 versions","{'2020': 1, '2021': 5, '2022': 1}",,,,,,,,,
