Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Noise mitigation techniques in thermocouple signals in negative ion sources with RF and HV transients,"Himanshu Tyagi, Kartik Patel, Ratnakar Yadav, Hiren Mistri, Agrajit Gahlaut, Kaushal Pandya, Manas Bhuyan, MJ Singh, Mainak Bandyopadhyay, Arun Chakraborty",2021/7/30,AIP Conference Proceedings,2373.0,1,AIP Publishing LLC,"Negative ion-based inductively coupled plasma sources operate in a high RF power and HV environment for plasma production and beam transport. Due to plasma power coupling dynamics, RF power mismatch causes large reflected fields which affect all the diagnostic signals, degrading the signal to noise ratio. In addition to RF disturbances, during the beam extraction and acceleration, the diagnostic signals are also prone to suffer during HV breakdowns due to high dV/dt fast switching of the HV system. The breakdowns cause the generation of HV transients which in turn disturb the entire signal referencing system. Such an operational environment poses challenges for front end electronics design for low voltage signals like the one from thermocouple sensors, which are some of the most important diagnostic elements in such sources. The surface-mounted thermocouples referenced to floating potential pick up …",1,"Noise mitigation techniques in thermocouple signals in negative ion sources with RF and HV transients
H Tyagi, K Patel, R Yadav, H Mistri, A Gahlaut… - AIP Conference Proceedings, 2021
Cited by 1 Related articles All 3 versions",{'2023': 1},090002,,,,,,,,
"Experimental results of 40 kW, 1 MHz solid state high frequency power supply with inductively coupled plasma","S Gajjar, D Upadhyay, N Singh, M Singh, A Gahlaut, K Pandya, M Bhuyan, R Yadav, H Tyagi, M Vuppugalla, A Thakar, A Patel, B Raval, R Dave, H Dhola, K Mehta, N Goswami, V Gupta, M Bandyopadhya, A Chakraborty, U Baruah",2021/7/30,AIP Conference Proceedings,2373.0,1,AIP Publishing LLC,"A solid state High Frequency (HF) 1 MHz, 40 kW source is intended for plasma formation in a neutral beam source by inductive coupling of RF power. An important design feature of such an HF source is its ability to sustain large transient swings of load (due to impedance transition on microsecond time scales). A 40 kW High Frequency Power Supply (HFPS) has been configured with multiple Class-D H-bridge inverters modules by using latest generation switching semiconductors. Each module is capable of delivering 3 kW of power, then magnetic combiners and an LC tuning network provides a 1 MHz sinusoidal output to a 50 Ω standard load. The developed prototype power supply has been coupled to a single-driver RF ion source test bed ROBIN in IPR to characterize the system with actual load conditions. In a recent experimental campaign, tuning of matching network parameters helped to strike and sustain …",1,"Experimental results of 40 kW, 1 MHz solid state high frequency power supply with inductively coupled plasma
S Gajjar, D Upadhyay, N Singh, M Singh, A Gahlaut… - AIP Conference Proceedings, 2021
Cited by 1 Related articles All 2 versions",{'2023': 1},100002,,,,,,,,
A framework for continuous fingerspelling spotting for H. 264/AVC compressed videos using spatio-temporal Markov random field,"Anjan Kumar Talukdar, Manas Kamal Bhuyan",2021/7,Multimedia Tools and Applications,80.0,18,Springer US,"The continuous Sign Language recognition (SLR) system suffers from a problem called movement epenthesis (me) which involves certain intermediate connecting movement between two consecutive signs. In this paper, a novel framework for spotting of continuous fingerspelling sequence is proposed, which can directly extract motion information of signs from a compressed video. The framework is based on motion vectors extracted from H.264/AVC compressed videos. A Spatio-Temporal Markov Random Field (ST-MRF) based model is employed to model non-rigid motions of fingers as sign or me. The proposed framework is tested on a number of sign language videos encoded with an H.264/AVC JM encoder, and the accuracy of spotting was found to be around 75%.",0,"A framework for continuous fingerspelling spotting for H. 264/AVC compressed videos using spatio-temporal Markov random field
AK Talukdar, MK Bhuyan - Multimedia Tools and Applications, 2021
Related articles All 5 versions",{},28329-28347,,,,,,,,
Analyzing seismocardiographic approach for heart rate variability measurement,"Tilendra Choudhary, Mousumi Das, LN Sharma, Manas Kamal Bhuyan",2021/7/1,Biomedical Signal Processing and Control,68.0,,Elsevier,"As a vital risk stratification tool, heart rate variability (HRV) has the ability to provide early warning signs for many life-threatening diseases. This paper presents a study on reliable cardiac cycle extraction and HRV measurement with a seismocardiographic (SCG) method. Like R-peaks in an ECG, the proposed method relies on peaks corresponding to aortic valve opening (AO) instants in an SCG signal. Due to better reliability and accessibility, the SCG signal is selected for the study. Initially, the prominent AO peaks in an SCG signal are estimated using our previously proposed modified variational mode decomposition (MVMD) based approach. In the present method, the detection performance of AO peaks is improved by employing a decision-rule-based post-processing scheme. Subsequently, tachogram of AO–AO intervals is used for the estimation of HRV parameters. A set of real-time signals collected in …",10,"Analyzing seismocardiographic approach for heart rate variability measurement
T Choudhary, M Das, LN Sharma, MK Bhuyan - Biomedical Signal Processing and Control, 2021
Cited by 10 Related articles All 2 versions","{'2021': 1, '2022': 7, '2023': 2}",102793,,,,,,,,
Skin detection in video under uncontrolled illumination,"Biplab Ketan Chakraborty, Manas Kamal Bhuyan, Karl F MacDorman",2021/7,Multimedia Tools and Applications,80.0,,Springer US,"Many vision-based human-computer interaction (HCI) applications require skin detection. However, their performance relies on accuracy in detecting skin regions in video, which is difficult under uncontrolled illumination. The chromatic appearance of skin changes because of shading, often caused by body movement. To address this, we propose a dynamic adaptation method to detect skin regions affected by local color deformations. Static and dynamic skin regions are detected by a corresponding module. The static module includes a facial skin distribution model (FSDM) and a fusion-based background distribution model (FBDM). The FBDM is obtained from a local background distribution model (LBDM) and a global background distribution model (GBDM). The LBDM is obtained by comparing a frame pixel distribution model with the FSDM and GBDM. Next, the FBDM is derived from the LBDM and the …",0,"Skin detection in video under uncontrolled illumination
BK Chakraborty, MK Bhuyan, KF MacDorman - Multimedia Tools and Applications, 2021
Related articles All 7 versions",{},24319-24341,,,,,,,,
Colonoscopic polyp classification using local shape and texture features,"Pradipta Sasmal, Manas Kamal Bhuyan, Yuji Iwahori, Kunio Kasugai",2021/6/24,IEEE Access,9.0,,IEEE,"In this paper, a method is proposed for colonic polyp classification which can perform a virtual biopsy for assessing the stage of malignancy in polyps. Geometry, texture, and colour of a polyp give sufficient cue of its nature. The proposed framework characterizes geometry or shape of a polyp by pyramid histogram of oriented gradient (PHOG) features. To encapsulate the texture of the polyp surface, a fractal weighted local binary pattern (FWLBP) descriptor is employed, which is robust to affine transformation. It is also partially robust to illumination variations which is generally encountered during endoscopy. The optimal feature fusion is done using a feature ranking algorithm based on fuzzy entropy. Finally, to evaluate the classification performance of the proposed model, kernel-based support vector machines (SVM) and RUSBoosted tree are used. Experimental results carried on two databases clearly indicate that …",5,"Colonoscopic polyp classification using local shape and texture features
P Sasmal, MK Bhuyan, Y Iwahori, K Kasugai - IEEE Access, 2021
Cited by 5 Related articles","{'2021': 2, '2022': 2, '2023': 1}",92629-92639,,,,,,,,
Video Searching and Retrieval using Scene Classification in Multimedia Databases,"Pranabjyoti Haloi, MK Bhuyan",2021/5/21,,,,IEEE,"Image and video indexing techniques play a key role in content-based searching in multimedia databases. A novel efficient video similarity search approach for content-based video retrieval in a large storage device is proposed. A compressed domain feature is used to classify the scenes of a video sequence. The performance of the said feature in classifying the scenes is evaluated by considering different feature lengths. Subsequently, a novel searching algorithm is proposed based on entropy of the image. This method incorporates temporal information of the video during video retrieval. Additionally, the proposed system has the facility to query both by video and by image. The 92.3% accuracy of the proposed method exceeded that of the VA-file 81.0% and OVA-file 76.4% methods and the computational complexity was lower than the VA-file method. This demonstrates the efficiency and effectiveness of the …",1,"Video Searching and Retrieval using Scene Classification in Multimedia Databases
P Haloi, MK Bhuyan - 2021 2nd International Conference for Emerging …, 2021
Cited by 1 Related articles",{'2023': 1},1-7,2021 2nd International Conference for Emerging Technology (INCET),,,,,,,
Detection of polyps in colonoscopic videos using saliency map-based modified particle filter,"Pradipta Sasmal, Manas Kamal Bhuyan, Shashwata Gupta, Yuji Iwahori",2021/5/20,IEEE Transactions on Instrumentation and Measurement,70.0,,IEEE,"In this article, an automatic polyp detection system for endoscopic video frames is proposed. Manual inspection of each frame for polyp localization in the colonoscopic video has many adversaries. This work proposes a real-time tracking framework for polyp region segmentation in hugely acquired colonoscopic video frames. In our work, the polyp region in the frame is roughly detected by a saliency map at first, followed by a modified tracking mechanism for localization. The work suggests the use of a visual saliency map as the measurement model for tracking. The saliency map is composed of four probability maps generated by incorporating the characteristics associated with the polyps. The elliptical shape of the polyps is used by the particles for final refinement using an active contour (AC) model. The tracking efficiency and the segmentation score achieved using the proposed method suggest that our method …",9,"Detection of polyps in colonoscopic videos using saliency map-based modified particle filter
P Sasmal, MK Bhuyan, S Gupta, Y Iwahori - IEEE Transactions on Instrumentation and …, 2021
Cited by 9 Related articles All 2 versions","{'2021': 1, '2022': 5, '2023': 3}",1-9,,,,,,,,
An adaptive thresholding-based movement epenthesis detection technique using hybrid feature set for continuous fingerspelling recognition,"Ananya Choudhury, Anjan Kumar Talukdar, Kandarpa Kumar Sarma, Manas Kamal Bhuyan",2021/4,SN Computer Science,2.0,,Springer Singapore,"Sign language recognition systems are gaining importance in recent times as these have established themselves as important elements of human–computer interaction. Also these provide an opportunity for the deaf and hearing impaired to communicate with the common people without the need of an interpreter. Yet there are plenty of challenges in this field which are worth exploring and solutions formulated. In this paper, we have addressed the design of a continuous fingerspelling recognition system which segments a fingerspelling sequence into meaningful extracts and non-sign patterns and thereby recognizes the meaningful signs. Sign segmentation is carried out by means of a unique set of features which comprises of shape matching, velocity change and displacement of centroid between successive frames. Specialized techniques like adaptive thresholding and finite state machine model are also …",3,"An adaptive thresholding-based movement epenthesis detection technique using hybrid feature set for continuous fingerspelling recognition
A Choudhury, AK Talukdar, KK Sarma, MK Bhuyan - SN Computer Science, 2021
Cited by 3 Related articles",{},1-21,,,,,,,,
Computational learning of features for automated colonic polyp classification,"Kangkana Bora, MK Bhuyan, Kunio Kasugai, Saurav Mallik, Zhongming Zhao",2021/2/23,Scientific Reports,11.0,1,Nature Publishing Group,"Shape, texture, and color are critical features for assessing the degree of dysplasia in colonic polyps. A comprehensive analysis of these features is presented in this paper. Shape features are extracted using generic Fourier descriptor. The nonsubsampled contourlet transform is used as texture and color feature descriptor, with different combinations of filters. Analysis of variance (ANOVA) is applied to measure statistical significance of the contribution of different descriptors between two colonic polyps: non-neoplastic and neoplastic. Final descriptors selected after ANOVA are optimized using the fuzzy entropy-based feature ranking algorithm. Finally, classification is performed using Least Square Support Vector Machine and Multi-layer Perceptron with five-fold cross-validation to avoid overfitting. Evaluation of our analytical approach using two datasets suggested that the feature descriptors could efficiently …",10,"Computational learning of features for automated colonic polyp classification
K Bora, MK Bhuyan, K Kasugai, S Mallik, Z Zhao - Scientific Reports, 2021
Cited by 10 Related articles All 7 versions","{'2021': 4, '2022': 3, '2023': 3}",1-16,,,,,,,,
Recovering shape from endoscope image using eikonal equation,"Yuji Iwahori, Hiroyasu Usami, M Bhuyan, Aili Wang, Naotaka Ogasawara, Kunio Kasugai",2021,PATTERNS 2021,,,,This paper proposed a shape recovery approach from Endoscope Image using Eikonal Equation. Photometric constraint equation derived from the Lambert reflectance and geometrical constraint equation derived from the relationship between the neighboring points are used and these equations can make a new approximation equation of Eikonal equation under the point light source illumination and perspective projection. The original endoscope image is transformed and generated to the Lambertian image by removing the specular reflectance. Framework of Fast Marching Method using the derived Eikonal Equation can recover the 3D shape from endoscope image. Usefulness was confirmed using simulation and experiments.,1,"Recovering shape from endoscope image using eikonal equation
Y Iwahori, H Usami, M Bhuyan, A Wang, N Ogasawara… - PATTERNS 2021, 2021
Cited by 1 Related articles",{'2021': 1},1-2,,,,,,,,
Automatic Generation of Polyp Image using Depth Map for Endoscope Dataset,"Haruki Yamane, Shinji Fukui, Yuji Iwahori, Hiroyasu Usami, Manas Kamal Bhuyan, Naotaka Ogasawara, Kunio Kasugai",2021/1/1,Procedia Computer Science,192.0,,Elsevier,"In recent years, opportunities for diagnosis using endoscopy aiming a less invasive treatment are increasing following the disease rate of colorectal cancer. Computer-aided diagnosis has been developed based on deep learning methodology, it aiming to improve the accuracy of diagnosis and support immature medical doctors. To satisfy the learning dataset, this paper proposes a data augmentation methodology where automatic image generation of polyp images using Pix2Pix and depth map obtained from the original image. The problem of lack of the learning dataset of polyp images can be solved by the proposed approach and the effectiveness of the generated data was confirmed by the quantitative evaluation with the improved performance of SSD (Single Shot Multibox Detector) in the experiments.",1,"Automatic Generation of Polyp Image using Depth Map for Endoscope Dataset
H Yamane, S Fukui, Y Iwahori, H Usami, MK Bhuyan… - Procedia Computer Science, 2021
Cited by 1 Related articles All 2 versions",{'2022': 1},2355-2364,,,,,,,,
Graph-Based Depth Estimation in a Monocular Image Using Constrained 3D Wireframe Models,"Bishshoy Das, H Pallab Jyoti Dutta, Manas Kamal Bhuyan",2021,,,,Springer Singapore,"In this paper, the problem of estimating the depth of an object from its monocular image is addressed. Here, basically, an algorithm is developed, which performs shape matching, and as a result, achieve accurate depth maps of objects. In the algorithm, first, an optimal camera position is determined. Then, the 3D model is projected onto the image plane of the camera, yielding a projected 2D image of the 3D model. An objective function determines a score based on graph-based feature matching, and the depth map is extracted from the geometrical information of the 3D model. Finally, the depth map and the original image are combined to create a 3D point cloud simulation of the object. Experimental analysis shows the efficacy of the proposed method.",0,"Graph-Based Depth Estimation in a Monocular Image Using Constrained 3D Wireframe Models
B Das, HPJ Dutta, MK Bhuyan - Computer Vision and Image Processing: 5th …, 2021
Related articles",{},419-433,"Computer Vision and Image Processing: 5th International Conference, CVIP 2020, Prayagraj, India, December 4-6, 2020, Revised Selected Papers, Part III 5",,,,,,,
An Unsupervised Approach for Estimating Depth of Outdoor Scenes from Monocular Image,"Shankhanil Mitra, H Pallab Jyoti Dutta, Manas Kamal Bhuyan",2021,,,,Springer Singapore,"Majority of the existing deep learning based depth estimation approaches employed for finding depth from monocular image need very accurate ground truth depth information to train a supervised decision framework. However, it is not always possible to get an accurate depth information particularly for diverse outdoor scenes. To address this, a convolutional network architecture is proposed, which comprises of two encoder-decoders for utilizing stereo matching criterion for training. The image reconstruction error measure is employed for optimization of network parameters instead of ground truth depth information. To estimate an accurate disparity map in low textured and occluded regions, a cross based cost-aggregation loss term is proposed along with a novel occlusion detection and filling method in the post-processing stage. The proposed method achieves an improvement of 6.219% RMS error for a …",0,"An Unsupervised Approach for Estimating Depth of Outdoor Scenes from Monocular Image
S Mitra, HPJ Dutta, MK Bhuyan - Computer Vision and Image Processing: 5th …, 2021
Related articles",{},291-304,"Computer Vision and Image Processing: 5th International Conference, CVIP 2020, Prayagraj, India, December 4-6, 2020, Revised Selected Papers, Part III 5",,,,,,,
Multi-level uncorrelated discriminative shared Gaussian process for multi-view facial expression recognition,"Sunil Kumar, Manas Kamal Bhuyan, Yuji Iwahori",2021/1,The Visual Computer,37.0,,Springer Berlin Heidelberg,"In multi-view facial expression recognition, discriminative shared Gaussian process latent variable model (DS-GPLVM) gives better performance than that of linear and nonlinear multi-view learning-based methods. However, Laplacian-based prior used in DS-GPLVM only captures topological structure of data space without considering the inter-class separability of the data, and hence the obtained latent space is suboptimal. So, we propose a multi-level uncorrelated DS-GPLVM (ML-UDSGPLVM) model which searches a common uncorrelated discriminative latent space learned from multiple observable spaces. A novel prior is proposed, which not only depends on the topological structure of the intra-class data, but also on the local-between-class-scatter-matrix of the data onto the latent manifold. The proposed approach employs an hierarchical framework, in which, expressions are first divided into three …",10,"Multi-level uncorrelated discriminative shared Gaussian process for multi-view facial expression recognition
S Kumar, MK Bhuyan, Y Iwahori - The Visual Computer, 2021
Cited by 10 Related articles All 2 versions","{'2021': 3, '2022': 5, '2023': 1}",143-159,,,,,,,,
"Segregation of meaningful strokes, a pre‐requisite for self co‐articulation removal in isolated dynamic gestures","Kuldeep Singh Yadav, Songhita Misra, Taimoor Khan, MK Bhuyan, Rabul Hussain Laskar",2020/12/28,IET Image Processing,15.0,5,IET Digital Library,"AbstractGesture formation, a pre‐processing step, has its importance when variations in patterns, scale, and speed come into play. Self co‐articulations are intentional movements performed by an individual to complete a gesture, whose presence in the trajectory alters its original meaning. For recognition, most researchers have directly used the trajectory formed along with these self co‐articulated strokes, with a few removing it using visible trait‐like velocity. Usage of velocity has shortcomings as gesturing in air differs from gesturing over a solid surface; hence, we propose a gesture formation model, which incorporates global and local measures to remove these self co‐articulations. The global measure uses Euclidean distance, instantaneous velocity, and polarity calculated from the complete gesture, while the local measure segments the gesture into stroke‐level segments by using the minimum–maximum …",9,"Segregation of meaningful strokes, a pre‐requisite for self co‐articulation removal in isolated dynamic gestures
KS Yadav, S Misra, T Khan, MK Bhuyan, RH Laskar - IET Image Processing, 2020
Cited by 9 Related articles","{'2022': 6, '2023': 3}",1166-1178,,,,,,,,
Improved endoscopic polyp classification using GAN generated synthetic data augmentation,"Pradipta Sasmal, MK Bhuyan, Sourav Sonowal, Yuji Iwahori, Kunio Kasugai",2020/10/7,,,,IEEE,"Early diagnosis of cancer in polyps detected in the endoscopic video frames helps in better prognosis and clinical management. For this, the polyp regions are exhaustively analyzed by an endoscopist. In this paper, an automated polyp classifier in a deep learning framework is proposed. As the availability of ground truth data for colonic polyp is always in paucity, data augmentation is indispensable in such task. Our work proposes the use of Generative adversial networks (GANs) for synthetic data generation. For classification, a CNN is trained which discriminate between normal (benign) and cancer (malignanat) polyps. Experiments carried on two databases prove that the proposed data augmentation technique can efficiently be used in the classification of colonic polyps. Also, our proposed method compares the performance achieved using classical augmentation approach which is generally considered in …",7,"Improved endoscopic polyp classification using GAN generated synthetic data augmentation
P Sasmal, MK Bhuyan, S Sonowal, Y Iwahori… - 2020 IEEE Applied Signal Processing Conference …, 2020
Cited by 7 Related articles","{'2021': 3, '2022': 4}",247-251,2020 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
Optical flow guided motion template for hand gesture recognition,"Debajit Sarma, MK Bhuyan",2020/10/7,,,,IEEE,"Gesture representation specially hand gesture has a special role in the computer and human interaction community. Model-based and appearance-based methods are two primary techniques for hand gesture representation. Apart from these two, space-time features and motion-based approaches have gained quite impressive performance in various applications of action and gesture recognition. In space-time features, actions/gestures are considered as local spatiotemporal neighbourhood. But most space-time features are computationally expensive. Motion-based approaches mainly constitute optical flow and motion templates. Motion estimation of the image pixels is the key factor in optical flow, whereas, in motion-templates, video-wide temporal evaluation and their representations are widely used for action/gesture recognition. Both these methods have their own advantages and accordingly applied in the …",3,"Optical flow guided motion template for hand gesture recognition
D Sarma, MK Bhuyan - 2020 IEEE applied signal processing conference …, 2020
Cited by 3 Related articles","{'2021': 1, '2022': 2}",262-266,2020 IEEE applied signal processing conference (ASPCON),,,,,,,
Hand gesture localization and classification by deep neural network for online text entry,"Shivraj Sharma, H Pallab Jyoti Dutta, MK Bhuyan, RH Laskar",2020/10/7,,,,IEEE,"Hand gesture recognition is an important aspect of human-computer interaction. A proper hand gesture recognizing system can be used to build a robust text entry system for human-computer interface. This work proposes a real-time hand localization and recognition system. For hand localization, YOLOv3 is used that predicts a bounding box around the hand, and for hand gestures classification, a pretrained VGG16 network is employed. The bounding box regression technique helped localize the ROI (region of interest) and reduced the complexity, that aided in the classification task. The experimental results show that the proposed method is capable of recognizing the gestures with high testing accuracy on three benchmark datasets, namely, ASL (American sign language), Libras and NUS (National University of Singapore) datasets.",5,"Hand gesture localization and classification by deep neural network for online text entry
S Sharma, HPJ Dutta, MK Bhuyan, RH Laskar - 2020 IEEE Applied Signal Processing Conference …, 2020
Cited by 5 Related articles All 2 versions","{'2022': 3, '2023': 2}",298-302,2020 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
Deep network-based hand gesture recognition using optical flow guided trajectory images,"V Kavyasree, Debajit Sarma, Priyanka Gupta, MK Bhuyan",2020/10/7,,,,IEEE,"The use of body gestures and specially hand ges-tures can be a convenient and useful alternative tool for many utilizations in the human-computer interaction community. A typical hand gesture recognition system comprises different stages like detection, representation and recognition. In this process of hand gesture recognition, proper detection and tracking of the moving hand in a cluttered background play an important role due to the varied shape and size of the hand. In this work, we propose a framework for the recognition of isolated gestures where the moving hand with different shapes, size and colours is detected through optical flow, and the proper hand gesture is recognized using a VGG16 architecture. This paper utilizes the optical flow to track points of interest in video and store the tracked motion as images that we call trajectory-based images. These images are then fed to a VGG16 network for …",5,"Deep network-based hand gesture recognition using optical flow guided trajectory images
V Kavyasree, D Sarma, P Gupta, MK Bhuyan - 2020 IEEE applied signal processing conference …, 2020
Cited by 5 Related articles","{'2021': 1, '2022': 4}",252-256,2020 IEEE applied signal processing conference (ASPCON),,,,,,,
Vision Based Communicator,"Avish Kabra, Chandan Agrawal, H Pallab Jyoti Dutta, MK Bhuyan, RH Laskar",2020/10/7,,,,IEEE,"This work provides a vision-based human-computer interface. The interface senses and interprets eye-blinks as controls along with gaze detection methods. We used image processing methods like haar-like features for automatic face detection, followed by eye tracking and blink detection based on landmarks. The gaze detection mechanism helps in easy controlling of the mouse pointer which can help people with disabilities to communicate effectively. A heatmap is also generated so that in future developments, this data can be used to design a more efficient layout for the controls. Given the necessity to move towards online solutions, such data can cater to the needs of a variety of sectors.",1,"Vision Based Communicator
A Kabra, C Agrawal, HPJ Dutta, MK Bhuyan… - 2020 IEEE Applied Signal Processing Conference …, 2020
Cited by 1 Related articles All 2 versions",{'2022': 1},293-297,2020 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
Occlusion robust object tracking with modified particle filter framework,"Shaswata Gupta, MK Bhuyan, Pradipta Sasmal",2020/10/7,,,,IEEE,"Object tracking is a classical problem of computer vision and is ubiquitous in many applications. Multiple tracking frameworks have been proposed in the past, and still attracting many researchers due to its high applicability in various fields. Major challenges in object tracking are because of constraints like illumination, occlusions, changing background, etc. This work proposes a modified Particle Filtering framework that is robust to partial and complete occlusions. In achieving so, this work suggests the use of a forward prediction filter that is fused with the proposed framework. It works irrespective of the measurement model. Also, our proposed work proposes an Uncertainty Factor for every prediction that controls the amount of uncertainty during particle update and adjusts the search area accordingly. This Uncertainty Factor also acts as a measure of tracking performance. Extensive experiments prove the better …",2,"Occlusion robust object tracking with modified particle filter framework
S Gupta, MK Bhuyan, P Sasmal - 2020 IEEE Applied Signal Processing Conference …, 2020
Cited by 2 Related articles","{'2021': 1, '2022': 1}",257-261,2020 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
Carbon-backed thin tin (116Sn) isotope target fabrication by physical vapor deposition technique,"Nabendu Kumar Deb, Kushal Kalita, Pankaj Kumar Giri, SR Abhilash, GR Umapathy, Rohan Biswas, Amar Das, D Kabiraj, S Chopra, M Bhuyan",2020/10,Journal of Radioanalytical and Nuclear Chemistry,326.0,,Springer International Publishing,"In nuclear reaction experiments, the thin targets are required. In the present work, 30 thin 116Sn targets were prepared using physical vapor deposition technique (preferable for thin film fabrication) on carbon backing with usage efficiency of 98%. The carbon-backed thin target films along with the parting agents are deposited on the particular substrates using a diffusion pump based coating unit. The thicknesses of the targets were verified using α-energy loss and RBS technique and they were in good agreement with each other. The purity of the target, verified using RBS, EDS and XRD techniques, were also tested with confirmation.",6,"Carbon-backed thin tin (116 Sn) isotope target fabrication by physical vapor deposition technique
NK Deb, K Kalita, PK Giri, SR Abhilash, GR Umapathy… - Journal of Radioanalytical and Nuclear Chemistry, 2020
Cited by 6 Related articles All 4 versions","{'2021': 2, '2022': 4}",97-104,,,,,,,,
Identification of human breathing-states using cardiac-vibrational signal for m-health applications,"Tilendra Choudhary, LN Sharma, MK Bhuyan, Kangkana Bora",2020/9/21,IEEE Sensors Journal,21.0,3,IEEE,"In this work, a seismocardiogram (SCG) based breathing-state measuring method is proposed for m-health applications. The aim of the proposed framework is to assess the human respiratory system by identifying degree-of-breathings, such as breathlessness, normal breathing, and long and labored breathing. For this, it is needed to measure cardiac-induced chest-wall vibrations, reflected in the SCG signal. Orthogonal subspace projection is employed to extract the SCG cycles with the help of a concurrent ECG signal. Subsequently, fifteen statistically significant morphological-features are extracted from each of the SCG cycles. These features can efficiently characterize physiological changes due to varying respiratory-rates. Stacked autoencoder (SAE) based architecture is employed for the identification of different respiratory-effort levels. The performance of the proposed method is evaluated and compared with …",7,"Identification of human breathing-states using cardiac-vibrational signal for m-health applications
T Choudhary, LN Sharma, MK Bhuyan, K Bora - IEEE Sensors Journal, 2020
Cited by 7 Related articles All 2 versions","{'2021': 1, '2022': 6}",3463-3470,,,,,,,,
Detection of Lymph Nodes using CNN from Contrast-Enhanced CT Images,"Tatsuki Ono, Yuji Iwahori, Hiroyasu Usami, Boonserm Kijsirikul, Manas Kamal Bhuyan, Taihei Oshiro, Yasuhiro Shimizu",2020/9/1,,,,IEEE,"Detection of lymph nodes in medical practice is important to determine the presence or absence of cancer metastasis or to select the medical operation based on the degree of cancer progression. However, there are problems such that the number of medical doctors is limited or it is difficult to perform the medical diagnosis with high accuracy. This paper tries to solve these problems and proposes a new approach to detect lymph nodes by learning the status of lymph nodes with R2U-Net using divided patches of contrast-enhanced CT images. It is shown that the detection of lymph node becomes better by introducing the integration processing.",1,"Detection of Lymph Nodes using CNN from Contrast-Enhanced CT Images
T Ono, Y Iwahori, H Usami, B Kijsirikul, MK Bhuyan… - 2020 9th International Congress on Advanced Applied …, 2020
Cited by 1 Related articles All 2 versions",{'2023': 1},471-474,2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI),,,,,,,
Detection of Cell Nuclei using LadderNet,"Ren Ando, Yuji Iwahori, Shinji Fukui, Aili Wang, Manas Kamal Bhuyan, Takashi Iwamoto, Jun Ueda",2020/9/1,,,,IEEE,"Cytology which directly examines cells in the early detection of cancer plays an important role but this diagnosis depends on the experience and technology of a pathologist. The problem is that it takes time and the objectivity is poor. An automatic diagnosis system for pathologically diagnosing cancer is necessary to solve these problems. To classify cells into benign or malignant automatically, it is important to detect the cell nucleus from the cell image in advance. This paper proposes a new approach to detect cell nuclei for automatically using LadderNet which is a recent extension model of U-Net used in the Deep Learning Approach.",0,"Detection of Cell Nuclei using LadderNet
R Ando, Y Iwahori, S Fukui, A Wang, MK Bhuyan… - 2020 9th International Congress on Advanced Applied …, 2020
Related articles All 2 versions",{},467-470,2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI),,,,,,,
Pore Detection from Human Skin Image using U-Net,"Keisuke Kachi, Yuji Iwahori, Hiroyasu Usami, Shinji Fukui, Aili Wang, Manas Kamal Bhuyan",2020/9/1,,,,IEEE,"There are medical hair removal and esthetic's hair removal in the current hair removal approach. Hair loss damages the tissues from which hair grows (hair cells, dermal papilla). Esthetic's hair removal has more constraints than the medical hair removal without a resident medical doctor and the effectiveness of the hair removal is lower. Therefore, pore detection is important to monitor the effect of hair removal. This paper proposes pore detection approach using U-Net [1] which is used in medical image segmentation and shows that proposed method detects pores from human skin images with high accuracy.",0,"Pore Detection from Human Skin Image using U-Net
K Kachi, Y Iwahori, H Usami, S Fukui, A Wang… - 2020 9th International Congress on Advanced Applied …, 2020
Related articles",{},463-466,2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI),,,,,,,
