Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution,Inventors,Patent office,Application number,Report number
Functional outcomes of sensorimotor balance training as compared to dorsiflexor strengthening in elderly population,"K Khandelwal KHATIK, R Srivastava, I TANEJA, KSR Raju, H Dwivedi, P Shukla, PK Gupta, S Singh",,,,,,"The aim of the study was to develop oral arteether (AE) nano formulations and to investigate its effects in rats; for complete and effective treatment of Plasmodium yoelii 10 nigeriensis infected mice at reduced dose by increasing relative bioavailability. Nano-formulations of arteether have been developed. The relative bioavailability (RB%) was assessed by calculating individual AUC0‒t, AUC0-∞ and Cmax values. Haematological, biochemical parameters were estimated in rats 15 and sections of brain and peripheral organs were analyzed for histopathological changes. The formulations were tested for antimalarial efficacy and safety in Plasmodium yoelii nigeriensis infected swiss mice. The AUC in case of lipid formulations (AUC0-t 4.98±0.79 h. µg/ml) and AUC0-∞(5.02±0.80 h. µg/ml) 20 were significantly higher (p< 0.05) than AE in ground nut oil (GNO) and AE aqueous suspension. The Cmax was also significantly higher for all the formulations. The RB% has been found to be significantly high (257%) in formulations with respect to AE in GNO. No considerable changes have been 25 monitored in the serum biochemical parameters in rats. These formulations have been found to be highly effective against Plasmodium yoelii nigeriensis infected swiss mice even at the lower dose of 12.5 mg/kg x5 days. Overall the developed formulations are safe and provide a non-toxic platform for further 30 clinical studies and can be used in artemisinin-based combination therapies (ACTs).
Graphical abstract:",0,"www. rsc. org/advances
KK KHATIK, R Srivastava, I TANEJA, KSR Raju…
Related articles All 2 versions",{},,,,,,,,,
Falls among older adults on anticoagulation: A quality improvement project,"R Rameshkumar, SP Singh",,,,,,"Oilseed crops are important sources of energy for human consumption and also provide raw material for a wide range of industrial products. Earlier, animal products such as lard, beef tallow, butter, characterized by saturated fats were major sources of fat supply. Since a number of nutritional and medical studies indicated strong relationship between high levels of saturated fats and cholesterol, and incidence of Coronary Heart Disease (CHD), there was a major shift in consumption from animal fats to vegetable oils. The Institute of Shortenings and Edible Oils (ISEO) has reported that there was a shift from two-thirds of the visible fat as animal fat to one-third in 1966 and to 95% of the visible fat as vegetable origin in 1002.
Since vegetable oils are predominantly composed of unsaturated fatty acids they lack the characteristic stability, texture and flavour, imparted by saturated fats. So to provide the same texture, flavour …",0,"ĮREVIEW ARTICLE
R Rameshkumar, SP Singh
Related articles",{},,,,,,,,,
An outpatient quality improvement program increased advance directive discussions that identified a health care proxy or surrogate decision maker,"M Kronen, A Vunisea, S Malimali, S Singh, V Vuki, D Munro Solomona, T Tuatai, M Koroa, V Ram-Bidesi, M Williams",,,,,,"Les femmes ne vont jamais à la chasse, mais elles pêchent: L’égalité des femmes et des hommes dans la formulation des politiques et la planification stratégique du secteur de la pêche côtière en Océanie",0,"HINA, les femmes et la pêche
M Kronen, A Vunisea, S Malimali, S Singh, V Vuki…
Related articles All 4 versions",{},,,,,,,,,
Simultaneous quantification of flavonoids Homoeriodictyol and Persicogenin in the methanol extract of aerial parts of two different species of genus Rhus by validated HPTLC method,"SP Singh, R Ramesh Kumar",,,,,,"Thc genus Cuphea is the largest in the family Lythraceae having more than 260 species which are hcrbaccous, annuals and perennials. The sced oil of Cuphea has unparallel diversity of fatty acid patterns that range from C,–C, with Medium Chain Triglycerides (MCTG) predominating,“unique in plant kingdom”. It is native of subtropical Brazil & Mexico and has bcen introduced in India for exploitation as oil sced crop.",0,"voÜME 2 NUMBER 1 MARC 2003||
SP Singh, RR Kumar",{},,,,,,,,,
New report of a sweet basil leaf blight caused by Cochliobolus lunatus in India,"Manikrao M Salunkhe, Shireesh Pal Singh, Kiran Lata Dangwal, Vandana Singh, Parthasarthi Pandey, Niradhar Dey, Niranjan Srivastava, Veer Pal Singh, Vandana Punia, Rekha Sharma, Laxman Shindhe, Sanjay Singh, Neeta Pandey, Anshu Mathur, Vikash Teji",,,,,,"0 Editorial Board & Contents New.pmd Page 1 Editorial Board Chairperson Prof. Manikrao M. Salunkhe Vice-Chancellor Central University of Rajasthan Kisangadh, Rajasthan Editor in Chief Dr. Shireesh Pal Singh Assistant Regional Director Indira Gandhi National Open University, Bhopal shireeshsingh1982@gmail.com Executive Editor Dr. Kiran Lata Dangwal Department of Education Lucknow University, Luckhnow, Uttar Pradesh kldangwal@yahoo.co.in, kldangwal@gmail.com Associate Editor Dr.Vandana Singh School of Education IGNOU, New Delhi Dr Parthasarthi Pandey Allahabad Uttar Pradesh Dr. Niradhar Dey IGNOU, New Delhi Uttar Pradesh Prof. Niranjan Srivastava DAVV, Indore Madhya Pradesh Dr. Veer Pal Singh NCERT, New Delhi Dr. Vandana Punia CDLU, Sirsa Haryana Dr. Rekha Sharma Nagpur Maharashtra Editorial Board Dr Laxman Shindhe DAVV, Indore Madhya Pradesh Dr Sanjay …",0,"Editorial Board Chairperson
MM Salunkhe, SP Singh, KL Dangwal, V Singh…",{},,,,,,,,,
TJamSpotter: Real Time Android App for Road Traffic Management.,"SP Singh, SS Gaurav, Vishwajit Singh, SB Singh, YK Singh",,,,,,"Grain legumes known as pulses are the second most important group of crops in the world. Legumes are members of the family Leguminosae or fabaceae. This family comprises 750 genera and 20,000 species (1). The grain legumes primarily belong to the two major groups of subfamily Papilionidae: Phaseoleae or tropical legumes and Galegoid or temperate legumes. They comprise chick pea, pigeon pea, soybean, groundnut, cowpea, field pea, lentil, faba bean, black gram, green gram, grass pea and phaseolus bean. Grain legumes are mainly cultivated in developing countries of South America, Africa and Asia. They are important constituents in the vegetarian diet of million of people, especially in the developing countries. The seeds of grain legumes contain about 20-40% of protein and supply about one third of dietary protein for human consumption (2). Grain legumes are integral part of daily diet which helps …",0,"BREED ING STRAT EGY FOR OR GANIC FARM ING IN GRAIN LEGUMES—AN OVERVIEW
SP Singh, SS Gaurav, V Singh, SB Singh, YK Singh
Related articles",{},,,,,,,,,
A survey on research issues in wireless sensor networks,"Aman Bansal, Brijesh Singh, SP Singh",,,,,,This paper presents the solution of economic power generation schedule problem for day ahead wholesale power market based on DC optimal power flow based optimization methodology. The objective is to minimize the generation cost and keep the outputs of generators in their secured limits without violating the of line limits in power networks. The study has been conducted on a modified IEEE-30 bus system. The results show clearly the effectiveness of the suggested method in wholesale power market for optimal scheduling of generators.,0,"Maximization of Social Welfare and Economic Power Generations Schedule Based on DCOPF in Day Ahead Wholesale Power Market
A Bansal, B Singh, SP Singh
Related articles",{},,,,,,,,,
Simulation of various adaptive techniques in wireless: A comprehensive view,"R Vijayarajeswaran, SP Natarajan, K Shanmugam, D Suji Joan, Bhim Singh, Pradeep Jain, AP Mittal, JRP Gupta, D Sarkar, Ranjan K Behera, TV Dixit, G Kiran, Shyama P Das, BP Singh, Sanjeet Dwivedi, Self-Excited Single-Phase Induction Generator, SN Mahato, SP Singh, MP Sharma, Nobuyuki Kasa, Takahiko Iida, A Muthuramalingam, M Balaji, S Himavathi, Sumitha Mohan, Jan Losansky, Henry Gueldner, AN Arvindan, VK Sharma, M Subbiah",,,,,,"Contents Session 1A Session 1B Page 1 vii Contents Session 1A Power Electronics in Machine Control I 20th December 2006, Wednesday, 10:15 – 12:15 1A.1 Novel Speed Control Technique for Permanent Split Capacitor Motors Using Direct Power Converter R. Vijayarajeswaran, SP Natarajan, K. Shanmugam, D. Suji Joan 1 1A.2 Speed Sensorless Electric Vehicle Propulsion System Using DTC IM Drive Bhim Singh, Pradeep Jain, AP Mittal, JRP Gupta 7 1A.3 Approximate Analysis of Transient Heat Conduction in an Induction Motor During Plugging D. Sarkar 12 1A.4 Three-level Inverter fed High Performance Induction Motor Drive System for High Power Application Ranjan K. Behera, TV Dixit, G. Kiran, Shyama P. Das 17 1A.5 DSP Based Implementation of Sliding Mode Speed Controller for Vector Controlled Permanent Magnet Synchronous Motor Drive Bhim Singh, BP Singh, Sanjeet Dwivedi 22 1A.6 …",0,"Session 1A
R Vijayarajeswaran, SP Natarajan, K Shanmugam…",{},,,,,,,,,
Perioperative Management in a Child with Familial Bilateral Pheochromocytoma,"SUNIL JOSHI, P SREERAMA KUMAR, SP SINGH",,,,,,"Fusarinn coccophilum (Desm.) Wollenw. & Reinking was recorded as a fungal pathogen of the sugarcane whitefly, Aleurolobus barodensis (Maskell) from Dhule and Pune areas of Maharashtra. The infection level during rainy season varied from 2.2 to 12.8 per cent. Its pathogenicity both to nymphs and pupae was confirmed. This is the first report of F coccophilum on sugarcane whitefly.",0,"Occurrence of Fusarium coccophilum (Desm.) Wollenw. & Reinking on sugarcane whitefly, Aleurolobus barodensis (Maskell)
S JOSHI, PS KUMAR, SP SINGH
Related articles",{},,,,,,,,,
Two-phase flow instability and bifurcation analysis of inclined multiple uniformly heated channels-15107,"S Singh, I Babic, BR CBIaden",,,,,,"When exposed to mild freezing stress, Brassjca napus seeds fail to lose all their chlorophyll (Chl) at maturity, probably because of rapid moisture loss. We have found transient increases in cytokinins (CKs) especially zeatin (Z), and abseisic acid (ABA) within the first two days after the freeze stress. In some experiments, this was accompanied by a transient increase in Chl. This is the first report of a freeze stress—induced increase in cytokinin levels in seeds.",0,"FREEZE STRESS INDUCED CHANGES IN GENE EXPRESSION, HORMONE AND CHLOROPHYLL LEVELS IN RELATION TO ACCELERATED DESICCATION OF BRASSICA NAPUS SEED
S Singh, I Babic, BR CBIaden
Related articles",{},,,,,,,,,
Iatrogenic Foreign Body during Extraction,"Raviraj S Patkar, S Pratap Singh",,,,,,"Image ranking is being used by commercial search engine giants to improve the precision of images searched. Traditional image retrieval systems used are based on keyword search. In such query based systems information from the image is not utilized. Manifold Ranking (MR) technique has been successfully applied for content based image retrieval. In this paper an attempt has been made to enhance the novel graph based Efficient Manifold Ranking (EMR) approach to solve ambiguity issue. The main objective is to annotate the images with some manually defined concepts using visual and context based features for learning a latent space. By feeding the latent vectors into existing classification models, it can be applied to multimedia annotation which is one of the most important problems in multimedia retrieval. This paper also aims to show a more sophisticated algorithm to directly incorporate the discriminate information in training.",0,"Image Retrieval with Ambiguity Resolution using Enhanced Graph based Ranking Model
RS Patkar, SP Singh
Related articles",{},,,,,,,,,
Enormous possibilities in big data: Trends and applications,"L Kumar, A Gupta, S Singh, P Usurmarthi",,,,,,"Intentional or unintentional insertion of a rectal foreign body (FB) is not uncommon and often poses serious challenge to the clinician. FB can be inserted in rectum for various purposes; sexual perversion is the most common. Diagnosis of rectal foreign bodies is usually made by history, digital examination of the rectum, sigmoidoscopy and roentgenography. Majority (90%) of the cases are treated by transanal retrieval. Laparotomy is only required in impacted foreign body and or with perforation peritonitis. We are reporting an unusual circumstance, purely accidental trans-anal introduction of a large metal glass into the rectum and review of literature in brief.",0,"of large foreign body in the rectum: Case report. OA Case Reports 2013 Nov 15; 2 (14): 133.
L Kumar, A Gupta, S Singh, P Usurmarthi
Related articles",{},,,,,,,,,
"Efficacy of entomopathogenic nematode (Heterorhabditis indica) in controlling phorid Fly, Megaselia sandhui in Agaricus bisporus","R Jain, S Matassa, S Singh, ED Van Hullebusch, G Esposito, PNL Lens",,"Biogenic Nanoparticles of Elemental Selenium: Synthesis, Characterization and Relevance in Wastewater",,,Utrecht University,"This study proposes a one-step process for total selenium removal using activated sludge, where selenite is reduced, while the produced colloidal elemental selenium nanoparticles (BioSeNPs) are entrapped in the activated sludge flocs. Glucose as carbon source gave 2.9 and 6.8 times higher total selenium removal at neutral pH and 30 oC as compared to lactate and acetate at 2.0 g L-1 COD. Total selenium removal efficiencies of 79±3 and 86±1% were achieved, respectively, in shake flasks and batch reactors at a dissolved oxygen (DO)> 4.0 mg L− 1 and 30 oC when fed with 172 mg L− 1 Na2SeO3 and 2.0 g L− 1 chemical oxygen demand (COD) of glucose. Continuous reactors operated at neutral pH and 30 oC removed 33.98 and 36.65 mg of total selenium per g of total suspended solids (TSS) at TSS concentrations of 1300 and 3000 mg L− 1, respectively. However, the operated reactors crashed upon continuous feeding of selenium after 10-20 days at the applied loading rates, most likely due to toxicity of selenite to the aerobic bacteria.",0,"This chapter will be submitted as
R Jain, S Matassa, S Singh, EDV Hullebusch… - Biogenic Nanoparticles of Elemental Selenium …
Related articles All 6 versions",{},176,,,,,,,,
"Biology of phorid fly, Megaselia agarici on button mushroom Agaricus bisporus","S SINGH, P NARAIN",,,,,,"Disequilibrium due to linkage in self-fertilized populations with selection forces has been investigated with respect to two genes. Two measures of disequilibrium have been used. One is the determinant of the matrix of the gametic frequencies and the other is the difference in the frequencies of coupling and repulsion heterozygotes. Based on some models, numerical solutions for the approach to equilibrium under linkage and selection have been obtained, It has been found that the equilibrium values of the two measures of disequilibrium do not become zero in ail cases. The rate of approach to e quilibrium is found to be dependent on the intensity of linkage, tight linkage prolonging the approach to equilibrium. Although coupling and repulsion heterozygotes become equally numerous in the population, it is possible that the equilibrium value of'd'need not be zero in epistatic models. Differences in fitnesses between …",0,"DISEQUILIBRIUM DUE TO LINKAGE IN SELF-FERTILIZED
S SINGH, P NARAIN
Related articles",{},,,,,,,,,
Relationship of scrotal circumference and hormonal levels with semen quality in Murrah buffalo young bulls,"SM Gaafar, WN Beesley, Great Britain Liverpool, RV Brunsdon, RM Connan, Great Britain Cambridge, V Dyk, UK Enyenihi, VS Ershov, J Euzeby, TE Gibson, Great Britain Weybridge, K Nielsen, M Ohbayashi, ZS Pawlovski, RE Purnell, Great Britain Compton, S Singh, L Touratier, France La Garenne Colombes, I Vichniakov",,,,,,,0,"veterinary par tblogy
SM Gaafar, WN Beesley, GB Liverpool, RV Brunsdon…
All 2 versions",{},,,,,,,,,
"Studies of neurosecretory cells of eyestalk, brain and thoracic ganglia of Metapenaeus dobsoni (Miers, 1878) in relation to ovarian maturation","SM Gaafar, WN Beesley, Great Britain Liverpool, G Benz, Ala Auburn, RV Brunsdon, RM Connan, Great Britain Cambridge, V Dyk, J Eckert, UK Enyenihi, VS Ershov, J Euzeby, TE Gibson, Great Britain Weybridge, K Nielsen, M Ohbayashi, ZS Pawlovski, RE Purnell, Great Britain Compton, S Singh, L Touratier, France La Garenne Colombes, GM Urquhart, Great Britain Glasgow, I Vichniakov",,,,,,,0,"veteri ry. par== t=
SM Gaafar, WN Beesley, GB Liverpool, G Benz…",{},,,,,,,,,
A comparative study to evaluate the efficacy and safety of single dose intravenous iron carboxymaltose vs multidose iron sucrose in postpartum cases of severe iron deficiency …,"SM Gaafar, WN Beesley, Great Britain Liverpool, RV Brunsdon, RM Connan, Great Britain Cambridge, V Dyk, UK Enyenihi, VS Ershov, J Euzeby, TE Gibson, Great Britain Weybridge, K Nielsen, M Ohbayashi, ZS Pawlovski, RE Purnell, Great Britain Compton, S Singh, L Touratier, France La Garenne Colombes, GM Urquhart, Great Britain Glasgow, I Vichniakov",,,,,,,0,"vetertna. r'y_ parastti) logy
SM Gaafar, WN Beesley, GB Liverpool, RV Brunsdon…",{},,,,,,,,,
Inter-Relationship among and between Sexual behaviour and Seminal Attributes of Young Sahiwal bulls,"W Stauder, R Herrmann, C Nicholson, S Singh, M Woods, C Kim, R Perry, S Morrissey, E Haug",,,,,,"During 1978, 244 earthquakes were located and 388 other nonlocatable earthquakes were detected by a twenty-four station regional microearthquake network operated by Saint Louis University under contract for the USGS and NRC. Figure 1 shows the earthquakes located within a 4 x 4 region centered on 37.0 N and 89.5 W. Seismograph stations are denoted by the solid triangles together with the station code. The magnitudes are indicated by the size of the open symbols. Figure 2 shows the locations and magnitudes of 210 earthquakes located within a 1.5 x 1.5 region centered at 36.25 N and 89.75 W.",0,"83sti< 4
W Stauder, R Herrmann, C Nicholson, S Singh…
Related articles All 4 versions",{},21,,,,,,,,
Pant CMS-3A: An improved cytoplasmic male sterile line for efficient rice hybrid seed production,"SM Gaafar, WN Beesley, Great Britain Liverpool, RV Brunsdon, RM Connan, Great Britain Cambridge, V Dyk, J Eckert, UK Enyenihi, VS Ershov, J Euzeby, TE Gibson, Great Britain Weybridge, K Nielsen, M Ohbayashi, ZS Pawlovski, RE Purnell, Great Britain Compton, S Singh, L Touratier, France La Garenne Colombes, GM Urquhart, Great Britam Glasgow, I Vichniakov",,,,,,,0,"veterinary
SM Gaafar, WN Beesley, GB Liverpool, RV Brunsdon…
All 2 versions",{},,,,,,,,,
Line Search Techniques by Fibonacci Search,"SP Singh, Vikash Sharma",,,,,,"High security number plate (HSNP) deals with metal plate mounted on the motor vehicles having a unique number allotted to that vehicle. The plate is the only identification of the vehicle in the first sight. This plate helps in the searching and tracking of the vehicle whenever required. These important features of plate make it an important part of the vehicle and increase the chances of its misuse, like its tempering, its replacement with wrong plate etc.
The paper proposes a system HSVP (High Security Vehicle Plate), which makes the vehicle secure and restrict the cases of vehicle stolen completely or in parts. The system enhances the features of the existing HSNP system and improving the efficiency of the vehicle tracking system by providing an effective automated system. HSVP may also be utilized to optimize the functioning of the traffic police.",0,"Features Enhancement and Efficiency Optimization of HSNP by HSVP System of Vehicle Number Plates
SP Singh, V Sharma
Related articles All 2 versions",{},,,,,,,,,
Effect of Bio-fertilizers and Inorganic Sources of NP on Quality and Yield of Kasuri Methi (Trigonella corniculata),"Dinesh Bhugra, Norman Poole, Jaydip Sarkar, Kate Jefferies, Robert Lawrence, Niruj Agrawal, Sanjoo Chengappa, Mohammed T Abou-Saleh, Swaran P Singh, Alan Carson, Jon Stone, Danielle Gaynor, Jeremy S Stern, Mary M Robertson",,,,,,"Culture, that which is cultivated, has traditionally been contrasted with nature, that which we are born into. Nature is universal, invariable and physically present. Tylor, an early anthropologist, conceived culture as ‘[the] complex whole which includes knowledge, beliefs, art, law, morals, custom and any other capabilities and habits acquired by man as a member of society’. 1 He held that each individual human had the same innate capacities but some societies had a more developed culture than others, with the less developed cultures gradually progressing to a more evolved state. While the theory of cultural evolution was soon jettisoned, Tylor’s definition has been broadly retained by much of 20th-century anthropology. For example, a recent definition of culture was provided by Fitzgerald et al.:‘Culture is an abstract concept that refers to learned, shared patterns of perceiving and adapting to the world which is …",0,"Part I Issues of Contemporary Concern
D Bhugra, N Poole, J Sarkar, K Jefferies, R Lawrence…
Related articles",{},,,,,,,,,
An approach for grammatical constructs of Sanskrit language using morpheme and parts-of-speech tagging by Sanskrit corpus,"Shail Prakash Singh, Rashmi Pandey",,,,,,"Time-domain synchronous orthogonal frequency division multiplexing (TDS-OFDM) has advantages in spectral efficiency and synchronization. However, its iterative interference cancellation algorithm will suffer from performance loss especially under severely fading channels with long delays and has difficulty supporting high-order modulations like 256 QAM, which may not accommodate the emerging ultra-high definition television service. To solve this problem, a channel estimation method for OFDM under the framework of compressive sensing (CS) is proposed in this paper. Firstly, by exploiting the signal structure of recently proposed time-frequency training OFDM scheme, the auxiliary channel information is obtained. Secondly, we propose the auxiliary information based subspace pursuit (A-SP) algorithm to utilize a very small amount of frequency domain pilots embedded in the OFDM block for the exact channel estimation. Moreover, the obtained auxiliary channel information is adopted to reduce the complexity of the classical SP algorithm. Simulation results demonstrate that the CS-based OFDM outperforms the conventional dual pseudo noise padded OFDM and CS-based TDS-OFDM schemes in both static and mobile environments, especially when the channel length is close to or even larger than the guard interval length, where the conventional schemes fail to work completely.",0,"Compressive Sensing for OFDM Systems Based Channel Estimation under Long Delay Channels
SP Singh, R Pandey
Related articles",{},,,,,,,,,
Concurrent Guillain-Barre Syndrome and Transverse Myelitis in a Child following Mumps,"N VASSILEV, M VASSILEVA, R AZCON, R BISARIA, M MADAN, P VASUDEVAN, MI RAJOKA, KA MALIK, NG WAKELIN, CF FORSTER IJK, J AHAMED, NS MAHENDRAKfR, JS CUNDIFF, N DIAS, HD SHERALI, JWC WONG, DC SU, SP SINGH, DK VATSA, HN VERMA, SV KALYUZHNYI, MA DAVLYATSHINA, SW CHEUNG, BC ANDERSON, S THIEBAUD, ME BORREDON, G BAZIARD, F SENOCQ, A ESTEGHLALIAN, AG HASHlfVOTO, JJ FENSKE, MH PENNER",,,,,,"Solubilization of rock phosphate by immobilized Aspergillus niger N. VASSILEV, M. VASSILEVA & R.. AZCON (Spain) Utilisation of agro-residues as animal feed through bioconversion R. BISARIA, M. MADAN & P. VASUDEVAN(India) Addition of carbonaceous feedstuffs to broiler litter before deep-stacking KK PARK, AL GOETSCH, AR PATIL, K. KOUAKOU, DL GALLOWAY SR &Z. B. JOHNSON (USA) Cellulase production by Cellulomonas biazotea cultured in media containing different cellulosic substrates MI RAJOKA & KA MALIK (Pakistan)
Effects of some processing techniques on the antinutrient contents of baobab seeds (Adansonia digit&d LC IGBOELI, E. 0. H. ADDY & LI SALAMI (Nigeria) A note on the conversion of oil-palm trunks to glucose via acid hydrolysis K. 0. LIM, FH AHMADDIN & SM VIZHI (Malaysia) An investigation into microbial removal of fats, oils and greases NG WAKELIN & CF FORSTER (IJK …",0,"Papers Published in 1997
N VASSILEV, M VASSILEVA, R AZCON, R BISARIA…",{},,,,,,,,,
Combining Ability Analysis in Maize (Zia-Maize),"R Mahender Kumar, K Surekha, Ch Padmavathi, M Sreenivas Prasad, A RamPrasad, LV Subba Rao, VR Babu, S Gopalakrishnan, V Vinod Goud, SP Singh, BC Viraktamath",,,,,,"Experiments were conducted at different irrigated rice sites in India and in clay loam soil at the Directorate of Rice Research farm during 2005-09 to assess the potential of SRI in comparison to transplanting (TP) under flooded condition. Contrary to the perception that SRI method is genotype neutral, significant differences were observed between the varieties under SRI. In general, it was observed that hybrids (4-42% yield advantage) performed better over the varieties (2-17%) under SRI as against ST. The hybrids KRH2, HRI 126 and PHB-71 and DRRH2 performed better as compared to the varieties. Among the SRI management practices, seedling age ranging (from 8 to 32 days) indicated superiority of young seedling age (8 days) for higher productivity. Among nutrient management practices, application of organic+ inorganic (50: 50) found promising (5.72 t/ha) over 100% inorganics or 100% organics alone …",0,"Status of Research on System of Rice Intensification-Diectorate of Rice Research’s experiences and Future Directions
RM Kumar, K Surekha, C Padmavathi, MS Prasad…
Related articles",{},,,,,,,,,
Growth and developmental behaviour of Lipaphis erysimi (Kalt.) at leaf and flowering stages on different mustard genotypes.,"Dinesh Prasad, MP Singh, SR Singh",,,,,,"As a matter of fact, the capacity of any warehouse is limited, so a firm has to hire a warehouse called rented warehouse (RW) for storing the excess units over the fixed capacity W (say) of the own warehouse (OW). Practically the RW is assumed to offer better storing facilities than the OW, which results in a lower rate of deterioration and is supposed to charge higher holding cost than the OW. In this paper a two-warehouse inventory model for deteriorating items is considered with linearly time varying demand under the permissible delay in payments. Also we assumed that the interest charged by the supplier after trade credit period is not necessarily higher than the interest earned as the retailer may invest the revenue in different schemes that may give better return (eg in share market, mutual fund, real estate etc). The purpose of this paper is to find the optimal replenishment policy to minimize the total relevant inventory cost. Numerical examples are also provided to illustrate the proposed model. Sensitivity analysis with respect to the parameters is also carried out.",0,"A TWO-WAREHOUSE INVENTORY MODEL WITH LINEARLY TIME VARYING DEMAND UNDER PERMISSIBLE DELAY IN PAYMENTS
D Prasad, MP Singh, SR Singh
Related articles",{},,,,,,,,,
Screening of white button mushroom (Agaricus bisporus) strains against mushroom flies,"Umesh Kumar Shandilya, R Kapila, S Singh, V Panwar, VK Kansal",,,,,,"In this study, the caseins and whey proteins after thermal processing of cow and buffalo milks (pasteurized, boiled and sterilized) were evaluated for their effects on proliferation of mouse splenic lymphocytes with concanavalin A (Con A), lipopolysaccharide (LPS). Mice were sensitized by intraperitoneal (ip) injections of caseins or whey proteins (20µg/200ul of PBS) with aluminium hydroxide (alum) as adjuvant, while the positive and negative control groups were sensitized with ovalbumin and normal saline, respectively. The in vitro experiments showed that processing of milk (boiling & sterilization??) decreases proliferation of cultured lymphocyte with mitogens and milk proteins as well. On the contrary, an increase of proliferation index was observed after pasteurization. These results highlight the impact of thermal processing of caseins and whey proteins on the host’s specific and non-specific immune responses.",0,"Different stimulating effects of caseins and whey proteins of processed cow and buffalo’s milkon lymphocytes proliferationin vitro
UK Shandilya, R Kapila, S Singh, V Panwar, VK Kansal
Related articles",{},,,,,,,,,
Improved Biodistribution and Efficiency of Endogenous Radiotherapy by Means of Functionalized Hydrophilic Nanogels,"Vartika Srivastava, Anand Kumar Singh, SP Singh",,,,,,"An attempt was made to find out the most efficient and successful surface sterilization technique for banana micropropagation. Young healthy suckers of Musa cultivar Dwarf Cavendish were washed under tap water and trimmed to a block of 50 mm3 containing shoot tip and rhizomatous base. Field suckers were processed within two hours of uprooting by chopping down the rhizome and pseudostem parts, soaking the excised tissue block in 0.1% bavistin (broad spectrum fungicide)+ 0.05% streptocycline for 30 min at 150 rpm in a rotary shaker followed by rinsing in double distilled water. After further trimming to 3–4 cm, tissue were treated with 1% Cetrimide for 30 min., external sheaths were removed and finally treated with NaOCl (4%) or HgCl2 (0.1%) for varying time period in a laminar hood. The best aseptic cultures as well as survival of explants were obtained with mercuric chloride (0.1%) for 5 minutes followed by quick dip in ethanol.",0,"EXPLANT SUR FACE STER IL IZA TION TECH NIQUE FOR MI CRO-PROPAGATION OF BA NANA (Musa sp.) CV. DWARF CAVEN DISH
V Srivastava, AK Singh, SP Singh
Related articles All 2 versions",{},235,,,,,,,,
Organic Farming: A need of sustainable agriculture,"SK CHOUDHARY, RN SINGH, RK SINGH, S SINGH, PK UPADHYAY1ANDANIMESHSINGH",,,,,,"A field experiment was conducted during the winter season in the years 2010-2011 at agriculture research farm Banaras Hindu University, Varanasi to find out performance of winter Maize (Zea mays L.) intercropped with vegetables like radish (Raphanussativus) spinach (SpinaciaoleraceaL.) and carrot (Daucuscarota). The values of plant height (100.16 cm) no of active leaves (8.72) and plant dry matter (79.80 g plant-1) at 90 days after sowing (DAS) are significantly greater in sole crop than the intercropping systems, and the values of leaf area index (3.93&4. 80) and chlorophyll content (SPAD value, 48.09&48. 36) at 90 and 120 DAS and protein content of maize (11.21%) was significantly greater in sole crop than the intercropping systems, and crop growth rate (3705.66 mg day-l plant-l) at 120 DAS significantly greater in intercropping systems than the sole crop.",0,"PERFORMANCEOF WINTER MAIZE (Zeamays L.) UNDER VEGETABLE INTERCROPS
SK CHOUDHARY, RN SINGH, RK SINGH, S SINGH…
Related articles",{},,,,,,,,,
"Small producers, knowledge and markets","T Dixit, A Banerjee, S Singh",,,,,,"In this case series we present three high-risk patients with multiple co-morbidities listed for repair of fractured neck of femur with hemiarthroplasty under general anaesthesia. All three were administered combined unilateral lumbar plexus block (LPB) and sacral plexus block (SPB) for intra and post-operative analgesia. One patient presented with severe chronic obstructive pulmonary disease in combination with severe aortic stenosis. The second one had extensive medical history, was in fast atrial fibrillation (AF) and was actively taking clopidogrel. The last patient had an automatic implantable cardioverter defibrillator (AICD) for dilated cardiomyopathy secondary to ischaemic heart disease and was in left ventricular failure. All three patients had uneventful recovery and were discharged to the ward following their initial stay in the critical care unit. We discuss the evidence and controversies surrounding the techniques employed in these three difficult cases.",0,"Safety of combined lumbar and sacral plexus block in high risk patients undergoing fractured neck of femur repair under general anaesthesia
T Dixit, A Banerjee, S Singh
Related articles All 3 versions",{},,,,,,,,,
Studies on seasonal abundance of mushroom flies,"RK Singh, S Singh, SR Bhonde",,Indian Horticulture,56.0,2,,,0,"Garlic Agrifound Parvati for more return
RK Singh, S Singh, SR Bhonde - Indian Horticulture",{},,,,,,,,,
Potential role of host tree species in determining the composition of polysaccharides of Ganoderma lucidum (Fr.) Karst.(GLPS),SR Singh,,,,,"Wiley, New York",,2,"Rachie. KO, 1985. Cowpea research, production and utilization
SR Singh
Cited by 2 Related articles",{},,,,,,,,,
