Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Book,Pages,Conference
Speech/music classification using features from spectral peaks,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2020/5/7,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",28,,IEEE,"Spectrograms of speech and music contain distinct striation patterns. Traditional features represent various properties of the audio signal but do not necessarily capture such patterns. This work proposes to model such spectrogram patterns using a novel Spectral Peak Tracking (SPT) approach. Two novel time-frequency features for speech vs. music classification are proposed. The proposed features are extracted in two stages. First, SPT is performed to track a preset number of highest amplitude spectral peaks in an audio interval. In the second stage, the location and amplitudes of these peak traces are used to compute the proposed feature sets. The first feature involves the computation of mean and standard deviation of peak traces. The second feature is obtained as averaged component posterior probability vectors of Gaussian mixture models learned on the peak traces. Speech vs. music classification is …",15,"Speech/music classification using features from spectral peaks
M Bhattacharjee, SRM Prasanna, P Guha - IEEE/ACM Transactions on Audio, Speech, and …, 2020
Cited by 15 Related articles All 2 versions","{'2021': 4, '2022': 10, '2023': 1}",,1549-1559,
A system for semantic segmentation of TV news broadcast videos,"Raghvendra Kannao, Prithwijit Guha",2020/3,Multimedia Tools and Applications,79,,Springer US,"TV news channels present rich and complete experience of various events through audio-visual content. This makes television news an influential medium to affect masses and thus persuaded various social scientists and regulators to monitor and analyze the content of broadcast videos. An organized archive of newscast is a prerequisite for any such analysis. Creating such archive requires segmentation of continuous news videos into suitable logical units. Based on the application, these logical units may be one of channel content obtained after advertisement removal, different shows, news stories or video shots. In this work, we propose an end to end system with software architecture for segmenting the TV broadcast videos at all these four granularities. The videos are segmented into shots. Video shots are used as basic unit for all further processing. Video shots are first subjected to advertisement …",1,"A system for semantic segmentation of TV news broadcast videos
R Kannao, P Guha - Multimedia Tools and Applications, 2020
Cited by 1 Related articles All 3 versions",{'2022': 1},,6191-6225,
Exploration of excitation source information for shouted and normal speech classification,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2020/2/25,The Journal of the Acoustical Society of America,147,2,Acoustical Society of America,"Discrimination between shouted and normal speech is an essential prerequisite for many speech processing applications. Existing works have established that excitation source information plays a significant role in shouted speech production. In speech processing literature, various features have been proposed to model different aspects of the excitation source. The principal contribution of this work is to explore three such features, Discrete Cosine Transform of Integrated Linear Prediction Residual (DCT-ILPR), Mel-Power Difference of Spectrum in Sub-bands (MPDSS), and Residual Mel-Frequency Cepstral Coefficient (RMFCC), for shouted and normal speech classification. The DCT-ILPR feature represents the shape of the glottal cycle, MPDSS estimates the periodicity of the excitation source spectrum, and RMFCC characterizes smoothed spectral information of the excitation source. The authors have also …",5,"Exploration of excitation source information for shouted and normal speech classification
S Baghel, SRM Prasanna, P Guha - The Journal of the Acoustical Society of America, 2020
Cited by 5 Related articles All 5 versions","{'2021': 3, '2022': 2}",,1250-1261,
Analysis of excitation source characteristics for shouted and normal speech classification,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2020/2/21,,,,IEEE,"The present work is aimed at analysing the excitation source characteristics of normal and shouted speech. In this context, we analyze the Differenced Electroglottogram (DEGG) signal corresponding to different vowels. This work proposes two novel excitation source features that are estimated from DEGG signal. These features are (a) Open Phase Triangle Area (OPTA) and (b) Flatness of Glottal Cycle (FoGC). OPTA captures the effect of open phase duration and slope of DEGG signal. FoGC measures the change in source characteristics due to strength of excitation (SoE) and pitch period. A practical issue in using the proposed features is the unavailability of DEGG signal in most speech processing applications. To overcome this problem, the integrated linear prediction residual (ILPR) signal estimated from speech is considered as an approximation of DEGG. We show that the proposed features can be computed …",2,"Analysis of excitation source characteristics for shouted and normal speech classification
S Baghel, SRM Prasanna, P Guha - 2020 National Conference on Communications (NCC), 2020
Cited by 2 Related articles All 2 versions",{'2021': 2},,1-6,2020 National Conference on Communications (NCC)
Segmenting with style: detecting program and story boundaries in TV news broadcast videos,"Raghvendra Kannao, Prithwijit Guha",2019/11,Multimedia Tools and Applications,78,,Springer US,"Television news is an important medium to convey information to masses. This motivates several stakeholders to monitor and analyze the news broadcasts. Segmentation of streaming broadcast into programs and stories is a necessary first step for such analysis. Television news producers use predefined and unique presentation styles to create the channel content. Presentation styles vary with program and news story category, broadcast time, targeted audience etc. This motivated us to use presentation styles as features for segmenting news broadcasts. We propose a novel approach for characterization of spatio-temporal presentation styles. This involves characterization of spatial styles using a set of (presentation style specific) semantic shot categories derived from LSCOM-Lite Ontology. We also identify features and classifiers to automate the process of shot labeling for spatial style characterization …",9,"Segmenting with style: detecting program and story boundaries in TV news broadcast videos
R Kannao, P Guha - Multimedia Tools and Applications, 2019
Cited by 9 Related articles All 4 versions","{'2019': 1, '2020': 1, '2021': 4, '2022': 3}",,31925-31957,
Visual Object Tracking Using Perceptron Forests and Optical Flow,"Gaurav Nakum, Prithwijit Guha, Rashmi Dutta Baruah",2019,,,,Springer International Publishing,"This work proposes a new approach for target representation and candidate proposal selection to track single objects in videos. Constructing an appearance model that is robust to visual appearance changes is a challenging problem in visual tracking. Typically, complicated models are used to achieve this robustness. However, such models have high computational cost and thus, are not suitable for real-time tracking. In this paper, we propose a visual tracking algorithm in which target objects are represented by compact low-dimensional codes, constructed using perceptron forests. We employ the highly successful tracking-by-detection framework to use these representations for training an online discriminative classifier to separate the object from the background. Moreover, the candidate proposals are generated from a two-phase strategy. First, we employ dense optical flow to estimate the geometric …",0,"Visual Object Tracking Using Perceptron Forests and Optical Flow
G Nakum, P Guha, RD Baruah - Pattern Recognition and Machine Intelligence: 8th …, 2019
Related articles All 2 versions",{},,525-532,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II"
Shouted and normal speech classification using 1D CNN,"Shikha Baghel, Mrinmoy Bhattacharjee, SRM Prasanna, Prithwijit Guha",2019,,,,Springer International Publishing,"Automatic shouted speech detection systems usually model its spectral characteristics to differentiate it from normal speech. Mostly hand-crafted features have been explored for shouted speech detection. However, many works on audio processing suggest that approaches based on automatic feature learning are more robust than hand-crafted feature engineering. This work re-demonstrates this notion by proposing a 1D-CNN architecture for shouted and normal speech classification task. The CNN learns features from the magnitude spectrum of speech frames. Classification is performed by fully connected layers at later stages of the network. Performance of the proposed architecture is evaluated on three datasets and validated against three existing approaches. As an additional contribution, a discussion of features learned by the CNN kernels is provided with relevant visualizations.",4,"Shouted and normal speech classification using 1D CNN
S Baghel, M Bhattacharjee, SRM Prasanna, P Guha - Pattern Recognition and Machine Intelligence: 8th …, 2019
Cited by 4 Related articles All 3 versions","{'2021': 2, '2022': 2}",,472-480,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part II"
Time-frequency audio features for speech-music classification,"Mrinmoy Bhattacharjee, SR Mahadeva Prasanna, Prithwijit Guha",2018/11/3,arXiv preprint arXiv:1811.01222,,,,"Distinct striation patterns are observed in the spectrograms of speech and music. This motivated us to propose three novel time-frequency features for speech-music classification. These features are extracted in two stages. First, a preset number of prominent spectral peak locations are identified from the spectra of each frame. These important peak locations obtained from each frame are used to form Spectral peak sequences (SPS) for an audio interval. In second stage, these SPS are treated as time series data of frequency locations. The proposed features are extracted as periodicity, average frequency and statistical attributes of these spectral peak sequences. Speech-music categorization is performed by learning binary classifiers on these features. We have experimented with Gaussian mixture models, support vector machine and random forest classifiers. Our proposal is validated on four datasets and benchmarked against three baseline approaches. Experimental results establish the validity of our proposal.",11,"Time-frequency audio features for speech-music classification
M Bhattacharjee, SRM Prasanna, P Guha - arXiv preprint arXiv:1811.01222, 2018
Cited by 11 Related articles All 2 versions","{'2020': 3, '2021': 5, '2022': 2, '2023': 1}",,,
Visual tracking with breeding fireflies using brightness from background-foreground information,"Pranay Kate, Mathew Francis, Prithwijit Guha",2018/8/20,,,,IEEE,"Visual target tracking involves object localization in image sequences. This is achieved by optimizing image feature similarity based objective functions in object state space. Meta-heuristic algorithms have shown promising results in solving hard optimization problems where gradients are not available. This motivated us to use Firefly algorithms in visual object tracking. The object state is represented by its bounding box parameters and the target is modeled by its color distribution. This work has two significant contributions. First, we propose a hybrid firefly algorithm where genetic operations are performed using Real-coded Genetic Algorithm(RGA). Here, the crossover operation is modified by incorporating parent velocity information. Second, the firefly brightness is computed from both foreground and background information (as opposed to only foreground). This helps in handling scale implosion and explosion …",5,"Visual tracking with breeding fireflies using brightness from background-foreground information
P Kate, M Francis, P Guha - 2018 24th International Conference on Pattern …, 2018
Cited by 5 Related articles All 2 versions","{'2019': 1, '2020': 1, '2021': 3}",,2570-2575,2018 24th International Conference on Pattern Recognition (ICPR)
Excitation source feature for discriminating shouted and normal speech,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2018/7/16,,,,IEEE,"Dynamics of shouted speech production significantly vary from that of normal speech. These variations can be analyzed from excitation source information by using differenced electroglottogram (DEGG) signal. This work has two contributions. First, the proposal of a novel Glottal Open Phase Tilt (GOPT) feature derived from DEGG signal for discrimination of shouted and normal speech. Second, the construction of a database of speech and corresponding EGG signals for performance analysis of the proposed feature. In case of shouting, vocal folds vibrate faster and close abruptly. This leads to relative proximity of glottal opening and the following closing instances. This motivated the proposal of tilt feature for discriminating shouted from normal speech. The proposed feature is also extracted from ILPR signals that are known to approximate DEGG signals. Experiments on the collected dataset have provided shouted …",7,"Excitation source feature for discriminating shouted and normal speech
S Baghel, SRM Prasanna, P Guha - 2018 International Conference on Signal Processing …, 2018
Cited by 7 Related articles All 2 versions","{'2020': 2, '2021': 3, '2022': 2}",,167-171,2018 International Conference on Signal Processing and Communications (SPCOM)
Progressively balanced multi-class neural trees,"Ameya Godbole, Spoorthy Bhat, Prithwijit Guha",2018/2/25,,,,IEEE,"Decision trees are discriminative classifiers that hierarchically partition the input space to achieve regions containing instances having uniform class label. Existing works in this area have mostly focused on C4.S trees that learn axis aligned partitions. On the other hand, neural trees learn oblique partitions from data and use lesser number of decision nodes hosting perceptrons. However, these perceptrons are susceptible to data imbalances. This motivated us to propose a progressively balanced neural tree where training dataset are balanced prior to perceptron learning. The second contribution is the optimization of the decision function with respect to entropy impurity based objective functions. This formulation also allows a parent node to have more than two child nodes. The proposed algorithm is benchmarked on ten standard datasets against three baseline multi-class classification algorithms.",2,"Progressively balanced multi-class neural trees
A Godbole, S Bhat, P Guha - 2018 Twenty Fourth National Conference on …, 2018
Cited by 2 Related articles","{'2021': 1, '2022': 1}",,1-6,2018 Twenty Fourth National Conference on Communications (NCC)
Classification of multi speaker shouted speech and single speaker normal speech,"Shikha Baghel, SR Mahadeva Prasanna, Prithwijit Guha",2017/11/5,,,,IEEE,"This work proposes a method for the shouted and multi speaker's vs normal and single speaker's speech classification, which is the most frequently occurring scenario in news debates. In this work, multi speaker shouted and single speaker normal speech classes are addressed as shouted and normal speech, respectively. Spectral features and source features are explored for the classification task. The source characteristics are studied in terms of strength of excitation (SoE). Spectral flux, spectral tilt, sum of ten largest spectral peaks (STLP), modulation spectrum energy (ModSE) and Mel frequency cepstral coefficients (MFCCs) are explored as the spectral features. Shouted and normal speech are classified using two approaches. In the first approach, these features, except MFCCs, are non-linearly mapped and combined using a threshold based technique. In the second approach, a predefined radial basis …",8,"Classification of multi speaker shouted speech and single speaker normal speech
S Baghel, SRM Prasanna, P Guha - TENCON 2017-2017 IEEE Region 10 Conference, 2017
Cited by 8 Related articles All 2 versions",{},,2388-2392,TENCON 2017-2017 IEEE Region 10 Conference
Success based locally weighted multiple kernel combination,"Raghvendra Kannao, Prithwijit Guha",2017/8/1,Pattern Recognition,68,,Pergamon,"Multiple Kernel Learning (MKL) literature has mostly focused on learning weights for base kernel combiners. Recent works using instance dependent weights have resulted in better performance compared to fixed weight MKL approaches. This may be attributed to the fact that, different base kernels have varying discriminative capabilities in distinct local regions of input space. We refer to the zones of classification expertize of base kernels as their “Regions of Success” (RoS). We propose to identify and model them (during training) through a set of instance dependent success prediction functions (SPF) having high values in RoS (and low, otherwise). During operation, the use of these SPFs as instance dependent weighing functions promotes locally discriminative base kernels while suppressing others. We have experimented with 21 benchmark datasets from various domains having large variations in terms of …",15,"Success based locally weighted multiple kernel combination
R Kannao, P Guha - Pattern Recognition, 2017
Cited by 15 Related articles All 5 versions","{'2017': 1, '2018': 2, '2019': 4, '2020': 2, '2021': 2, '2022': 4}",,38-51,
Object Tracking with Classification Score Weighted Histogram of Sparse Codes,"Mathew Francis, Prithwijit Guha",2017,,,,Springer International Publishing,"Object tracking involves target localization in dynamic scenes using either generative models, discriminative classifiers or their combination. We propose a combined approach consisting of generative models (learned in sparse representation framework) and discriminative classifiers (SVM). Sparse codes are initially computed from two different dictionaries constructed from foreground and background patches using K-SVD. SVM learned on these sparse codes provides classifier scores for patches. These scores for sparse codes of patches drawn from a region are used to form a weighted histogram. This weighted histogram of sparse codes form the object and candidate models. The learned dictionaries provide distinct representations for object and background patches. This discrimination is further enhanced by classifier scores. The object is localized by maximizing Bhattacharyya coefficient between …",1,"Object Tracking with Classification Score Weighted Histogram of Sparse Codes
M Francis, P Guha - Pattern Recognition and Machine Intelligence: 7th …, 2017
Cited by 1 Related articles",{'2018': 1},,162-169,"Pattern Recognition and Machine Intelligence: 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings 7"
Generic TV advertisement detection using progressively balanced perceptron trees,"Raghvendra Kannao, Prithwijit Guha",2016/12/18,,,,,Automatic detection of TV advertisements is of paramount importance for various media monitoring agencies. Existing works in this domain have mostly focused on news channels using news specific features. Most commercial products use near copy detection algorithms instead of generic advertisement classification. A generic detector needs to handle inter-class and intra-class imbalances present in data due to variability in content aired across channels and frequent repetition of advertisements. Imbalances present in data make classifiers biased towards one of the classes and thus require special treatment. We propose to use tree of perceptrons to solve this problem. The training data available for each perceptron node is balanced using cluster based over-sampling and TOMEK link cleaning as we traverse the tree downwards. The trained perceptron node then passes the original unbalanced data to its …,3,"Generic TV advertisement detection using progressively balanced perceptron trees
R Kannao, P Guha - Proceedings of the Tenth Indian Conference on …, 2016
Cited by 3 Related articles All 2 versions",{},"Proceedings of the Tenth Indian Conference on Computer Vision, Graphics and Image Processing",1-8,
Multiple kernel learning using data envelopment analysis and feature vector selection and projection,"Gitimoni Saikia, Saroj Shivagunde, Vijaya V Saradhi, Raghvendra Dhirendra Kannao, Prithwijit Guha",2016/12/4,,,,IEEE,"Multiple kernel learning methods combine a set of base kernels to produce an optimal one for a certain classification or regression problem. But selecting a set of base kernels from a plethora of kernels is not automated. We provide a criteria to select efficient base kernels. Automating the selection process of efficient base kernel requires less time and effort than manually selecting them. However, learning the weights in the ratio of which the selected kernels are to be combined is still a costly process. To calculate these combination weights, we first evaluate the efficiency of a kernel on the basis of two parameters viz. the Trace and Alignment of the kernel matrix using data envelopment analysis. A base kernel can be selected if its efficiency is 100%. After selecting a set of most efficient kernels, we combine them in the proportion to their efficiencies. Also, we want to control the complexity of the model by the method of …",0,"Multiple kernel learning using data envelopment analysis and feature vector selection and projection
G Saikia, S Shivagunde, VV Saradhi, RD Kannao… - 2016 23rd International Conference on Pattern …, 2016
Related articles All 2 versions",{},,520-524,2016 23rd International Conference on Pattern Recognition (ICPR)
Story segmentation in TV news broadcast,"Raghvendra Kannao, Prithwijit Guha",2016/12/4,,,,IEEE,"Segmentation of TV news broadcast into semantically meaningful stories is an essential pre-requisite for a wide range of video analytics applications. In this work we have introduced a hybrid approach for news story segmentation based on conditional random fields (CRFs). The story boundary detection problem is converted into a shot classification problem by classifying video shots into either of the four categories. These are start shot, end shot and middle shots of a story or single shot story. To achieve this classification, we have introduced two new features. These are overlay text based semantic similarity and grid-wise edge orientation histogram. The first feature measures the semantic similarity between video shots by linking them through a set of web news articles. We use overlay text with their relevance as weight to link a set of articles with the video shots. The second feature captures the variations in …",5,"Story segmentation in TV news broadcast
R Kannao, P Guha - 2016 23rd International Conference on Pattern …, 2016
Cited by 5 Related articles All 3 versions","{'2020': 1, '2021': 3, '2022': 1}",,2948-2953,2016 23rd International Conference on Pattern Recognition (ICPR)
Reinforcement learning via recurrent convolutional neural networks,"Tanmay Shankar, Santosha K Dwivedy, Prithwijit Guha",2016/12/4,,,,IEEE,"Deep Reinforcement Learning has enabled the learning of policies for complex tasks in partially observable environments, without explicitly learning the underlying model of the tasks. While such model-free methods do achieve considerable performance, they often ignore the structure of task. We present a more natural representation of the solutions to Reinforcement Learning (RL) problems, within 3 Recurrent Convolutional Neural Network (RCNN) architectures to better exploit this inherent structure. The forward passes of each RCNN execute an efficient Value Iteration, propagate beliefs of state in partially observable environments, and choose optimal actions respectively. Applying back-propagation to these RCNNs allows the system to explicitly learn the Transition Model and Reward Function associated with the underlying MDP, serving as an elegant alternative to classical model-based RL. We evaluate the …",26,"Reinforcement learning via recurrent convolutional neural networks
T Shankar, SK Dwivedy, P Guha - 2016 23rd international conference on pattern …, 2016
Cited by 26 Related articles All 6 versions","{'2017': 4, '2018': 8, '2019': 3, '2020': 2, '2021': 5, '2022': 4}",,2592-2597,2016 23rd international conference on pattern recognition (icpr)
Shouted/normal speech classification using speech-specific features,"Shikha Baghel, Banriskhem K Khonglah, SR Mahadeva Prasanna, Prithwijit Guha",2016/11/22,,,,IEEE,"This work explores the classification of shouted speech from normal speech which are typical scenarios encountered in news debates. The shouted and normal speech are studied in terms of the characteristics of the excitation source, vocal tract system and long term information. The different behavior of these speech characteristics in the shouted and normal class motivates to define features which provide good classification for the two classes. The Peak to side lobe ratio (PSR) of Hilbert envelope (HE) of Linear Prediction (LP) residual represents the source feature and the sum of ten largest peaks of the spectrum represents the vocal tract shape feature. The modulation spectrum energy represents the long term feature which indicates the slowly varying temporal envelope components in speech. These features are non-linearly mapped and combined for threshold based classification. It is observed that the sum of …",8,"Shouted/normal speech classification using speech-specific features
S Baghel, BK Khonglah, SRM Prasanna, P Guha - 2016 IEEE Region 10 Conference (TENCON), 2016
Cited by 8 Related articles All 3 versions",{},,1655-1659,2016 IEEE Region 10 Conference (TENCON)
News program detection in TV broadcast videos,"Raghvendra Kannao, Durgaprasad Dandi, Swamy Yellapu, Prithwijit Guha",2016/10/1,,,,,"Television news channels broadcast different kinds of content like debates, interviews, commercials along with news presentations. Real-time detection of these news programs or their retrieval from large volumes of stored broadcast videos is a challenging problem and is a necessary first step for broadcast analytics. News program detection is even harder in Indian context where closed caption text or program markers are not provided by TV news channels (not mandated by law). We propose a two-stage approach to classify news video segments. First, broadcast video shots are classified with multiple labels based on a set of audio-visual features. Second, sequences of these shot features are modeled to detect news programs. Another contribution of this work is the construction of a dataset of 120 hours of shot categories and news programs from Indian English news channels. We have experimented with SVM …",5,"News program detection in TV broadcast videos
R Kannao, D Dandi, S Yellapu, P Guha - Proceedings of the 24th ACM international conference …, 2016
Cited by 5 Related articles All 2 versions",{},Proceedings of the 24th ACM international conference on Multimedia,546-550,
TV commercial detection using success based locally weighted kernel combination,"Raghvendra Kannao, Prithwijit Guha",2016,,,,Springer International Publishing,"Classification problems using multiple kernel learning (MKL) algorithms achieve superior performance on account of using a weighted combination of base kernels on feature sub-sets. Each of the base kernels are characterized by the similarity measures defined over the feature sub-sets. Existing works in MKL have mostly used fixed weights which are shown to be related to the overall discriminative capability of corresponding base kernels. We argue that this class discrimination ability of a kernel is a local phenomenon and thus, advocate the necessity of using instance dependent functions for weighing the kernels. We propose a new framework for learning such weighing functions linked to ability of kernels to discriminate in the local regions of the feature space. During training, we first identify the regions of success in the feature sub-spaces, where the base kernels have high likelihood of success. These …",14,"TV commercial detection using success based locally weighted kernel combination
R Kannao, P Guha - … Modeling: 22nd International Conference, MMM 2016 …, 2016
Cited by 14 Related articles All 2 versions",{},,793-805,"MultiMedia Modeling: 22nd International Conference, MMM 2016, Miami, FL, USA, January 4-6, 2016, Proceedings, Part I 22"
Overlay text extraction from TV news broadcast,"Raghvendra Kannao, Prithwijit Guha",2015/12/17,,,,IEEE,"The text data present in overlaid bands convey brief descriptions of news events in broadcast videos. The process of text extraction becomes challenging as overlay text is presented in widely varying formats and often with animation effects. We note that existing edge density based methods are well suited for our application on account of their simplicity and speed of operation. However, these methods are sensitive to thresholds and have high false positive rates. In this paper, we present a contrast enhancement based preprocessing stage for overlay text detection and a parameter free edge density based scheme for efficient text band detection. The second contribution of this paper is a novel approach for multiple text region tracking with a formal identification of all possible detection failure cases. The tracking stage enables us to establish the temporal presence of text bands and their linking over time. The third …",4,"Overlay text extraction from TV news broadcast
R Kannao, P Guha - 2015 Annual IEEE India Conference (INDICON), 2015
Cited by 4 Related articles All 7 versions",{},,1-6,2015 Annual IEEE India Conference (INDICON)
Tracking under scaling and rotations using stochastic mean shift,"Ratnakaram Rajesh, Mathew Francis, Prithwijit Guha",2015/12/17,,,,IEEE,"We propose a method for tracking a single object in a moving camera scenario while the object undergoes scale changes and rotations. Mean shift trackers are well known for their performance in estimating object translation but, fail to perform under scaling and rotations. On the other hand, stochastic search based approaches are found to be superior in estimating the object positions under transformations. We propose to combine these two frameworks where the scaling and rotation parameters are optimized with respect to a Bhattacharyya coefficient based similarity measure. And, the object position is obtained by mean shift iterations with the scaled and rotated kernel support. Mean shift being a mode seeking algorithm, our approach thus realizes a stochastic gradient ascent formulation to solve the tracking problem. The proposed approach was found to have superior performance compared to basic mean shift …",1,"Tracking under scaling and rotations using stochastic mean shift
R Rajesh, M Francis, P Guha - 2015 Annual IEEE India Conference (INDICON), 2015
Cited by 1 Related articles",{'2021': 1},,1-6,2015 Annual IEEE India Conference (INDICON)
TV advertisement detection for news channels using Local Success Weighted SVM Ensemble,"Raghvendra Kannao, Prithwijit Guha",2015/12/17,,,,IEEE,"Research in advertisement detection (in news broadcast videos) has mainly focused on development of efficient audio-visual features. These features are used with standard machine learning algorithms to automatically segregate the advertisements. However, the discriminative abilities of features are local and may not have uniform performance through out the input space. Thus, using a fixed set of features for entire input space limits the performance of classifiers. In this paper, we use a Local Success Weighted Ensemble of SVMs (LSWE-SVM) for advertisement detection. The LSWE-SVM ensures the diversity in errors of component SVMs by training them on individual features with different similarity measures (kernels). The weight of each SVM is determined by an instance dependent “success prediction function”. The success prediction functions predict high values for a particular exemplar, if the corresponding …",2,"TV advertisement detection for news channels using Local Success Weighted SVM Ensemble
R Kannao, P Guha - 2015 Annual IEEE India Conference (INDICON), 2015
Cited by 2 Related articles","{'2021': 1, '2022': 1}",,1-6,2015 Annual IEEE India Conference (INDICON)
PD-Shift: Patch Detector Shift based Tracker,"Mathew Francis, Ratnakaram Rajesh, Prithwijit Guha",2015/12/16,,,,IEEE,"We identify two important directions of algorithm development in the tracking literature - first, the older and more established mean-shift based approaches; and second, more recent formulations of viewing tracking as detection by parts (aka tracking-learning-detecting). Introductory versions of both these approaches had their own weaknesses due to the main challenges of tracking like illumination variations, abrupt motions, deformations/articulations and occlusions. Both these approaches have developed independently with a number of follow-ups in the literature and even the matured versions were never integrated. We propose to integrate these two different viewpoints of single object tracking where the contribution lies in the construction of the target model as a collection of object part/patch detectors integrated with a kernel. Similarly, the kernel weighted patch detector responses form the candidate model. The …",0,"PD-Shift: Patch Detector Shift based Tracker
M Francis, R Rajesh, P Guha - 2015 Fifth National Conference on Computer Vision …, 2015
Related articles All 2 versions",{},,1-4,"2015 Fifth National Conference on Computer Vision, Pattern Recognition, Image Processing and Graphics (NCVPRIPG)"
A novel local success weighted ensemble classifier,"Raghvendra Kannao, Prithwijit Guha",2015/11/3,,,,IEEE,"Ensemble methods aggregate the decisions of diverse component classifiers to achieve superior classification performances. Most of the previous ensemble frameworks have used fixed weights to determine the influence of each of the component classifiers on the ensemble decision. However, in practice base classifiers usually have expertise in local regions of the feature space. This paper presents a novel framework for instance dependent weighing of base classifiers instead of fixed weights. These classifier weighing functions are linked to the ability of the respective classifiers to correctly predict the labels. For a particular test pattern, base classifiers with higher likelihood of predicting the correct label have higher weights. Thus, weighing functions curb (by having lower weights) the redundant false decisions responsible for mis-classification. Regression models are used to learn the weighing functions …",6,"A novel local success weighted ensemble classifier
R Kannao, P Guha - 2015 3rd IAPR Asian Conference on Pattern …, 2015
Cited by 6 Related articles",{},,469-473,2015 3rd IAPR Asian Conference on Pattern Recognition (ACPR)
An occlusion reasoning scheme for monocular pedestrian tracking in dynamic scenes,"Sourav Garg, Swagat Kumar, Rajesh Ratnakaram, Prithwijit Guha",2015/8/25,,,,IEEE,"This paper looks into the problem of pedestrian tracking using a monocular, potentially moving, uncalibrated camera. The pedestrians are located in each frame using a standard human detector, which are then tracked in subsequent frames. This is a challenging problem as one has to deal with complex situations like changing background, partial or full occlusion and camera motion. In order to carry out successful tracking, it is necessary to resolve associations between the detected windows in the current frame with those obtained from the previous frame. Compared to methods that use temporal windows incorporating past as well as future information, we attempt to make decision on a frame-by-frame basis. An occlusion reasoning scheme is proposed to resolve the association problem between a pair of consecutive frames by using an affinity matrix that defines the closeness between a pair of windows and then …",1,"An occlusion reasoning scheme for monocular pedestrian tracking in dynamic scenes
S Garg, S Kumar, R Ratnakaram, P Guha - 2015 12th IEEE International Conference on Advanced …, 2015
Cited by 1 Related articles All 9 versions",{'2015': 1},,1-6,2015 12th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS)
An occlusion reasoning scheme for monocular pedestrian tracking in dynamic scenes,"P. Guha S. Garg, S. Kumar, R. Ratnakaram",2015,,,,IEEE,,1,"An occlusion reasoning scheme for monocular pedestrian tracking in dynamic scenes*
S Garg, S Kumar, R Ratnakaram, P Guha - 2015 12th IEEE International Conference on Advanced …, 2015
Cited by 1 Related articles All 9 versions",{'2015': 1},,1-6,"Advanced Video and Signal Based Surveillance (AVSS), 2015 12th IEEE International Conference on"
A hierarchical frame-by-frame association method based on graph matching for multi-object tracking,"Sourav Garg, Ehtesham Hassan, Swagat Kumar, Prithwijit Guha",2015,,,,Springer International Publishing,"Multiple object tracking is a challenging problem because of issues like background clutter, camera motion, partial or full occlusions, change in object pose and appearance etc. Most of the existing algorithms use local and/or global association based optimization between the detections and trackers to find correct object IDs. We propose a hierarchical frame-by-frame association method that exploits a spatial layout consistency and inter-object relationship to resolve object identities across frames. The spatial layout consistency based association is used as the first hierarchical step to identify easy targets. This is done by finding a MRF-MAP solution for a probabilistic graphical model using a minimum spanning tree over the object locations and finding an exact inference in polynomial time using belief propagation. For difficult targets, which can not be resolved in the first step, a relative motion model is used …",2,"A hierarchical frame-by-frame association method based on graph matching for multi-object tracking
S Garg, E Hassan, S Kumar, P Guha - Advances in Visual Computing: 11th International …, 2015
Cited by 2 Related articles All 3 versions",{'2020': 2},,138-150,"Advances in Visual Computing: 11th International Symposium, ISVC 2015, Las Vegas, NV, USA, December 14-16, 2015, Proceedings, Part I 11"
Commercial block detection in broadcast news videos,"Apoorv Vyas, Raghvendra Kannao, Vineet Bhargava, Prithwijit Guha",2014/12/14,,,,,"Automatic identification and extraction of commercial blocks in telecast news videos find a lot of applications in the domain of broadcast monitoring. Existing works in this domain have used channel specific assumptions, machine learning techniques and frequentist approaches for detecting commercial video segments. We note that in the Indian context, several channel specific assumptions do not hold and often news and commercials have comparable frequencies of occurrence. This motivates us to use the machine learning techniques for classifying commercials in news videos. Our main contribution lies in the proposal of two features which are shown to outperform the existing audio-visual features – first, the MFCC bag of words (BoW) as audio track feature and second, overlaid text distribution as video shot feature. The shot feature space is further extended by appending contextual features which are …",14,"Commercial block detection in broadcast news videos
A Vyas, R Kannao, V Bhargava, P Guha - Proceedings of the 2014 Indian Conference on …, 2014
Cited by 14 Related articles All 2 versions",{},Proceedings of the 2014 Indian Conference on Computer Vision Graphics and Image Processing,1-7,
