Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution,Inventors,Patent office,Application number,Report number
Line Search Techniques by Fibonacci Search,"Nitin Arora, Pradeep Kumar Kaushik, Surinder Pal Singh",2013/1/1,International Journal of Computer Applications,66,23,Foundation of Computer Science,"In this paper we have discussed all existing approaches to solve the problem for calculating the min-cut tree of an undirected edge-weighted graph and present a new approximation algorithm for constructing the minimum-cut tree. We discussed Gomory-Hu algorithm. The algorithm proposed by Gomory and Hu has time complexity O (V* time complexity of finding a min st cut). We also have discussed Ford-Fulkerson method. Running time of Ford-Fulkerson algorithm is O (ve2). The asymptotically fastest maximumflow algorithms are based on push-relabel method and have the running time of O (V3). M. Stoer and F. Wagner have given a simple and compact algorithm for finding the minimum cut of a graph. The algorithm is remarkably simple and has the fastest running time so far the algorithm consists of| V|-1 identical phases each of which requires O (| e|+| V| log| V|) time yielding an overall running time of O (| V|| e|+ log| V|). We present a new approximation algorithm for constructing the minimum cut tree. We calculate an upperbound value for each node in the graph. We define the upper bound value of each node as the value of cut which separates this node from rest of the graph and our algorithm runs in O (V2. logV+ V2. d), where V is the number of vertices in the given graph and d is the degree of the graph. It is a significant improvement over time complexities of existing solutions. However, because of an assumption it does not produce correct result for all sorts of graphs but for the dense graphs success rate is more than 90%. Moreover in the unsuccessful cases, the deviation from actual result is very less (usually for less than 5% pairs) and …",6,"A Survey on Methods for finding Min-Cut Tree
N Arora, PK Kaushik, SP Singh - International Journal of Computer Applications, 2013
Cited by 6 Related articles All 3 versions",{},,,,,,,,,
Effect of Bio-fertilizers and Inorganic Sources of NP on Quality and Yield of Kasuri Methi (Trigonella corniculata),"Sharad Pratap Singh, BB Sagar",2013,Intern. J. Emerg. Trends Electr. Electron.,1,3,,"The paper presents a new method for computing all
2"" canonical Reed-Muller forms (RMC forms) of a Boolean function and fixed polarity matrix method. The method constructs the coefficients directly and no matrix multiplication is needed. It is also usable for incompletely specified functions and for calculating a single RMC form. The method exhibits a high degree of parallelism. A fault we mean, in general any change in the value of an element with respect to its nominal value which can cause the frailest of the whole circuit. In the stuck-at model it is generally assume that a logic input or output is static or fixed to either logic ‘1’(stuck-at one) or logic ‘0’(stuck-at zero) and abbreviated as sa-0 and sa-1 respectively.",7,"Stuck-at Fault Detection in Combinational Network Coefficients of the RMC with Fixed Polarity (Reed–Muller Coefficients)
SP Singh, BB Sagar - Intern. J. Emerg. Trends Electr. Electron., 2013
Cited by 7 Related articles",{},93-96,,,,,,,,
An approach for grammatical constructs of Sanskrit language using morpheme and parts-of-speech tagging by Sanskrit corpus,"VN Singh, AK Singh, AH Khan, SK Singh, ON Singh, S Singh, RK Singh",2013,EIRLSBN: Twenty years of achievements in rice breeding,,,IRRI,"Uttar Pradesh (UP) is the fourth-largest state in India, with an area of 246,413 km2, and it possesses varied topographic features ranging from plains to Vindhyan hills. The state is divided into two physiographic regions, the Gangetic plains and the southern plateau. Regarding cultivation, the Gangetic plains cover the major portion of the state. Uttar Pradesh is the most populous state in India, with a population density of 776 per km2. The state has 16.5% of the country’s population (199.5 million as of the 2011 census), with 22.5 million farm families. Agriculture is the most important industry in the state because about 80% of the population resides in rural areas, and 75% of the total workers are involved directly or indirectly in cultivation/farming, which accounts for 27% of the state’s GDP. Agriculture is thus the main source of income. The state has nearly 19 million ha of cultivated area, constituting 70% of the total geographic area. The irrigated area covers 13.43 million hectares. The small and marginal farmers jointly make up 19.5% of the farming households in the eastern region, compared with 19.1% across Uttar Pradesh. The important crops in UP are rice, wheat, maize, sugarcane, chickpea, pigeon pea, mustard, lentil, urd, and mung bean. The majority of the agricultural land is used to grow major cereal crops, including rice and wheat. Uttar Pradesh has favorable climates, vast areas of fertile soils, ample sunshine, and adequate water resources.",0,"Contribution of NDUAT in Uttar Pradesh to the EIRLSBN
VN Singh, AK Singh, AH Khan, SK Singh, ON Singh… - EIRLSBN: Twenty years of achievements in rice …, 2013
Related articles All 6 versions",{},117,,,,,,,,
Concurrent Guillain-Barre Syndrome and Transverse Myelitis in a Child following Mumps,"Gauri Paliwal, SP Singh, Manish Rai",2013/1/1,,,,IET Digital Library,"Today's enhancement of wireless communication is based on the integration of various application, needs more and more data rate. Only measure of the data rate is the channel capacity. Numerous research papers have been presented in the literature for analysis of the channel capacity. Based on PDF/MGF/CDF for the different fading channel. Contribution of our work is to review all the research papers related to capacity with diversity and without diversity followed by presenting PDF's for the up to date fading channel. Moreover, we have presented the various capacities for the different adaption policies namely, optimal power and rate adaptation, constant power with optimal rate adaptation, and channel inversion with fixed rate schemes for up to fading distribution. Also, for most of the cases we have given the outage probability for the above mentioned fading channel.",0,"Capacity analysis for up to date “fading distributions and combining techniques” a review
G Paliwal, SP Singh, M Rai - 2013
Related articles All 4 versions",{},68-79,,,,,,,,
Combining Ability Analysis in Maize (Zia-Maize),"Meenu Jadon, SP Singh, Manish Rai",2013/1/1,,,,IET Digital Library,"In wireless communication, transmitted signals under goes various impairments. Out of them “FADING” has been reported most important and difficult in the literature. Generally it is modelled statistically.Practically it is not possible to estimate perfectly the information over wireless channel at the receiver. By investigating the probability density function of the different fading channel we can derive analytical expressions for probability of error (SER/BER). These expressions are used to compute performance degradation due to channel's fading behaviour. However, there is no generalized expression for any performance measure. So, in this research paper we have presented up to date performance analysis based on BER considering different modulation techniques. Also, as per our best knowledge we have taken all the “FADING”distributions available in the literature till date.We, hope that this paper will help both …",0,"Up to date fading distributions and their performance analysis for different modulation schemes: A review
M Jadon, SP Singh, M Rai - 2013
Related articles All 4 versions",{},295-304,,,,,,,,
Growth and developmental behaviour of Lipaphis erysimi (Kalt.) at leaf and flowering stages on different mustard genotypes.,"S Singh, P Datta",2013,Indian Journal of Fundamental and Applied Life Sciences,3,4,Centre for Info Bio Technology (CIBTech),"Rice deserves a special status among cereals as world's most important wetland crop. The inoculation of nitrogen fixing cyanobacteria is an alternative and sustainable source of nitrogen to increase the rice productivity. Contribution of diazotrophic cyanobacteria to the nitrogen fertility of paddy fields and there by to the productivity and yields of rice crop result from mineralization of their biomass and not from immediate availability of fixed molecular nitrogen. The success of the wet land rice agriculture is heavily dependent on the extensive use of herbicides for selective elimination of weeds of rice-crops. Herbicides are not only detrimental to weeds but to biofertilizer strains of cyanobacteria also. The strains of free living cyanobacteria defective in ammonia assimilation leading to extracellular liberation of N 2-derived ammonia, and tolerating common rice field herbicides would be ideal for use as biofertilizer in rice field. In this study the effect of ammonia excretory multiple herbicide resistant mutant strain of diazotrophic cyanobacterium Anabaena variabilis [Av (MHR-Eda) r] as biofertilizer on growth and yield attributes of rice crop (IR-36) were evaluated. The ammonia excretory multiple herbicide resistant mutant strain treated rice plant exhibited 26% increase in seed germination, 45% increase in seedling growth and 83% increase in grain yield as compared to untreated control. The maximum range of growth and yields parameters were recorded more in this mutant strain when compared to other treatments. The results suggest that the application of this improved cyanobacterial biofertilizer strain significantly enhances growth and productivity of …",0,"Evaluation of biofertilizer potentiality of ammonia excretory multiple herbicide resistant strain of Anabaena variabilis on growth and productivity of rice.
S Singh, P Datta - Indian Journal of Fundamental and Applied Life …, 2013
Related articles",{},132-139,,,,,,,,
Screening of white button mushroom (Agaricus bisporus) strains against mushroom flies,"S Singh, RP Gupta, R Mathur",2013,"International Journal of Plant, Animal and Environmental Sciences",3,1,,,7,"Status of the drinking water quality in school of Datia town (MP)
S Singh, RP Gupta, R Mathur - International Journal of Plant, Animal and …, 2013
Cited by 7 Related articles",{},56-61,,,,,,,,
Improved Biodistribution and Efficiency of Endogenous Radiotherapy by Means of Functionalized Hydrophilic Nanogels,"Neha Sahay, SP Singh, VK Sharma",2013,Legume Research-An International Journal,36,3,Agricultural Research Communication Centre,"A field experiment was conducted during rabi seasons of 2008–2009 and 2009–10 to study the effect of potassium and cobalt application on growth, yield and nutrient uptake in lentil. The results revealed that the plant height, branches/plant, dry matter accumulation, pods per plant, test weight, grain and straw yield of lentil and protein content increased significantly up to 90 kg K2O ha−1. However, yields at tributes and yield at 60 and 90 kg K2O ha−1 were statistically on par. On the other hand, growth and yield attributes and yield (grain and straw) increased up to 4 kg Co ha−1 and thereafter, declined at 8 kg Co ha−1. The protein content in lentil grain improved appreciably when crop was fertilized with 90 kg K2O and 8 kg Co ha−1 over respective controls. The uptake of K and Co in lentil grain and straw increased significantly with increasing levels of K and Co. The uptake of N and P by lentil grain and straw …",11,"Effect of cobalt and potassium application on growth, yield and nutrient uptake in lentil (Lens culinaris. L.)
N Sahay, SP Singh, VK Sharma - Legume Research-An International Journal, 2013
Cited by 11 Related articles All 7 versions",{},259-262,,,,,,,,
Organic Farming: A need of sustainable agriculture,"Megha Jain, SP Singh",2013,Civil and Environmental Research,3,6,,"The heritage buildings are examples of a sensitive approach to energy consciousness for indoor comfort conditions, by using solar passive techniques in the building. The study case taken in to account is the Gohar Mahal-a Heritage building of Bhopal, Madhya Pradesh. The building was built in 1820 by Gohar Begum the first women ruler of Bhopal. The inbuilt passive concepts applied by our ancestors to this Gohar Mahal, a palace besides Bhopal upper lake are analyse by taking all the solar passive elements. This study demonstrated that the thermal mass and building envelope of this structure mainly affect the indoor microclimate, stabilizing the inside temperatures and thus give the thermal comfort. The results of the measurements taken in summer and winter confirmed that the seasonal thermal storage of these structures allows comfortable temperatures. during the summer season, with values below 26 C, and stabilizes the indoor temperatures during the winter season.",4,"Solar passive features of the heritage building: the case of the Gohar Mahal, Bhopal
M Jain, SP Singh - Civil and Environmental Research, 2013
Cited by 4 Related articles All 4 versions",{},14-23,,,,,,,,
"Small producers, knowledge and markets","Pranabjyoti Sharma, VB Singh, DS Yadav, SP Singh, Pankaj Nautiyal, RK Tiwari, R Bhagawati",2013,Annals of Horticulture,6,2,Hi-Tech Horticultural Society,Colocasia belongs to the family Araceae. Twenty germplasm of colocasia (Colocasia esculenta (L.) Schott.) were evaluated for their growth and yield attributing characters. It is grown as staples or subsistence crop throughout the tropics and subtropics. It was observed that the growth parameters were in its peak during 3–4 months after planting and declined thereafter. The highest number of functional leaves of 21.17 was recorded by AR Col-7 followed by ML-1 (20.67). The results on number of suckers per plant revealed that there were significant differences among different germplasm. The highest number of suckers per plant (6.53) was recorded in AR Col-7 while it was lowest in AS Col-2 (1.47). Data on leaf area exhibited significant differences among the germplasm. The maximum leaf area of 830.57 cm2 was recorded in ML-1 followed by AR Col-8 (828.08 cm2) and Panchmukhi (816.30 cm2). It was observed …,0,"Performance of colocasia (Colocasia esculenta (L.) schott.) germplasm with respect to growth and yield attributing parameters
P Sharma, VB Singh, DS Yadav, SP Singh, P Nautiyal… - Annals of Horticulture, 2013
Related articles All 5 versions",{},224-229,,,,,,,,
Studies on seasonal abundance of mushroom flies,"BP Singh, Singh Neha, SP Singh",2013,Current Science,104,11,Current Science Association,"This paper attempts to decipher influences of formative conditions on salt development at the Sambhar Lake (Rajasthan, India), based on petrographic details of the salts in the lake. It is established that salinity and aridity are the chief factors that govern salt precipitation in freshwater playa of Sambhar. The salt precipitation in this playa lake is mainly halite with purity up to 99%.",7,"Modern salt (halite) deposits of the Sambhar Lake, Rajasthan and their formative conditions.
BP Singh, S Neha, SP Singh - Current Science, 2013
Cited by 7 Related articles",{},1482-1484,,,,,,,,
Potential role of host tree species in determining the composition of polysaccharides of Ganoderma lucidum (Fr.) Karst.(GLPS),"RG Shivas, A Balu, S Singh, SI Ahmed, K Dhileepan",2013,Australasian Mycologist,31,,Australian Mycological Society,"The two rust fungi, Ravenelia acaciae-arabicae and R. evansii, were both found on Acacia nilotica subsp. indica in southern (Tamil Nadu) and northern (Gujarat) India. R. acaciae-arabicae has been often incorrectly synonymised with R. evansii, although each has distinctive urediniospores, viz. echinulate in R. acaciae-arabicae and verruculose in R. evansii. Both species are re-described and illustrated from fresh specimens collected in India. Herbarium specimens of R. evansii from South Africa, including the holotype, were also examined. The difficulty in connecting different anamorphic spore stages to either of these teleomorphic rusts is highlighted by the presence of similar aecidia on plants of A. robusta infected with R. evansii in South Africa and on A. nilotica subsp. indica infected with R. acaciae-arabicae in India. It is not known whether these aecidial rusts represent the same species, nor is it known if they represent an aecidial stage of either R. acaciae-arabicae, R. evansii or other rusts.",5,"Ravenelia acaciae-arabicae and Ravenelia evansii are distinct species on Acacia nilotica subsp. indica in India
RG Shivas, A Balu, S Singh, SI Ahmed, K Dhileepan - Australasian Mycologist, 2013
Cited by 5 Related articles All 5 versions",{},31-37,,,,,,,,
"Human resource management in India: strategy, performance and complementarity","Srivastava Vartika, AK Singh, SP Singh",2013,HortFlora Research Spectrum,2,3,Biosciences and Agriculture Advancement Society (BAAS),"An attempt was made to find out the most efficient and successful surface sterilization technique for banana micropropagation. Young healthy suckers of Musa cultivar Dwarf Cavendish were washed under tap water and trimmed to a block of 50 mm 3 containing shoot tip and rhizomatous base. Field suckers were processed within two hours of uprooting by chopping down the rhizome and pseudostem parts, soaking the excised tissue block in 0.1% bavistin (broad spectrum fungicide)+ 0.05% streptocycline for 30 min at 150 rpm in a rotary shaker followed by rinsing in double distilled water. After further trimming to 3-4 cm, tissue were treated with 1% Cetrimide for 30 min., external sheaths were removed and finally treated with NaOCl (4%) or HgCl 2 (0.1%) for varying time period in a laminar hood. The best aseptic cultures as well as survival of explants were obtained with mercuric chloride (0.1%) for 5 minutes followed by quick dip in ethanol.",1,"Explant surface sterilization technique for micro-propagation of banana (Musa sp.) cv Dwarf Cavendish.
S Vartika, AK Singh, SP Singh - HortFlora Research Spectrum, 2013
Cited by 1 Related articles",{'2022': 1},235-238,,,,,,,,
Managing the pests of oilseed crops in an ecofriendly way,"SR Singh, Diksha Bhatia",2013,,,,IGI Global,"This study considers the problem of a vendor which supplies an item to the buyer with imprecise partial backlogging rate of unsatisfied demand and non instantaneous deterioration rate considering variable holding cost, the effect of inflation and time value of money. The supplier’s lead time is a stochastic function of his managing cost. The extra costs incurred by the retailer due to the uncertain lead time in terms of shortage costs or lost sales costs should be owed by the supplier. A numerical example is cited to illustrate the results and its significant features. Finally, to study the effect of changes of demand parameters, deterioration, inflation and managing cost on supplier and the retailer’s profit, a sensitivity analysis is presented numerically.",4,"An integrated vendor-Buyer model with uncertain lead time, life time under inflation and variable holding cost
SR Singh, D Bhatia - Optimizing, Innovating, and Capitalizing on Information …, 2013
Cited by 4 Related articles All 8 versions",{},371-380,"Optimizing, Innovating, and Capitalizing on Information Systems for Operations",,,,,,,
"Antifungal efficacy of fungicides against foliar blight of barley, Bipolaris sorokiniana.","Dubey Ashutosh, SP Singh, KK Painkara, Chaudhary Manisha, Mandavi Kalpana",2013,Environment and Ecology,31,4,MKK Publication,"Livestock and poultry sector provides a major contribution to Indian economy. In poultry sector, impressive growth has been achieved in the intensive farming, however, rural backyard poultry sector, which are generally owned by landless, marginal and small scale farmer's (90% of the 107 million agricultural households in India), remains stagnant. Thus, to evaluate the performance of such native/non-descript chickens under traditional backyard poultry farming for improved/scientific backyard poultry farming 200 broiler chicks were distributed among the poultry farmers to rear under standard management practices under the supervision of Krishi Vigyan Kendra, Raigarh. The analyzed data obtained were compared with those obtained from farmer's traditional poultry farming practices. The data obtained for various parameter's viz. mortality%(T 1-20%; T 2-2.5%), Average daily gain (T 1-15 g, 10 g and 8.33 g for 1st, 2nd and 3rd month respectively; T 2-40 g and 28 g for 1st and 2nd month respectively), Average feed consumption/day (T 1-34.37 g, 36.45 g, 35.40 g for 1st, 2nd and 3rd month respectively; T 2-25.64 g and 28.20 g for 1st and 2nd month respectively), FCR (T 1-2.29, 3.65 and 4.24 for 1st, 2nd and 3rd month respectively; T 2-0.64 and 1.0 for 1st and 2nd month respectively), dressing yield in 1 month (T 1-450 g; T 2-1200 g), Net income/brid/month (T 1-Rs 7.52; T 2-Rs 71.70), and B: C (T 1-1.25; T 2-2.51). Hence, it can be concluded that backyard poultry farming can serves as an alternate source of livelihood if reared with standard/scientific management practices.",0,"Improved backyard poultry farming as a source of rural livelihood.
D Ashutosh, SP Singh, KK Painkara, C Manisha… - Environment and Ecology, 2013",{},1627-1630,,,,,,,,
Frosting Effect on Potato and its management,"S Yadav, S Singh, MK Sharma, JN Puri, NA Ansari, SP Singh",2013,,,,,"Insulin, Glibenclamide and Tolbutamide are some of the frequently used drugs for the most common metabolic disorders, diabetes mellitus. Along with hypoglycaemic drugs diabetic patient is exposed to variety of drugs. NSAIDs are one of the commonly used drugs in this metabolic syndrome. When a patient on hypoglycaemic drugs receives NSAIDs there are chances of drug interactions. This study was undertaken in the department of Pharmacology, GSVM medical college, Kanpur (UP) after approval by the institutional animal ethics committee to find out the interaction if any between Diclofenac and three hypoglycaemic drugs ie insulin, glibenclamide and tolbutamide. Young healthy rabbits were divided into six groups five rabbits in each group. First group received Insulin 1 u/kg subcutaneously; second Glibenclamide 0.05 mg/kg orally; third Tolbutamide 40 mg/kg orally; fourth Diclofenac 1mg/kg orally and insulin 1mg/kg sc simultaneously; fifth glibenclamide 0.05 mg/kg orally at 0 hour and diclofenac 1mg/kg orally at 2 hours and sixth tolbutamide 40mg/kg orally at 0 hour and diclofenac 1mg/kg orally at 2 hours. Blood samples were taken at 0, 1, 2, 4 and 6 hours for blood sugar estimation. Mean blood sugar levels reduced significantly from their fasting levels when insulin, glibenclamide and tolbutamide were administered. However blood sugar levels did not showed any significant changes when diclofenac was administered along with insulin, glibenclamide and tolbutamide in comparison to when insulin, glibenclamide and tolbutamide were given alone. The results showed that diclofenac does not interact with insulin, glibenclamide and …",1,"An experimental study of drug interactions of Diclofenac with commonly used drugs for Diabetes Mellitus in Rabbits.
S Yadav, S Singh, MK Sharma, JN Puri, NA Ansari… - 2013
Cited by 1 Related articles",{'2017': 1},,,,,,,,,
Secure and efficient integrity algorithm based on existing SHA algorithms,SP Singh,2013,CCS Haryana Agricultural University,,,,"Department of Entomology, CCS Haryana Agricultural University, Hisar–125 004, India. Cowpea (Vigna unguiculata L. Walp.) and clusterbean (Cyamopsis tetragonolaba L. Taub) are major arid legume crops covering about 70 per cent area of arid crops in India during kharif season. Both cowpea and clusterbean are grown for grain, green pods and fodder purposes. Insect pests are major constraints in reducing the produc on and produc vity of these crops. Integrated pest management (IPM) approach has been accepted worldwide for achieving sustainability in agriculture. This type of approach has numerous advantages like pes cides free produces, safety to environment and beneficial for natural enemies and low input based crop produc on programme especially for arid legume crops. Therefore, IPM is an eco-friendly approach for pest management by using all the available methods and techniques such as …",0,"Management strategies insect pests of cowpea and cluster bean
SP Singh - CCS Haryana Agricultural University, 2013",{},30,,,,,,,,
CFD Analysis and Enhancement Of Heat Transfer In Rectangular Channel Using Blockage with Elongated Hole,"SP Singh, Lalit Mohan",2013,Journal of Entomological Research,37,4,Malhotra Publishing House,"Flycatcher is an insectivorous bird which primarily feeds on small insects and flies and plays an important role in biological control of insects including mosquitoes. The birds are highly motivated, efficient and cost effective pest controller, the feasibility of use of insectivorous flycatcher birds in mosquito control has been reviewed.",0,"Biological control of mosquitoes by insectivorous flycatcher birds
SP Singh, L Mohan - Journal of Entomological Research, 2013
Related articles All 3 versions",{},359-364,,,,,,,,
Three level supply chain model with variable demand rate under partial trade credit policy,"S Sharma, S Singh, H Dem",2013,International Journal of Industrial Engineering Computations,4,4,,"In this paper, an inventory model of two-warehouse is considered, which evaluates the impact of a reduction rate in the selling price with volume flexibility. In real life, there are many products, which may decay or deteriorate or become obsolete. Therefore, one alternative is to clear the stock by selling a large amount of items at reduced prices. Taking this concept into account, this paper considers a fixed demand rate at the beginning of planning until the certain time point occurs, while demand is assumed to follow the pattern of nonlinear and non-decreasing power function of the reduction rate. The total cost function includes warehouse and rented warehouse holding costs, set up cost and the production cost. Numerical illustrations are given to exemplify the model and the proposed model is solved using a Genetic Algorithm (GA) with sensitivity analysis.",6,"Two-warehouse production policy for different demands under volume flexibility
S Sharma, S Singh, H Dem - International Journal of Industrial Engineering …, 2013
Cited by 6 Related articles All 9 versions",{},599-609,,,,,,,,
P124 Do We Need A Practice Incremental Shuttle Walk Test For Patients With Interstitial Lung Disease Referred For Pulmonary Rehabilitation?,"Sharma Arti, JK Bhat, SP Singh",2013,Agriculture Update,8,4,Hind Agri-Horticultural Society,"This paper presents measures of the technical efficiency and factors influencing technical efficiency in cocoon production in Bhaderwah Block of Doda district in Jammu & Kashmir State by using frontier production model. The results revealed that the mean technical efficiency was 68.48 per cent and the study implied that the average output could be increased by 31.52 per cent by adopting proper technology. The stochastic frontier analysis also showed that 76 per cent of the observed inefficiency was due to the farmer's decision making and 24 per cent of inefficiency was due to the random factor outside the control of the farmers. So for increasing the productivity of cocoon in this area, it is very important that the existing technologies should be properly utilized.",0,"A stochastic production frontier approach in the estimation of technical efficiency of cocoon production in Doda district of Jammu.
S Arti, JK Bhat, SP Singh - Agriculture Update, 2013",{},546-550,,,,,,,,
"Histomorphological changes in neurosecretory cells of eyestalk, brain and thoracic ganglia of Penaeus monodon (Fabricius) in relation to ovarian maturation","J Kaur, S Singh, KK Khokhar",2013,Hum Bio Rev,2,4,,"“Every pregnancy faces risks” with occurrence of various signs and symptoms including danger signs during antepartum, intrapartum and postpartum phases which require regular antenatal services. The current retrospective study was aimed to assess the prevalence of signs/symptoms of pregnancy. It was being conducted in Obstetrics Department, Punjab Institute of Medical Sciences, Jalandhar (India) during April to June, 2012. Socioeconomic variables, parity, antenatal care and event outcomes were explored. Majority of mothers belonged to 21-30 years age group (75.00%) and middle socioeconomic status (67.00%). 42% mothers conceived within year of marriage and were referred from periphery (57.00%). 44% suffered from Nausea and Vomiting of Pregnancy whereas, anorexia reported among 12% women. 76% mothers took regular iron and calcium while 5% reported intolerance to iron tablets. 61% and 22% mothers experienced ankle edema in second and third trimester, respectively. Backache, leg cramps, abdominal pain and increased urinary frequency was complained in 47%, 14%, 33% and 50% mothers, respectively. Similarly, 32% experienced constipation and discharge per vaginum was seen among 12% mothers. While, 03%, 05%, 13% and 16% of mothers had leakage per vaginum, bleeding per vaginum, urinary tract infection and headaches, respectively. Various unusual signs/symptoms appear during pregnancy due to physiological hormonal changes. If ignored, they may lead to complications which may prove dangerous for mother and baby. Pregnant women should be able to recognize these symptoms and …",2,"Prevalence rate of signs and symptoms in pregnancy
J Kaur, S Singh, KK Khokhar - Hum Bio Rev, 2013
Cited by 2 Related articles All 2 versions",{},,,,,,,,,
Enhanced Visual Search Using Image Re-Ranking,"Kumar Mukesh, SP Singh",2013,Progressive Research,8,2,Society for Scientific Development in Agriculture and Technology,"Correlation and Path coefficient analysis carried out using 35 varieties of Indian mustard were evaluated for ten quantitative was qualitative characters. The highest genotypic coefficient of variation was observed for number of secondary branches, seed yields, harvest index and number of member of primary branches. The moderate estimate of GCV were observed for length of main receme, length siliquae and 1000 seed weight low estimates of GCV were oil content and plant height. The seed yield per plant was found to be positively and significantly correlated with number of primary and secondary branches. Member of siliquae and main branch and 1000 seed weight. Plant height positive and highly significant association with number of siliquae on main branch and number of primary branch.",2,"Genetic variability, character association and path analysis between seed yield and its components in Indian mustard (Brassica juncea L. Czern and Coss).
K Mukesh, SP Singh - Progressive Research, 2013
Cited by 2 Related articles",{'2016': 2},257-259,,,,,,,,
"High pressure phase transition and elastic properties of ytterbium compounds YbX (X= O, S, Se and Te)","MP Singh, SP Singh, AP Singh",2013,,,,,"It is known that concrete is relatively a brittle material and has short-coming of poor toughness. The addition of fibres in concrete inhibits cracking and considerably enhances its structural properties, viz., compressive strength, tensile strength and static flexural strength. Fibres provide well defined postcracking behavior.",0,"STRENGTH DEVELOPMENT OF HYBRID STEEL FIBRE REINFORCED CONCRETE
MP Singh, SP Singh, AP Singh - 2013
Related articles",{},,,,,,,,,
A novel MGF based capacity over “Alpha-Mu” fading distribution,"R Bedi, R Chandra, SP Singh",2013,Journal of Experimental & Applied Mechanics,4,3,,,4,"Probabilistic analysis of fatigue life of polymer concrete
R Bedi, R Chandra, SP Singh - Journal of Experimental & Applied Mechanics, 2013
Cited by 4 Related articles",{},22-28,,,,,,,,
EFFECT OF PRE-EXISTING JUXTA-ARTICULAR OSTEOPENIA IN PATIENTS UNDERGOING TOTAL KNEE REPLACEMENT,"Sanasam Ranbir Singh, Hema A Murthy, Timothy A Gonsalves",2013,,,,Springer Berlin Heidelberg,"Query expansion is a commonly used technique to address the problem of short and under-specified search queries in information retrieval. Traditional query expansion frameworks return static results, whereas user’s information needs is dynamics in nature. User’s search goal, even for the same query, may be different at different instances. This often leads to poor coherence between traditional query expansion and user’s search goal resulting poor retrieval performance. In this study, we observe that user’s search pattern is influenced by his/her recent searches in many search instances. We further propose a query expansion framework which explores user’s real time implicit feedback provided at the time of search to determine user’s search context and identify relevant query expansion terms. From extensive experiments, it is evident that the proposed query expansion framework adapts to the changing …",6,"Inference based query expansion using user’s real time implicit feedback
SR Singh, HA Murthy, TA Gonsalves - … : Second International Joint Conference, IC3K 2010 …, 2013
Cited by 6 Related articles All 3 versions",{},158-172,,"Knowledge Discovery, Knowledge Engineering and Knowledge Management: Second International Joint Conference, IC3K 2010, Valencia, Spain, October 25-28, 2010, Revised Selected Papers 2",,,,,,
CONCURRENT CHEMORADIATION THERAPY CONFERS BETTER SURVIVAL OUTCOMES IN PATIENTS WITH LOW BASELINE HPV TITRES.,"Mohd Naim, Bindeshwar Singh, SP Singh, Rajneesh Mishra, Prem Nath Verma, Dinesh Kumar, Ravi Prakash Vishvakarma",2012/12/17,,,,IEEE,"This paper has been attempted to presents the investigation of transient performance of Voltage Source Inverter (VSI)-fed Induction Motor (IM) drives with Space Vector Pulse with Modulation (SVPWM) technique based on Proportional (P), Proportional Integral (PI), and Proportional Integral Derivative (PID) controllers. In general, the principle of operating a three phase IM indicates that the speed of the motor is directly related to the frequency of the supply. This fact has made the inverter-fed induction motor having a very common configuration in the majority of industrial applications. The VSI-fed IM drives are increasingly applied in many recent industrial applications that require excellent transient performance of drives. There is an increasing trend of using SVPWM because of their easier digital realization and better DC bus utilization capability. Advantages of lower harmonics and a higher modulation index in …",3,"Investigation of transient performance of VSI-fed IM drives with SVPWM technique based on P, PI, and PID controllers
M Naim, B Singh, SP Singh, R Mishra, PN Verma… - 2012 2nd International Conference on Power, Control …, 2012
Cited by 3 Related articles All 3 versions",{},1-7,,"2012 2nd International Conference on Power, Control and Embedded Systems",,,,,,
URINARY LEVELS OF C-TERMINAL CROSSLINKED TELOPEPTIDE TYPE 1 AS A DIAGNOSTIC INDICATOR OF KNEE OSTEOARTHRITIS,"HS MUNRO, S SINGH",2012/12/6,Polymer Characterisation,,,Springer Science & Business Media,"The availability of an increasing number of techniques for the characterisation of polymeric surfaces over the last twenty years or so has lead to many important improvements in the understanding of interfacial phenomena (eg adhesion, wetting, printing, biocompatability) in these materials. In particular the development of X-ray photoelectron spectroscopy (XPS), as applied to polymers, has allowed a wealth of information regarding the surface elemental and functional-group composition to be obtained. Many interesting correlations between the surface composition, as determined by XPS, and interfacial phenomena have been noted. These observations have led to the realisation that the structure and properties of the outermost 5 nm or so of a polymer can control the performance of the material in many applications. As with many characterisation techniques, there are limitations on the information obtained by XPS. This has, in part, provided the impetus for developing other techniques which would complement XPS, in terms of both compositional data and surface sensitivity. Static secondary ion mass spectrometry (SSIMS) has emerged in the last ten years as one of the most powerful techniques complementary to XPS. As implied by the name of the technique, a mass spectrum representative of the surface is obtained. This chapter will give brief outlines of the two techniques and some of their applications. Before commencing on the main points of this chapter, it is worth emphasising that both of these techniques require high-vacuum conditions in order to operate. At first sight, many might expect that on introducing a polymeric material into a high …",0,"11 The characterisation of polymer surfaces by
HS MUNRO, S SINGH - Polymer Characterisation, 2012
Related articles",{},333,,,,,,,,
