Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Inventors,Patent office,Application number,Patent number,Conference,Institution,Book,Source
A computationally efficient method for learning exponential family distributions,"Vivek F Farias, Srikanth Jagabathula, Devavrat Shah",2017,Available at SSRN 2905381,,,,"We consider the problem of"" hyper-localizing"" product assortments at a fashion retailer—that is, customizing the offerings to the particular preferences of customers visiting the store, so that customers can easily find the products that fit their tastes and purchase more. To make this decision, the firm must accurately predict the demand for each style at each store—a challenging task because of large variety and the small number of purchases per customer. To address this challenge, we propose:(a) a nonparametric choice modeling technique that uses purchase transactions tagged by customer IDs to build distributions over preference lists of products that are personalized to each customer and (b) an optimization framework that uses the predictions from our choice models to optimally allocate merchandise to different stores subject to inventory and dollar budget constraints. We implemented our methods at a large US fashion retailer with about $3 B in annual revenue and approximately 300 stores. In a controlled experiment, our methods resulted in additional 7% revenue growth (approx. $200 M profit impact) over the current method. We present the implementation details and the specific challenges (both technical and managerial) posed for assortment planning by fashion retail and the ways we addressed them.",14,"Building optimized and hyperlocal product assortments: A nonparametric choice approach
VF Farias, S Jagabathula, D Shah - Available at SSRN 2905381, 2017
Cited by 14 Related articles All 5 versions","{'2018': 1, '2019': 2, '2020': 5, '2021': 3, '2022': 3}",,,,,,,,,
Persim: Data-efficient offline reinforcement learning with heterogeneous agents via personalized simulators,"Poonam Gupta, DD Shah, KVV Satyanarayana",2016/12/1,International Journal of Electrical & Computer Engineering (2088-8708),6,6,,"In this paper, we have proposed a novel application using Internet of things (IOT). This application is focused to address the concerns of the parents towards their school going kids. Mainly the concerns of the parents are to ensure the safety of their kids in school bus as well as at school premises. In this paper, we have tried to provide detailed technical implementation about how different sensing, communication technologies clubbing together provides a platform in terms of IoT, where proposed application can be implemented to ensure safety of school going children as it is the priority and concern for parents. In Proposed application, parents get notification when his child boards the bus for school and gets down the bus at home‟ s doorstep. Parents also get notification when child enters his Class Room first time in a day. Parents any time can access the location his child or school bus in which his child is travelling. In case of emergency, child can disseminate the signal to parents/Single point of contact (SPOC) at school to make them aware about emergency.",5,"An IoT Framework for Addressing Parents Concerns about Safety of School Going Children.
P Gupta, DD Shah, KVV Satyanarayana - International Journal of Electrical & Computer …, 2016
Cited by 5 Related articles All 5 versions",{},,,,,,,,,
Regulating algorithmic filtering on social media,"Devavrat Shah, John N Tsitsiklis, Yuan Zhong",2016/11,Stochastic Systems,6,1,INFORMS,"We study the optimal scaling of the expected total queue size in an n × n input-queued switch, as a function of the number of ports n and the load factor ρ, which has been conjectured to be Θ(n/(1 − ρ)) (cf. [15]). In a recent work [16], the validity of this conjecture has been established for the regime where 1 − ρ = O(1/n2). In this paper, we make further progress in the direction of this conjecture. We provide a new class of scheduling policies under which the expected total queue size scales as O(n1.5(1 − ρ)−1 log (1/(1 − ρ))) when 1 − ρ = O(1/n). This is an improvement over the state of the art; for example, for ρ = 1 − 1/n the best known bound was O(n3), while ours is O(n2.5 log n).",15,"On queue-size scaling for input-queued switches
D Shah, JN Tsitsiklis, Y Zhong - Stochastic Systems, 2016
Cited by 15 Related articles All 14 versions","{'2015': 2, '2016': 2, '2017': 1, '2018': 2, '2019': 1, '2020': 3, '2021': 2, '2022': 1}",1-25,,,,,,,,
Short and wide network paths,"Guy Bresler, Devavrat Shah, Luis Filipe Voloch",2016/6/14,,,,,"There is much empirical evidence that item-item collaborative filtering works well in practice. Motivated to understand this, we provide a framework to design and analyze various recommendation algorithms. The setup amounts to online binary matrix completion, where at each time a random user requests a recommendation and the algorithm chooses an entry to reveal in the user's row. The goal is to minimize regret, or equivalently to maximize the number of +1 entries revealed at any time. We analyze an item-item collaborative filtering algorithm that can achieve fundamentally better performance compared to user-user collaborative filtering. The algorithm achieves good ""cold-start"" performance (appropriately defined) by quickly making good recommendations to new users about whom there is little information.",26,"Collaborative filtering with low regret
G Bresler, D Shah, LF Voloch - Proceedings of the 2016 ACM SIGMETRICS …, 2016
Cited by 26 Related articles All 6 versions",{},207-220,,,,,,,Proceedings of the 2016 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Science,
Causal matrix completion,"Devavrat Shah, Tauhid Zaman",2016/6,Operations research,64,3,INFORMS,"We consider the problem of detecting the source of a rumor which has spread in a network using only observations about which set of nodes are infected with the rumor and with no information as to when these nodes became infected. In a recent work , this rumor source detection problem was introduced and studied. The authors proposed the graph score function rumor centrality as an estimator for detecting the source. They establish it to be the maximum likelihood estimator with respect to the popular Susceptible Infected (SI) model with exponential spreading times for regular trees. They showed that as the size of the infected graph increases, for a path graph (2-regular tree), the probability of source detection goes to 0 and for d-regular trees with d ≥ 3 the probability of detection, say αd, remains bounded away from 0 and is less than 1/2. However, their results stop short of providing insights for the performance …",220,"Rumor centrality: a universal source detector*
D Shah, T Zaman - Proceedings of the 12th ACM SIGMETRICS …, 2012
Cited by 172 Related articles All 2 versions
Finding rumor sources on random trees
D Shah, T Zaman - Operations research, 2016
Cited by 68 Related articles All 15 versions","{'2012': 2, '2013': 3, '2014': 8, '2015': 20, '2016': 20, '2017': 29, '2018': 24, '2019': 37, '2020': 23, '2021': 19, '2022': 22, '2023': 8}",736-755,,,,,,,,
tspdb: Time series predict db,,2016/2/23,,,,,"Described herein are new error-correction (channel) codes: permute codes, iterative ensembles of permute and spinal codes, and graphical hash codes. In one aspect, a wireless system includes an encoder configured to encode data using one of the aforementioned channel codes. The wireless system also includes a decoder configured to decode the encoded data.",0,"Permute codes, iterative ensembles, graphical hash codes, and puncturing optimization
J Perry, H Balakrishnan, DD Shah - US Patent 9,270,412, 2016
Related articles All 4 versions",{},,"Jonathan Perry, Hari Balakrishnan, Devavrat D Shah",US,14314347,9270412,,,,
Quantifying Variational Approximation for Log-Partition Function,,2016/2/2,,,,,"A system and method for providing a personalized recommendation from a series of partial preferences is presented. A preference distribution of a population including a plurality of weighted ranked lists is identified. A revealed preference of a user is compared to the plurality of ranked lists. An affinity weight between the user and each of the plurality of ranked lists is assigned, and a weighted average of each of the affinity weights is taken.",10,"System and method for providing personalized recommendations
D Shah, VF Farias, S Jagabathula, AT Ammar - US Patent 9,251,527, 2016
Cited by 10 Related articles All 5 versions",{},,"Devavrat Shah, Vivek Francis Farias, Srikanth Jagabathula, Ammar Tawfiq Ammar",US,13598124,9251527,,,,
Prediction using fusion of heterogeneous unstructured data,"S Negahban, S Oh, D Shah",2016,Operations research,65,1,,,4,"Rank centrality: Ranking from pairwise com-parisons
S Negahban, S Oh, D Shah - Operations research, 2016
Cited by 4 Related articles",{},266-287,,,,,,,,
Method and apparatus for graph-based computing,"J Gurukartick, Amol R Dongre, Dharav Shah",2016/1,Indian Journal of Palliative Care,22,1,Scientific Scholar,"Objectives:
(1) To find out the prevalence of dementia in the study population and its social determinants.(2) To explore the family caregivers’ perceptions and their support needs.
Materials and Methods-Study Setting:
This study was undertaken in the field practice area of 55 villages of three Primary Health Centres in Villupuram District of Tamil Nadu.
Study Design:
An exploratory mixed-methods study design, where a qualitative method (key informant interview) was followed by a quantitative method (survey).
Sample Size:
A representative sample of 1300 respondents was selected by two-stage sampling.
Analysis:
Manual content analysis was done for qualitative data. Multiple logistic regression was performed on quantitative data.
Results:
The prevalence of dementia among study sample was found to be 3.1%. The determinants for dementia were age, sex, socioeconomic status, and previous involvement in family …",10,"Social determinants of dementia and caregivers’ perspectives in the field practice villages of rural Health Training Centre, Thiruvennainallur
J Gurukartick, AR Dongre, D Shah - Indian Journal of Palliative Care, 2016
Cited by 10 Related articles All 9 versions","{'2020': 3, '2021': 3, '2022': 3, '2023': 1}",25,,,,,,,,
I Know What You Bought At Chipotle for $9.81 by Solving A Linear Inverse Problem,"Amin Coja-Oghlan, David Gamarnik, Marc Mézard, Andrea Montanari, Cristopher Moore, Manfred Opper, Giorgio Parisi, Devavrat Shah, Rüdiger Urbanke, Riccardo Zecchina",2016,,,,Oxford University Press,,0,"Statistical Physics, Optimization, Inference, and Message-passing Algorithms: École de Physique Des Houches, Special Issue, 30 September-11 October 2013
A Coja-Oghlan, D Gamarnik, M Mézard, A Montanari… - 2016",{},,,,,,,,,
8 Computing Choice: Learning Distributions over Permutations,"Dogyoon Song, Christina E Lee, Yihua Li, Devavrat Shah",2016,Advances in Neural Information Processing Systems,29,,,"We introduce the framework of {\em blind regression} motivated by {\em matrix completion} for recommendation systems: given users, movies, and a subset of user-movie ratings, the goal is to predict the unobserved user-movie ratings given the data, ie, to complete the partially observed matrix. Following the framework of non-parametric statistics, we posit that user and movie have features and respectively, and their corresponding rating is a noisy measurement of for some unknown function . In contrast with classical regression, the features are not observed, making it challenging to apply standard regression methods to predict the unobserved ratings. Inspired by the classical Taylor's expansion for differentiable functions, we provide a prediction algorithm that is consistent for all Lipschitz functions. In fact, the analysis through our framework naturally leads to a variant of collaborative filtering, shedding insight into the widespread success of collaborative filtering in practice. Assuming each entry is sampled independently with probability at least with , we prove that the expected fraction of our estimates with error greater than is less than plus a polynomially decaying term, where is the variance of the additive entry-wise noise term. Experiments with the MovieLens and Netflix datasets suggest that our algorithm provides principled improvements over basic collaborative filtering and is competitive with matrix factorization methods.",49,"Blind regression: Nonparametric regression for latent variable models via collaborative filtering
D Song, CE Lee, Y Li, D Shah - Advances in Neural Information Processing Systems, 2016
Cited by 49 Related articles All 7 versions","{'2017': 8, '2018': 13, '2019': 11, '2020': 5, '2021': 4, '2022': 5, '2023': 3}",,,,,,,,,
Partition-Merge: Distributed Inference and Modularity Optimization,Devavrat Shah,2016,,,,Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik,"In this talk, we shall discuss the question of learning distribution over permutations of n choices based on partial observations. This is central to capturing the so called"" choice"" in a variety of contexts: understanding preferences of consumers over a collection of products based on purchasing and browsing data in the setting of retail and e-commerce, learning public opinion amongst a collection of socio-economic issues based on sparse polling data, and deciding a ranking of teams or players based on outcomes of games. The talk will primarily discuss the relationship between the ability to learn, nature of partial information and number of available observations. Connections to the classical theory of social choice and behavioral psychology, as well as modern literature in Statistics, learning theory and operations research will be discussed.",0,"Compute Choice (Invited Talk)
D Shah - … on Automata, Languages, and Programming (ICALP …, 2016
All 5 versions",{},,,,,,"43rd International Colloquium on Automata, Languages, and Programming (ICALP 2016)",,,
On learning continuous pairwise markov random fields,Devavrat Shah,2015/12/17,"Statistical Physics, Optimization, Inference, and Message-Passing Algorithms: Lecture Notes of the Les Houches School of Physics: Special Issue, October 2013",,,Oxford University Press,"Consider two random variables A and B with a joint probability distribution PA, B. From the observation of the realization of one of those variables, say B= b, we want to infer the one that we did not observe. To that end, we compute the conditional probability distribution PA| B, and use it to obtain an estimate ˆa (b) of a. To quantify how good this estimate is, we introduce the error probability:",1,"Statistical inference with probabilistic graphical models
D Shah - … , Inference, and Message-Passing Algorithms: Lecture …, 2015
Cited by 1 Related articles All 2 versions",{'2023': 1},1,,,,,,,,
Approximating the Log-Partition Function,,2015/12/1,,,,,"A system and method for determining a rank aggregation from a series of partial preferences is presented. A distribution is learned over preferences from partial preferences with sparse support. A computer receives a plurality of partial preferences selected from two or more preference lists. Weights are assigned to each of said plurality of partial preferences, resulting in multiple ranked lists.",1,"System and method for finding mood-dependent top selling/rated lists
D Shah, VF Farias, S Jagabathula, AT Ammar - US Patent 9,201,968, 2015
Cited by 1 Related articles All 3 versions",{'2017': 1},,"Devavrat Shah, Vivek Francis Farias, Srikanth Jagabathula, Ammar Tawfiq Ammar",US,13598040,9201968,,,,
Inferring Sparse Preference Lists from Partial Information,,2015/9/22,,,,,"In one aspect, a wireless system includes an encoder configured to encode data using a spinal code which uses a function over the message bits to directly produce a sequence of constellation symbols for transmission. The wireless system also includes a decoder configured to decode the spinal code. The function may be at least one of a non-linear function and a hash function.",1,"Rateless and rated coding using spinal codes
J Perry, D Shah, H Balakrishnan - US Patent 9,143,175, 2015
Cited by 1 Related articles All 4 versions",{'2017': 1},,"Jonathan Perry, Devavrat Shah, Hari Balakrishnan",US,14230165,9143175,,,,
I know what you bought at chipotle for $9.81 by solving a linear inverse problem,"Guy Bresler, Devavrat Shah, Luis F Voloch",2015/7/20,arXiv preprint arXiv:1507.05371,,,,"There is much empirical evidence that item-item collaborative filtering works well in practice. Motivated to understand this, we provide a framework to design and analyze various recommendation algorithms. The setup amounts to online binary matrix completion, where at each time a random user requests a recommendation and the algorithm chooses an entry to reveal in the user's row. The goal is to minimize regret, or equivalently to maximize the number of +1 entries revealed at any time. We analyze an item-item collaborative filtering algorithm that can achieve fundamentally better performance compared to user-user collaborative filtering. The algorithm achieves good ""cold-start"" performance (appropriately defined) by quickly making good recommendations to new users about whom there is little information.",4,"Regret guarantees for item-item collaborative filtering
G Bresler, D Shah, LF Voloch - arXiv preprint arXiv:1507.05371, 2015
Cited by 4 Related articles All 3 versions",{},,,,,,,,,
Gradient-based empirical risk minimization using local polynomial regression,"J Michael Harrison, Chinmoy Mandayam, Devavrat Shah, Yang Yang",2015/3,,4,2,INFORMS,"This paper provides an overview of the resource sharing networks introduced by Massoulié and Roberts [20] to model the dynamic behavior of Internet flows. Striving to separate the model class from the applications that motivated its development, we assume no prior knowledge of communication networks. The paper also presents an open problem, along with simulation results, a formal analysis, and a selective literature review that provide context and motivation. The open problem is to devise a policy for dynamic resource allocation that achieves what we call hierarchical greedy ideal (HGI) performance in the heavy traffic limit. The existence of such a policy is suggested by formal analysis of an approximating Brownian control problem, assuming that there is “local traffic” on each processing resource.",21,"Resource sharing networks: Overview and an open problem
JM Harrison, C Mandayam, D Shah, Y Yang - Stochastic Systems, 2015
Cited by 21 Related articles All 6 versions","{'2014': 2, '2015': 3, '2016': 2, '2017': 4, '2018': 4, '2019': 1, '2020': 2, '2021': 2, '2022': 1}",524-555,,,,,,,,Stochastic Systems
On principal component regression in a high-dimensional error-in-variables setting,"Christina E Lee, Asuman Ozdaglar, Devavrat Shah",2015,arXiv preprint arXiv:1411.2647,,,,"We present synchronous and asynchronous randomized variants of an algorithm for approximating a single component of the solution to a system of linear equations Ax= b, where A is a positive definite real matrix and b∈ Rn. This can equivalently be formulated as solving for xi in x= Gx+ z for some G and z such that the spectral radius of G is less than 1. We consider the setting where n is large, yet G is sparse, ie, each row has at most d nonzero entries. Our algorithm relies on the Neumann series characterization of the component xi. Both variants of our algorithm produce an estimate xi such that| xi− xi|≤ ϵx2, and we provide convergence rate guarantees when G2< 1. Our algorithms obtain an approximation for xi in constant time with respect to the size of the matrix when d= O (1) and 1/(1− G2)= O (1). This requires analyzing the product of random matrices which are drawn from distributions that are time and path dependent. We also give general conditions under which the asynchronous algorithm converges asymptotically regardless of the order and frequency of updates.",1,"Solving for a single component of the solution to a linear system, asynchronously
CE Lee, A Ozdaglar, D Shah - arXiv preprint arXiv:1411.2647, 2015
Cited by 1 Related articles",{'2016': 1},,,,,,,,,
"Adaptive control of COVID-19 outbreaks in India: Local, gradual, and trigger-based exit paths from lockdown","George H Chen, Devavrat Shah, Polina Golland",2015,,,,Springer International Publishing,"Despite the popularity and empirical success of patch-based nearest-neighbor and weighted majority voting approaches to medical image segmentation, there has been no theoretical development on when, why, and how well these nonparametric methods work. We bridge this gap by providing a theoretical performance guarantee for nearest-neighbor and weighted majority voting segmentation under a new probabilistic model for patch-based image segmentation. Our analysis relies on a new local property for how similar nearby patches are, and fuses existing lines of work on modeling natural imagery patches and theory for nonparametric classification. We use the model to derive a new patch-based segmentation algorithm that iterates between inferring local label patches and merging these local segmentations to produce a globally consistent image segmentation. Many existing patch-based …",9,"A latent source model for patch-based image segmentation
GH Chen, D Shah, P Golland - Medical Image Computing and Computer-Assisted …, 2015
Cited by 9 Related articles All 15 versions",{},140-148,,,,,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2015: 18th International Conference, Munich, Germany, October 5-9, 2015, Proceedings, Part III 18",,,
Forecasting with alternative data,"Devavrat Shah, Neil S Walton, Yuan Zhong",2014/12/1,,24,6,,"We consider a switched (queuing) network in which there are constraints on which queues may be served simultaneously; such networks have been used to effectively model input-queued switches and wireless networks. The scheduling policy for such a network specifies which queues to serve at any point in time, based on the current state or past history of the system. In the main result of this paper, we provide a new class of online scheduling policies that achieve optimal queue-size scaling for a class of switched networks including input-queued switches. In particular, it establishes the validity of a conjecture (documented in Shah, Tsitsiklis and Zhong [Queueing Syst. 68 (2011) 375–384]) about optimal queue-size scaling for input-queued switches.",30,"Optimal queue-size scaling in switched networks
D Shah, NS Walton, Y Zhong - 2014
Cited by 30 Related articles All 15 versions","{'2013': 4, '2014': 1, '2015': 3, '2016': 4, '2017': 2, '2018': 5, '2019': 2, '2020': 2, '2021': 4, '2022': 2}",2207-2245,,,,,,,,
Estimation of skill distributions,"Christina E Lee, Asuman Ozdaglar, Devavrat Shah",2014/11,arXiv preprint arXiv:1411.2647,,,,"We present a distributed asynchronous algorithm for approximating a single component of the solution to a system of linear equations Ax= b, where A is a positive definite real matrix and b∈ Rn. This can equivalently be formulated as solving for xi in x= Gx+ z for some G and z such that the spectral radius of G is less than 1. Our algorithm relies on the Neumann series characterization of the component xi, and is based on residual updates. We analyze our algorithm within the context of a cloud computation model, in which the computation is split into small update tasks performed by small processors with shared access to a distributed file system. We prove a robust asymptotic convergence result when ρ (G)< 1, regardless of the precise order and frequency in which the update tasks are performed, where Gij=| Gij|. We provide convergence rate bounds which depend on the order of update tasks performed, analyzing both deterministic update rules via counting weighted random walks, as well as probabilistic update rules via concentration bounds. The probabilistic analysis requires analyzing the product of random matrices which are drawn from distributions that are time and path dependent. We specifically consider the setting where n is large, yet G is sparse, eg, each row has at most d nonzero entries. This is motivated by applications in which G is derived from the edge structure of an underlying graph. Our results prove that if the local neighborhood of the graph does not grow too quickly as a function of n, our algorithm can provide significant reduction in computation cost as opposed to any algorithm which computes the global solution vector x …",8,"Asynchronous approximation of a single component of the solution to a linear system
CE Lee, A Ozdaglar, D Shah - arXiv preprint arXiv:1411.2647, 2014
Cited by 8 Related articles",{},,,,,,,,,
Synthetic interventions,"Christina E Lee, Asuman E Ozdaglar, Devavrat Shah",2014/11,arXiv preprint arXiv:1411.2647,,,,"We consider approximating a single component of the solution to a system of linear equations Ax= b, where A is an invertible real matrix and b∈ Rn. If A is either diagonally dominant or positive definite, we can equivalently solve for xi in x= Gx+ z for some G and z such that spectral radius ρ (G)< 1. For example, if A is symmetric positive definite, there is a transformation such that ρ (G)=(κ (A)− 1)/(κ (A)+ 1), where κ (A) is the condition number of A. Existing algorithms either focus on computing the full vector x or use Monte Carlo methods to estimate a component xi under the condition G∞< 1. We consider the setting where n is large, yet G is sparse, ie, each row has at most d nonzero entries. We present synchronous and asynchronous randomized variants of a local algorithm which relies on the Neumann series characterization of the component xi, eT i∑∞ k= 0 Gkz, and allows us to limit the sparsity of the vectors involved in the computation, leading to improved convergence rates. Both variants of our algorithm produce an estimate xi such that| xi− xi|≤ ǫx2, and we provide convergence guarantees when G2< 1, thus encompassing a larger class of systems. We prove that the synchronous local algorithm uses at most O (min (dǫln (d)/ln (G2), dn ln (ǫ)/ln (G2))) multiplications. The asynchronous local algorithm adaptively samples one coordinate to update among the nonzero coordinates of the current iterate in each time step. We prove with high probability that the error contracts by a time varying factor in each step, guaranteeing that the algorithm converges to the correct solution. With probability at least 1− δ, the asynchronous randomized algorithm …",18,"Solving systems of linear equations: Locally and asynchronously
CE Lee, AE Ozdaglar, D Shah - arXiv preprint arXiv:1411.2647, 2014
Cited by 18 Related articles All 3 versions","{'2015': 2, '2016': 2, '2017': 3, '2018': 4, '2019': 2, '2020': 3, '2021': 2}",,,,,,,,,
Stable reinforcement learning with unbounded state space,"Devavrat Shah, Kang Zhang",2014/9/30,,,,IEEE,"In this paper, we discuss the method of Bayesian regression and its efficacy for predicting price variation of Bitcoin, a recently popularized virtual, cryptographic currency. Bayesian regression refers to utilizing empirical data as proxy to perform Bayesian inference. We utilize Bayesian regression for the so-called “latent source model”. The Bayesian regression for “latent source model” was introduced and discussed by Chen, Nikolov and Shah [1] and Bresler, Chen and Shah [2] for the purpose of binary classification. They established theoretical as well as empirical efficacy of the method for the setting of binary classification. In this paper, instead we utilize it for predicting real-valued quantity, the price of Bitcoin. Based on this price prediction method, we devise a simple strategy for trading Bitcoin. The strategy is able to nearly double the investment in less than 60 day period when run against real data trace.",192,"Bayesian regression and Bitcoin
D Shah, K Zhang - 2014 52nd annual Allerton conference on …, 2014
Cited by 192 Related articles All 12 versions","{'2014': 1, '2015': 4, '2016': 6, '2017': 10, '2018': 25, '2019': 41, '2020': 38, '2021': 27, '2022': 31, '2023': 7}",409-414,,,,,"2014 52nd annual Allerton conference on communication, control, and computing (Allerton)",,,
Non-asymptotic analysis of monte carlo tree search,"Angélique Drémeau, Christophe Schülke, Yingying Xu, Devavrat Shah",2014/9/17,arXiv preprint arXiv:1409.4928,,,,"These are notes from the lecture of Devavrat Shah given at the autumn school ""Statistical Physics, Optimization, Inference, and Message-Passing Algorithms"", that took place in Les Houches, France from Monday September 30th, 2013, till Friday October 11th, 2013. The school was organized by Florent Krzakala from UPMC & ENS Paris, Federico Ricci-Tersenghi from La Sapienza Roma, Lenka Zdeborova from CEA Saclay & CNRS, and Riccardo Zecchina from Politecnico Torino. This lecture of Devavrat Shah (MIT) covers the basics of inference and learning. It explains how inference problems are represented within structures known as graphical models. The theoretical basis of the belief propagation algorithm is then explained and derived. This lecture sets the stage for generalizations and applications of message passing algorithms.",2,"Statistical inference with probabilistic graphical models
A Drémeau, C Schülke, Y Xu, D Shah - arXiv preprint arXiv:1409.4928, 2014
Cited by 2 Related articles All 6 versions",{},,,,,,,,,
On multivariate singular spectrum analysis,"Jonathan Perry, Amy Ousterhout, Hari Balakrishnan, Devavrat Shah, Hans Fugal",2014/8/17,,,,,"An ideal datacenter network should provide several properties, including low median and tail latency, high utilization (throughput), fair allocation of network resources between users or applications, deadline-aware scheduling, and congestion (loss) avoidance. Current datacenter networks inherit the principles that went into the design of the Internet, where packet transmission and path selection decisions are distributed among the endpoints and routers. Instead, we propose that each sender should delegate control---to a centralized arbiter---of when each packet should be transmitted and what path it should follow.
This paper describes Fastpass, a datacenter network architecture built using this principle. Fastpass incorporates two fast algorithms: the first determines the time at which each packet should be transmitted, while the second determines the path to use for that packet. In addition, Fastpass uses an efficient …",523,"Fastpass: A centralized"" zero-queue"" datacenter network
J Perry, A Ousterhout, H Balakrishnan, D Shah… - Proceedings of the 2014 ACM conference on …, 2014
Cited by 523 Related articles All 35 versions","{'2014': 2, '2015': 42, '2016': 72, '2017': 73, '2018': 75, '2019': 73, '2020': 68, '2021': 53, '2022': 48, '2023': 10}",307-318,,,,,,,Proceedings of the 2014 ACM conference on SIGCOMM,
Two Burning Questions on COVID-19: Did shutting down the economy help? Can we (partially) reopen the economy without risking the second wave?,"H Vincent Poor, Kwang-Cheng Chen, Vikram Krishnamurthy, Devavrat Shah, Patrick J Wolfe",2014/7/15,IEEE Journal of Selected Topics in Signal Processing,8,4,IEEE,"The objective of this special issue is to contribute to the progress and success of signal processing methods in social networks. We received a large number of submitted manuscripts, out of which seventeen papers were accepted for publication in this issue. These papers can be divided roughly into three categories: modeling of social network dynamics, inference in social networks, and applications. These categories are not disjoint, however, as papers often treat multiple aspects of social network analysis.",2,"Introduction to the Issue on Signal Processing for Social Networks [Guest editorial]
HV Poor, KC Chen, V Krishnamurthy, D Shah, PJ Wolfe - IEEE Journal of Selected Topics in Signal Processing, 2014
Cited by 2 Related articles All 4 versions",{},511-513,,,,,,,,
On reinforcement learning for turn-based zero-sum Markov games,"Ammar Ammar, Sewoong Oh, Devavrat Shah, Luis Filipe Voloch",2014/6/16,,,,,"Computing a ranking over choices using consumer data gathered from a heterogenous population has become an indispensable module for any modern consumer information system, e.g. Yelp, Netflix, Amazon and app-stores like Google play. In such applications, a ranking or recommendation algorithm needs to extract meaningful information from noisy data accurately and in a scalable manner. A principled approach to resolve this challenge requires a model that connects observations to recommendation decisions and a tractable inference algorithm utilizing this model. To that end, we abstract the preference data generated by consumers as noisy, partial realizations of their innate preferences, i.e. orderings or permutations over choices. Inspired by the seminal works of Samuelson (cf. axiom of revealed preferences) and that of McFadden (cf. discrete choice models for transportation), we model the population's …",13,"What's your choice? learning the mixed multi-nomial
A Ammar, S Oh, D Shah, LF Voloch - The 2014 ACM international conference on …, 2014
Cited by 13 Related articles All 5 versions","{'2014': 1, '2015': 1, '2016': 2, '2017': 1, '2018': 4, '2019': 1, '2020': 2, '2021': 1}",565-566,,,,,,,The 2014 ACM international conference on Measurement and modeling of computer systems,
Method and apparatus for graph-based computing,,2014/5/13,,,,,"In one aspect, a wireless system includes an encoder configured to encode data using a spinal code which uses a function over the message bits to directly produce a sequence of constellation symbols for transmission. The wireless system also includes a decoder configured to decode the spinal code. The function may be at least one of a non-linear function and a hash function.",8,"Rateless and rated coding using spinal codes
J Perry, D Shah, H Balakrishnan - US Patent 8,724,715, 2014
Cited by 8 Related articles All 4 versions","{'2015': 2, '2016': 1, '2017': 2, '2018': 2, '2019': 1}",,"Jonathan Perry, Devavrat Shah, Hari Balakrishnan",US,13399436,8724715,,,,
Estimation of skill distribution from a tournament,"David Tse, Piyush Gupta, Devavrat Shah",2014/3/6,,,,CALIFORNIA UNIV BERKELEY,"In recent years, large wireless networks have become the architecture of choice in many emerging scenarios, such as mesh networks for providing infrastructure in metro areas, communication infrastructure under extreme conditions in military applications, cost-effective sensor networks for monitoring and surveillance, peer-to-peer networks between handheld devices in a social setup, among others. A fundamental issue is to determine the best performance that can be achieved in such networks. This is the theme of the project. In particular, we have investigated in depth capacity, synchronization, in-network computation, distributed medium access and the role of feedback. Towards the latter part of this project, we have applied the lessons we learnt about wireless networks to other types of networks such as power networks.
Descriptors:",0,"Thermodynamics of Large-Scale Heterogeneous Wireless Networks
D Tse, P Gupta, D Shah - 2014
Related articles",{},,,,,,,,,
Is it luck or skill: establishing role of skill in mutual fund management and fantasy sports,"Devavrat Shah, John N Tsitsiklis, Yuan Zhong",2014/2/1,,24,1,,"We consider a flow-level model of a network operating under an -fair bandwidth sharing policy (with ) proposed by Roberts and Massoulié [Telecomunication Systems 15 (2000) 185–201]. This is a probabilistic model that captures the long-term aspects of bandwidth sharing between users or flows in a communication network.
We study the transient properties as well as the steady-state distribution of the model. In particular, for , we obtain bounds on the maximum number of flows in the network over a given time horizon, by means of a maximal inequality derived from the standard Lyapunov drift condition. As a corollary, we establish the full state space collapse property for all .
For the steady-state distribution, we obtain explicit exponential tail bounds on the number of flows, for any , by relying on a norm-like Lyapunov function. As a corollary, we establish the validity of the …",20,"Qualitative properties of α-fair policies in bandwidth-sharing networks
D Shah, JN Tsitsiklis, Y Zhong - 2014
Cited by 20 Related articles All 16 versions",{},76-113,,,,,,,,
