Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Machine-learning classifiers for imbalanced tornado data,"Theodore B Trafalis, Indra Adrianto, Michael B Richman, S Lakshmivarahan",2014/10,Computational Management Science,11,,Springer Berlin Heidelberg,"Learning from imbalanced data, where the number of observations in one class is significantly larger than the ones in the other class, has gained considerable attention in the machine learning community. Assuming the difficulty in predicting each class is similar, most standard classifiers will tend to predict the majority class well. This study applies tornado data that are highly imbalanced, as they are rare events. The severe weather data used herein have thunderstorm circulations (mesocyclones) that produce tornadoes in approximately 6.7 % of the total number of observations. However, since tornadoes are high impact weather events, it is important to predict the minority class with high accuracy. In this study, we apply support vector machines (SVMs) and logistic regression with and without a midpoint threshold adjustment on the probabilistic outputs, random forest, and rotation forest for tornado …",28,"Machine-learning classifiers for imbalanced tornado data
TB Trafalis, I Adrianto, MB Richman, S Lakshmivarahan - Computational Management Science, 2014
Cited by 28 Related articles All 9 versions",{},403-418,,,,
Data assimilation as a problem in optimal tracking: Application of Pontryagin’s minimum principle to atmospheric science,"S Lakshmivarahan, JM Lewis, Dung Phan",2013/4/1,Journal of the atmospheric sciences,70,4,American Meteorological Society,"A data assimilation strategy based on feedback control has been developed for the geophysical sciences—a strategy that uses model output to control the behavior of the dynamical system. Whereas optimal tracking through feedback control had its early history in application to vehicle trajectories in space science, the methodology has been adapted to geophysical dynamics by forcing the trajectory of a deterministic model to follow observations in accord with observation accuracy. Fundamentally, this offline (where it is assumed that the observations in a given assimilation window are all given) approach is based on Pontryagin’s minimum principle (PMP) where a least squares fit of idealized path to dynamic law follows from Hamiltonian mechanics. This utilitarian process optimally determines a forcing function that depends on the state (the feedback component) and the observations. It follows that this optimal …",8,"Data assimilation as a problem in optimal tracking: Application of Pontryagin’s minimum principle to atmospheric science
S Lakshmivarahan, JM Lewis, D Phan - Journal of the atmospheric sciences, 2013
Cited by 8 Related articles All 12 versions",{},1257-1277,,,,
Nudging methods: A critical overview,"S Lakshmivarahan, John M Lewis",2013,,,,Springer Berlin Heidelberg,"A review of the various methods used to implement the “nudging” form of data assimilation has been presented with the intension of identifying both the pragmatic and theoretical aspects of the methodology. Its appeal rests on the intuitive belief that forecast corrections can be made on the basis of feedback control where forecast error from earlier times is incorporated into the dynamics. Further, the methodology is easy to implement. However, its early-period implementation with a nudging coefficient based on pure empiricism with slight consideration of the time scales of motion lacked a firm theoretical foundation. This empirical approach is reviewed but then placed in the context of advances that have attempted to optimally choose the nudging coefficient based on a functional that fits model to data as well as fitting the coefficient to an a priori estimate of the coefficient. Original research in this review makes it …",54,"Nudging methods: A critical overview
S Lakshmivarahan, JM Lewis - Data Assimilation for Atmospheric, Oceanic and …, 2013
Cited by 54 Related articles All 4 versions","{'2014': 1, '2015': 4, '2016': 6, '2017': 5, '2018': 7, '2019': 8, '2020': 9, '2021': 7, '2022': 5, '2023': 1}",27-57,,,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. II)",
A Question of Adequacy of Observations in Variational Data Assimilation,"John M Lewis, S Lakshmivarahan",2013,"Data Assimilation for Atmospheric, Oceanic and Hydrologic Applications (Vol. II)",,,Springer Berlin Heidelberg,"The adequacy of observations to locate the minimum of the standard cost function for variational data assimilation under strong constraint has been investigated. A simplified yet meaningful Lagrangian air/sea interaction model that captures key aspects of air mass modification over the Gulf of Mexico in wintertime is the dynamical tool used to examine this question of adequacy. Two mathematically different yet equivalent variational schemes are used in numerical experiments with a fixed number of observations along a prior known trajectory over the Gulf. Research clearly indicates that sensitivity of model output to elements of control (initial condition, boundary condition, and physical parameter) is key to placement of observations in order to minimize the cost function and determine optimal corrections to control.",0,"A Question of Adequacy of Observations in Variational Data Assimilation
JM Lewis, S Lakshmivarahan - Data Assimilation for Atmospheric, Oceanic and …, 2013
Related articles All 2 versions",{},111-124,,,,
Learning algorithms theory and applications: theory and applications,Sivaramakrishnan Lakshmivarahan,2012/12/6,,,,Springer Science & Business Media,Learning constitutes one of the most important phase of the whole psychological processes and it is essential in many ways for the occurrence of necessary changes in the behavior of adjusting organisms. In a broad sense influence of prior behavior and its consequence upon subsequent behavior is usually accepted as a definition of learning. Till recently learning was regarded as the prerogative of living beings. But in the past few decades there have been attempts to construct learning machines or systems with considerable success. This book deals with a powerful class of learning algorithms that have been developed over the past two decades in the context of learning systems modelled by finite state probabilistic automaton. These algorithms are very simple iterative schemes. Mathematically these algorithms define two distinct classes of Markov processes with unit simplex (of suitable dimension) as its state space. The basic problem of learning is viewed as one of finding conditions on the algorithm such that the associated Markov process has prespecified asymptotic behavior. As a prerequisite a first course in analysis and stochastic processes would be an adequate preparation to pursue the development in various chapters.,362,"Learning algorithms theory and applications: theory and applications
S Lakshmivarahan - 2012
Cited by 362 Related articles All 3 versions","{'2008': 3, '2009': 10, '2010': 7, '2011': 10, '2012': 13, '2013': 8, '2014': 11, '2015': 16, '2016': 8, '2017': 7, '2018': 4, '2019': 15, '2020': 8, '2021': 10, '2022': 9, '2023': 8}",,,,,
Sensitivity as a component of variational data assimilation,"JM Lewis, S Lakshmivarahan",2012/12,AGU fall meeting abstracts,2012,,,"The adequacy of observations to locate the minimum of the standard cost function for variational data assimilation under dynamical constraint has been investigated. Whereas the iterative process of reducing the value of the cost function through an adjoint-model formulation is straightforward, the end result of the process can end at a saddle point rather than a minimum point in the space of control (initial conditions, boundary conditions, physical/empirical parameters). This occurrence is indicative of inadequacy of observations to locate the minimum. This situation can be overcome by introducing prior information (such as a forecast) into the functional, ie, inclusion of a term in the functional that fits the desired state to the forecast in accord with forecast accuracy. In the absence of this prior information, the adequacy or inadequacy of the observations to find a minimum can be determined through the use of sensitivity …",1,"Sensitivity as a component of variational data assimilation
JM Lewis, S Lakshmivarahan - AGU fall meeting abstracts, 2012
Cited by 1 Related articles",{'2017': 1},A33J-0277,,,,
The Distribution of the Value of the Firm and Stochastic Interest Rates,"S Lakshmivarahan, Shengguang Qian, Duane Stock",2012/2/28,,2012,,Scientific Research Publishing,"The time evolution of the value of a firm is commonly modeled by a linear, scalar stochastic differential equation (SDE) of the type where the coefficient in the drift term denotes the (exogenous) stochastic short term interest rate and is the given volatility of the value process. In turn, the dynamics of the short term interest rate are modeled by a scalar SDE. It is shown that exhibits a lognormal distribution when is a normal/Gaussian process defined by a common variety of narrow sense linear SDEs. The results can be applied to different financial situations where modeling value of the firm is critical. For example, with the context of the structural models, using this result one can readily compute the probability of default of a firm.",1,"The Distribution of the Value of the Firm and Stochastic Interest Rates
S Lakshmivarahan, S Qian, D Stock - 2012
Cited by 1 Related articles All 4 versions",{'2013': 1},,,,,
An approximation algorithm for computing a tipping set in super modular games for interdependent security,"B Cremeans, S Lakshmivarahan, Sudarshan K Dhall",2012/1/1,Procedia Computer Science,12,,Elsevier,"The problem of finding the minimal tipping set in a super modular game is known to be NP-hard. In this paper, we derive an approximation algorithm to find a minimal tipping set. In the special case of the uniform game, the approximation provides the exact result.",2,"An approximation algorithm for computing a tipping set in super modular games for interdependent security
B Cremeans, S Lakshmivarahan, SK Dhall - Procedia Computer Science, 2012
Cited by 2 Related articles All 6 versions",{},404-411,,,,
Assimilation of multiple data sets with the ensemble Kalman filter to improve forecasts of forest carbon dynamics,"Chao Gao, Han Wang, Ensheng Weng, S Lakshmivarahan, Yanfen Zhang, Yiqi Luo",2011/7,Ecological Applications,21,5,Ecological Society of America,"The ensemble Kalman filter (EnKF) has been used in weather forecasting to assimilate observations into weather models. In this study, we examine how effectively forecasts of a forest carbon cycle can be improved by assimilating observations with the EnKF. We used the EnKF to assimilate into the terrestrial ecosystem (TECO) model eight data sets collected at the Duke Forest between 1996 and 2004 (foliage biomass, fine root biomass, woody biomass, litterfall, microbial biomass, forest floor carbon, soil carbon, and soil respiration). We then used the trained model to forecast changes in carbon pools from 2004 to 2012. Our daily analysis of parameters indicated that all the exit rates were well constrained by the EnKF, with the exception of the exit rates controlling the loss of metabolic litter and passive soil organic matter. The poor constraint of these two parameters resulted from the low sensitivity of TECO …",42,"Assimilation of multiple data sets with the ensemble Kalman filter to improve forecasts of forest carbon dynamics
C Gao, H Wang, E Weng, S Lakshmivarahan, Y Zhang… - Ecological Applications, 2011
Cited by 42 Related articles All 9 versions",{},1461-1473,,,,
Forecast Bias Correction: A Second Order Method,"Sean Crowell, S Lakshmivarahan",2010/11/5,arXiv preprint arXiv:1011.1508,,,,The difference between a model forecast and actual observations is called forecast bias. This bias is due to either incomplete model assumptions and/or poorly known parameter values and initial/boundary conditions. In this paper we discuss a method for estimating corrections to parameters and initial conditions that would account for the forecast bias. A set of simple experiments with the logistic ordinary differential equation is performed using an iterative version of a first order version of our method to compare with the second order version of the method.,0,"Forecast Bias Correction: A Second Order Method
S Crowell, S Lakshmivarahan - arXiv preprint arXiv:1011.1508, 2010
Related articles All 7 versions",{},,,,,
Forward sensitivity approach to dynamic data assimilation,"S Lakshmivarahan, John M Lewis",2010/1/1,Advances in Meteorology,2010,,Hindawi,"The least squares fit of observations with known error covariance to a strong-constraint dynamical model has been developed through use of the time evolution of sensitivity functions—the derivatives of model output with respect to the elements of control (initial conditions, boundary conditions, and physical/empirical parameters). Model error is assumed to stem from incorrect specification of the control elements. The optimal corrections to control are found through solution to an inverse problem. Duality between this method and the standard 4D-Var assimilation using adjoint equations has been proved. The paper ends with an illustrative example based on a simplified version of turbulent heat transfer at the sea/air interface.",28,"Forward sensitivity approach to dynamic data assimilation
S Lakshmivarahan, JM Lewis - Advances in Meteorology, 2010
Cited by 28 Related articles All 10 versions",{},,,,,
On the relation between energy conserving low-order models and Hamiltonian systems,"Yunheng Wang, S Lakshmivarahan",2009/12/15,"Nonlinear Analysis: Theory, Methods & Applications",71,12,Pergamon,"In this paper we examine the relation between the energy conserving finite dimensional or low-order models obtained by the application of the Galerkin projection methods to infinite dimensional model, and the class of finite dimensional non-canonical Hamiltonian systems with quadratic Hamiltonian functions and structure matrix whose elements are linear function of the state. We also examine the conditions for the conservation of the phase volume.",5,"On the relation between energy conserving low-order models and Hamiltonian systems
Y Wang, S Lakshmivarahan - Nonlinear Analysis: Theory, Methods & Applications, 2009
Cited by 5 Related articles All 2 versions",{},e351-e358,,,,
Analyzing Cost of Debt and Credit Spreads Using a Two Factor Model with Multiple Default Thresholds and Varying Covenant Protection,"S Lakshmivarahan, Shengguang Qian, Duane Stock",2009/6/16,,,,,"The cost of debt capital for corporations depends on credit spreads. In this study, we will analyze the shape of credit spread term structures. The shape of credit spreads depends upon the shape of first passage default. Importantly, our work is the first to use a two factor model and also allow separation of (1) default probability due to breach of barrier versus (2) default probability due to assets being less than face value at maturity. We note that in some cases, first passage default has a hump but not in others. It is useful to see when and how first passage default humps may contribute to a humped credit spread. The impact of recently popular weak covenants is shown to play a major role in the shape of credit spreads. The implications of our study are important to such topics as measuring the riskiness of the banking system dependent upon credit spread slopes.",0,"Analyzing Cost of Debt and Credit Spreads Using a Two Factor Model with Multiple Default Thresholds and Varying Covenant Protection
S Lakshmivarahan, S Qian, D Stock - 2009
Related articles All 9 versions",{},,,,,
Ensemble kalman filter,"S Lakshmivarahan, David J Stensrud",2009/5/19,IEEE Control Systems Magazine,29,3,IEEE,"Meteorological models are used to predict the weather, study atmospheric processes, and provide input to decision makers on the consequences of increased greenhouse gas emissions to the Earth's climate. Predictions of future atmospheric states are accomplished as an initial value or marching problem, where the initial atmospheric state is specified and the variables are advanced in time using numerical techniques. The challenge of data assimilation in meteorology is to estimate, based on a set of limited observations of varying types, the complete three-dimensional atmospheric state at a given time to provide an initial value for a meteorological model.",33,"Ensemble kalman filter
S Lakshmivarahan, DJ Stensrud - IEEE Control Systems Magazine, 2009
Cited by 33 Related articles All 5 versions",{},34-46,,,,
On the number and the distribution of the Nash equilibria in supermodular games and their impact on the tipping set,"Sudarshan K Dhall, Sivaramakrishnan Lakshmivarahan, Pramode Verma",2009/5/13,,,,IEEE,"In this paper we analyze a class of n-person supermodular games that arise in the context of interdependent security analysis. More specifically, we quantify the number and the distribution of Nash equilibria in pure strategies and their impact on the tipping set.",8,"On the number and the distribution of the Nash equilibria in supermodular games and their impact on the tipping set
SK Dhall, S Lakshmivarahan, P Verma - 2009 International Conference on Game Theory for …, 2009
Cited by 8 Related articles All 6 versions",{},691-696,,2009 International Conference on Game Theory for Networks,,
"The Microeconomics of Cost of Debt Capital, Total Spread, Credit Spread, and Call Feature Spread for Bonds with Default Risk","Shengguang Qian, S Lakshmivarahan, Duane Stock",2009/3/28,,,,,"Both structural and reduced form models have been used to model and explain credit spreads of corporate debt. Structural models have been shown by Schaefer and Strebulaev (2008) to be especially useful for hedging strategies. A major shortcoming of previous structural models is that they ignore call features. Of course, numerous empirical studies find that call features can have a major impact on credit spreads and the required yield at issuance. We develop a structural model which includes a call feature and then answer many unanswered questions by computing the dollar value of call options at issuance and analyzing the complex simultaneous impact of term structure shape upon both credit risk and option value. As one finding among many, we find that call option value (at issuance) declines as credit quality declines. This is in contrast to previous studies that suggest the opposite relation. One application of our research is improved hedging of corporate debt positions.",0,"The Microeconomics of Cost of Debt Capital, Total Spread, Credit Spread, and Call Feature Spread for Bonds with Default Risk
S Qian, S Lakshmivarahan, D Stock - 2009
All 3 versions",{},,,,,
Systematic Error Detection in Dynamical Models: A Framework,S Lakshmivarahan,2009/1/12,Eighth Conference on Coastal Atmospheric and Oceanic Prediction and Processes,,,,"It is the rule rather than the exception that operational weather prediction models exhibit systematic error. Over the Gulf of Mexico, the NCEP/EMC operational model has been plagued with systematic error in the marine-layer moisture for several decades—a negative bias from the late-1980s to the mid-1990s followed by a positive bias from the mid-1990s to the present. Despite a sustained effort by the research and operational community at NCEP/NHC, the biased forecast remains. The symptoms of the bias forecast can be ameliorated to a certain extent, ie, from knowledge of the bias, the data assimilation scheme can empirically alter the analysis. Clearly, it is preferable to identify and remove the source of the error. We have built a framework that searches for the source (s) of systematic error. We apply our methodology to the cool season weather regime that is linked to the systematic errors mentioned above—return flow over the Gulf where the consensus of opinion indicates that erroneous turbulent moisture/heat flux is the principal culprit. Rather than using the general operational model, a primitive equation model with a variety of parameterizations, we will use the mixed layer model that has been found to be appropriate for the generation of the convective boundary layer that forms during the outbound phase of return flow. The data we use were collected during the Gulf of Mexico Experiment (GUFMEX) in 1988. These data provide an exceptional depiction of the air mass transformation that took place as the air moved over the coastal waters toward the Loop Current in mid-Gulf. Our framework follows: Let denote the state of a dynamical …",0,"Systematic Error Detection in Dynamical Models: A Framework
S Lakshmivarahan - Eighth Conference on Coastal Atmospheric and …, 2009",{},,,,,
Analyzing Credit Spreads Using a Two Factor Model with Multiple Default Thresholds and Varying Covenant Protection,"S Lakshmivarahan, Shengguang Qian, Duane Stock",2008/10/19,,,,,"The credit crisis beginning in 2007 has clearly made analysis of credit spreads a very important topic. We analyze the shape of credit spread term structures paying special attention to the humps that have been observed by a number of researchers. The shape of credit spreads depends upon the shape of first passage default. Importantly, our work allows separation of default probability due to breach of barrier versus default probability due to assets being less than face value at maturity. It is very useful to see when and how first passage default humps contribute to a humped credit spread. The impact of recently popular weak covenants (covenant lite) is shown to play a major role the shape of credit spreads. The implications of our study are very important to such major topics as measuring the riskiness of the banking system dependent upon credit spread slopes.",0,"Analyzing Credit Spreads Using a Two Factor Model with Multiple Default Thresholds and Varying Covenant Protection
S Lakshmivarahan, S Qian, D Stock - 2008
Related articles",{},,,,,
Finding Sources of Bias Error in Forecast Models: A Framework,"S Lakshmivarahan, JM Lewis",2008/10,,,,,"A mathematical method has been developed to identify the sources of bias error in dynamical systems that can be represented by a set of coupled ordinary differential equations. The basic tenet is that the forecast bias can be represented by a first-order Taylor series in the elements of the control vector—expressed in the form of sensitivity of model output to the initial condition and sensitivity of output to the parameters. Problem solution rests on a least squares formulation that accommodates over-determined/under-determined systems, ie, systems where the number of observations is greater than/less than the number of unknown elements of the control vector. A general framework is constructed and applied to the Lagrangian mixedlayer model that is applicable to the cold-air outflow phase of return flow over the Gulf of Mexico. Observations for a particular return-flow case are used to establish the idealized control vector and forecast. Bias is then added to this control vector and numerical experiments are executed to test the viability of the methodology. Principal results of the experiments are:(1) in all experiments, the bias correction is of the correct sign and the magnitude is close to the ideal,(2) the accuracy of the bias estimates improve with iteration, and (3) in the rank deficient systems, regularization leads to meaningful solutions.",0,"Finding Sources of Bias Error in Forecast Models: A Framework
S Lakshmivarahan, JM Lewis - 2008
Related articles",{},,,,,
Symposium 23. Toward ecological forecasting,"Yiqi Luo, James Clark, Tom Hobbs, S Lakshmivarahan, Andrew Latimer, Kiona Ogle, David Schimel, Xuhui Zhou",2008/10/1,Bulletin of the Ecological Society of America,89,4,Ecological Society of America,"Background
The symposium was organized for at least two reasons: the increase in data available from measurement networks, and the societal need to develop a capability for forecasting future changes in ecosystem services.",3,"Symposium 23. Toward ecological forecasting
Y Luo, J Clark, T Hobbs, S Lakshmivarahan, A Latimer… - Bulletin of the Ecological Society of America, 2008
Cited by 3 Related articles All 2 versions","{'2011': 1, '2012': 1, '2013': 1}",467-474,,,,
On the structure of the energy conserving low-order models and their relation to Volterra gyrostat,"S Lakshmivarahan, Yunheng Wang",2008/9/1,Nonlinear Analysis: Real World Applications,9,4,Pergamon,"Low-order models (LOM) described by a system of nth-order (nonlinear) ordinary differential equations (ODE) of the type (where x is a column vector, A(i) is a n×n matrix, Bi is a row vector, ci is a scalar and T denotes the transpose) routinely arise when we apply the Galerkin type projection techniques to the quasi-geostrophic potential vorticity equation (with forcing, dissipation and topography), Rayleigh–Bernard convection and Burgers’ equation, to mention a few. To our knowledge there is no systematic method for testing if a given LOM conserves energy. Our goal in this paper is twofold. First, we derive a set of sufficient conditions on the structural parameters (A(i), Bi and ci for i=1,2,…,n) for conserving energy. It is well known in Mathematical Physics that the Volterra gyrostat and many of its special cases including the Euler gyroscope represent a prototype of energy conserving dynamical systems. It turns out that …",11,"On the structure of the energy conserving low-order models and their relation to Volterra gyrostat
S Lakshmivarahan, Y Wang - Nonlinear Analysis: Real World Applications, 2008
Cited by 11 Related articles All 5 versions",{},1573-1589,,,,
Sasaki’s pivotal contribution: Calculus of variations applied to weather map analysis,"John Lewis, S Lakshmivarahan",2008/9/1,Monthly weather review,136,9,American Meteorological Society,"Yoshikazu Sasaki developed a variational method of data assimilation, a cornerstone of modern-day analysis and prediction in meteorology. Fundamentally, he formulated data assimilation as a constrained minimization problem with equality constraints. The generation of this idea is tracked by analyzing his education and research at the University of Tokyo in the immediate post–World War II (WWII) period. Despite austere circumstances—including limited financial support for education, poor living conditions, and a lack of educational resources—Sasaki was highly motivated and overcame these obstacles on his path to developing this innovative method of weather map analysis. The stages of his intellectual development are followed where information comes from access to his early publications, oral histories, and letters of reminiscence.",20,"Sasaki’s pivotal contribution: Calculus of variations applied to weather map analysis
J Lewis, S Lakshmivarahan - Monthly weather review, 2008
Cited by 20 Related articles All 9 versions",{},3553-3567,,,,
SYMP 23-2: Techniques of data assimilation and forecasting,S Lakshmivarahan,2008/8/8,The 93rd ESA Annual Meeting,,,,"Background/Question/Methods: In this talk entitled"" Dynamic data assimilation: an overview"", we will provide a broad overview of tools and techniques relating to assimilating noisy data into models of interest in ecological studies. To get a better appreciation of the techniques, it is useful to divide the problems along the dimensions of models being static or dynamic and deterministic or stochastic [1].
Results/Conclusions: We will also discuss computational issues related data assimilation.[1] JM Lewis, S. Lakshmivarahan and SK Dhall (2006) Dynamic Data Assimilation: a least squares approach, Cambridge University Press, 654 pages.",0,"SYMP 23-2: Techniques of data assimilation and forecasting
S Lakshmivarahan - The 93rd ESA Annual Meeting, 2008
All 2 versions",{},,,,,
COS 35-5: Parameter estimation and uncertainty analysis of forest carbon dynamics: Ensemble Kalman filter method,"Chao Gao, Han Wang, S Lakshmivarahan, Ensheng Weng, Yanfen Zhang, Yiqi Luo",2008/8/5,The 93rd ESA Annual Meeting,,,,"Ecosystem carbon (C) sequestration plays a critical role in ecosystem responses to elevated atmospheric CO 2. To estimate the C sequestration precisely and efficiently, Ensemble Kalman Filter (EnKF) combining a series of measurements with a terrestrial ecosystem model was used in this study to optimize parameters and quantify the uncertainties with eight types of measurements. The data included plant biomass, foliage and root biomass, woody biomass, litterfall, microbial biomass, forest floor carbon, soil carbon, and soil respiration at Duke Forest FACE site over a 9-year (1996-2004) period.",0,"COS 35-5: Parameter estimation and uncertainty analysis of forest carbon dynamics: Ensemble Kalman filter method
C Gao, H Wang, S Lakshmivarahan, E Weng, Y Zhang… - The 93rd ESA Annual Meeting, 2008
All 2 versions",{},,,,,
Lower-grade municipal bond price risk and sensitivity of price volatility to level of yields,"S Lakshmivarahan, Duane R Stock",2008/4/1,Journal of Risk Management in Financial Institutions,1,3,Henry Stewart Publications,"Price volatility (variance) is a common measure of bond risk. Previous analysis has shown price volatility to depend upon duration and the volatility of interest rates. A more complete and accurate second-order model shows that price volatility also depends on predicted changes in yield and convexity. Municipal bond price volatility estimated by the more accurate second-order model can be much larger (200 per cent) than estimated first-order volatility. Analysts using only a first-order model can make large errors. Additionally, the effect of yield level on price volatility can be very different in first and second-order models.",0,"Lower-grade municipal bond price risk and sensitivity of price volatility to level of yields
S Lakshmivarahan, DR Stock - Journal of Risk Management in Financial Institutions, 2008
Related articles All 7 versions",{},320-336,,,,
On the relation between energy-conserving low-order models and a system of coupled generalized Volterra gyrostats with nonlinear feedback,"S Lakshmivarahan, Y Wang",2008/2,Journal of Nonlinear Science,18,,Springer-Verlag,"In this paper we first prove the equivalence between the system of coupled Volterra gyrostats and a special class of energy-conserving low-order models. We then extend the definition of the classical Volterra gyrostat to include nonlinear feedback, resulting in a class of generalized Volterra gyrostats. Using this new class of gyrostats as a basic building block, we present an algorithm for converting a general class of energy-conserving low-order models that routinely arise in fluid dynamics, turbulence, and atmospheric sciences into a system of coupled generalized Volterra gyrostats with nonlinear feedback.",15,"On the relation between energy-conserving low-order models and a system of coupled generalized Volterra gyrostats with nonlinear feedback
S Lakshmivarahan, Y Wang - Journal of Nonlinear Science, 2008
Cited by 15 Related articles All 10 versions",{},75-97,,,,
The Distribution of the Value of the Firm and Stochastic Interest Rates: An Application to Structural Models of Default Risk,"S Lakshmivarahan, Shengguang Qian, Duane Stock",2007/12/2,,,,,"The time evolution of the value of a firm is commonly modeled by the linear, scalar stochastic differential equation (SDE) of the type t tt v t v dV rVdt t VdW where the coefficient tr in the drift term denotes the (exogenous) stochastic short term interest rate and v t
 is the given volatility of the value process. In turn, the dynamics of the short term interest rate, t dr, are modeled by a scalar SDE. We solve this pair of equations for a variety of commonly used interest rate processes which in turn provide explicit expressions for t V. We show that t V exhibits a lognormal distribution when tr is a normal/Gaussian process defined by a common variety of narrow sense linear SDEs. While we also provide explicit solutions for t V when tr evolves according to general linear and some well known nonlinear SDEs, the distribution of t V is not explicitly known in many of these other cases. The results can be applied to many financial situations where modeling value of the firm is critical. For example, there is a large literature concerning structural models of yields on corporate debt. Some structural models assume a constant rate of interest while others utilize, for example, interest rate models consistent with the popular Vasicek (1977) model. Our solutions for the distribution of t V readily permit detailed analysis of the term structure of default risky yields and credit spreads. More specifically, we analyze how the probability of default varies with maturity and, in turn, analyze the complex interactions of maturity, drift in t V, and variance of t V upon default risky yields and credit spreads.",0,"The Distribution of the Value of the Firm and Stochastic Interest Rates: An Application to Structural Models of Default Risk
S Lakshmivarahan, S Qian, D Stock - 2007
Related articles",{},,,,,
"Probability and Random Processes: John Wiley & Sons, Inc., Hoboken, NJ, 2006, ISBN 0-471-70354-0, 707 pp.","V Krishnan, S Lakshmivarahan",2007/11/23,,40,2,Taylor & Francis Group,"There are quite a number of text books and monographs on the topics of probability theory, random processes and their applications to science and engineering, ranging from very basic to rather advanced levels. Given this fact, one naturally wonders what might be novel or different about another book on these subjects. Because of its significant difference in scope and coverage, Probability and Random Processes by V. Krishnan is a new and welcome addition to the literature. It is different in scope in that it is a one-stop reference guide that would serve as the guiding light for graduate students, faculty, practicing engineers and scientists from quite a variety of disciplines. It is different in coverage in that it incorporates topics that are usually covered in at least two levels:(i) the senior/first year graduate level (Chapters 1–15); and (ii) the second level course on more advanced topics (Chapters 16–23). As a reference …",6,"Probability and Random Processes: John Wiley & Sons, Inc., Hoboken, NJ, 2006, ISBN 0-471-70354-0, 707 pp.
V Krishnan, S Lakshmivarahan - 2007
Cited by 6 Related articles",{},160-160,,,IIE Transactions,
Less risk for strong returns in bond portfolios,"S Lakshmivarahan, Duane R Stock",2007/9/30,The Journal of Fixed Income,17,2,Institutional Investor Journals Umbrella,"Bond portfolio managers obviously need good measures of the risk of their portfolios. The level of yields affects the variance of bond returns in a complex way because duration decreases (increases) as yields rise (fall). On the other hand, the volatility of yields frequently increases (decreases) as yields rise (fall). An additional complicating factor, especially important for longer maturities, is the negative relation of convexity to the level of yields. We show variance may increase or decrease with level of yield depending on the model used, bond maturity, and time varying conditional variance of yields. It is noteworthy that second order relationships can give rise to results that are dramatically different from first order. It is very useful and appealing that shorter maturity bond risk may decline with lower levels of yield and strong returns.
TOPICS: Fixed income and structured finance, fixed-income portfolio management, VAR …",1,"Less risk for strong returns in bond portfolios
S Lakshmivarahan, DR Stock - The Journal of Fixed Income, 2007
Cited by 1 Related articles All 3 versions",{'2008': 1},46-62,,,,
Project craft: A real-time delivery system for nexrad level ii data via the internet,"Kevin E Kelleher, Kelvin K Droegemeier, Jason J Levit, Carl Sinclair, David E Jahn, Scott D Hill, Lora Mueller, Grant Qualley, Tim D Crum, Steven D Smith, Stephen A Del Greco, S Lakshmivarahan, Linda Miller, Mohan Ramamurthy, Ben Domenico, David W Fulker",2007/7,Bulletin of the American Meteorological Society,88,7,American Meteorological Society,"The NOAA NWS announced at the annual meeting of the American Meteorological Society in February 2003 its intent to create an Internet-based pseudo-operational system for delivering Weather Surveillance Radar-1988 Doppler (WSR-88D) Level II data. In April 2004, the NWS deployed the Next-Generation Weather Radar (NEXRAD) level II central collection functionality and set up a framework for distributing these data. The NWS action was the direct result of a successful joint government, university, and private sector development and test effort called the Collaborative Radar Acquisition Field Test (CRAFT) project. Project CRAFT was a multi-institutional effort among the Center for Analysis and Prediction of Storms, the University Corporation for Atmospheric Research, the University of Washington, and the three NOAA organizations, National Severe Storms Laboratory, WSR-88D Radar Operations Center …",58,"Project craft: A real-time delivery system for nexrad level ii data via the internet
KE Kelleher, KK Droegemeier, JJ Levit, C Sinclair… - Bulletin of the American Meteorological Society, 2007
Cited by 58 Related articles All 7 versions","{'2008': 9, '2009': 2, '2010': 4, '2011': 4, '2012': 7, '2013': 3, '2014': 3, '2015': 3, '2016': 3, '2017': 2, '2018': 4, '2019': 3, '2020': 5, '2021': 2, '2022': 2}",1045-1058,,,,
