Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
Separation of Cd (II) from its aqueous solution using environmentally benign vegetable oil as liquid membrane,"Kamal Kumar Bhatluri, Mriganka Sekhar Manna, Prabirkumar Saha, Aloke Kumar Ghoshal",2013/9,Asia‐Pacific Journal of Chemical Engineering,8,5,,"This work is intended for extraction and recovery of toxic heavy metal components, viz. Cadmium (Cd), from the industrial wastewater using liquid membrane (LM)‐based separation technique. Exploring environmental benignity in the solvent (LM) is the main aim of this work. Vegetable oils are potential candidates toward that. Presence of carrier component in solvent often augments the solute transport mechanism. Although N,N‐dimethyloctylamine (DMOA) is a very good carrier to show excellent extraction, the recovery is poor possibly because of high stability of complex between Cd(II) and DMOA in the membrane phase. The performance of LM‐based separation process is affected by various physical and chemical parameters viz. pH, concentration, stirring rate, temperature, carrier concentration. An optimum operating condition has been identified that would yield the most efficient transport of solute. © 2013 …",10,"Separation of Cd (II) from its aqueous solution using environmentally benign vegetable oil as liquid membrane
KK Bhatluri, MS Manna, P Saha, AK Ghoshal - Asia‐Pacific Journal of Chemical Engineering, 2013
Cited by 10 Related articles All 2 versions","{'2014': 1, '2015': 1, '2016': 1, '2017': 1, '2018': 1, '2019': 1, '2020': 1, '2021': 2, '2022': 1}",775-785,,
Measurement and modeling of adsorption of lower hydrocarbons on activated carbon,"Gouri Shankar Cheripally, Ashok Mannava, Gaurav Kumar, Rakeshroshan Gupta, Prabirkumar Saha, Bishnupada Mandal, Ramgopal Uppaluri, Sasidhar Gumma, Aloke Kumar Ghoshal",2013/6/13,Journal of Chemical & Engineering Data,58,6,American Chemical Society,"This work reports adsorption isotherms for C1 to C6 hydrocarbons on activated carbon at three different temperatures (293 K, 318 K, and 358 K) over a wide range of pressure (0 bar to 100 bar). The isotherms were measured using a standard gravimetric method. The experimental data were correlated and compared using Toth, modified virial, and potential theory models. On the basis of the adsorption potential, characteristic curves were also generated for methane, ethane, propane, isobutane, n-pentane, and n-hexane on activated carbon over broad ranges of pressure and temperatures. The micropore volume of the activated carbon predicted from potential theory was in good agreement with those obtained using a N2 isotherm measured at 77 K. The enthalpy of adsorption at zero loading was found to increase linearly with the carbon number.",20,"Measurement and modeling of adsorption of lower hydrocarbons on activated carbon
GS Cheripally, A Mannava, G Kumar, R Gupta, P Saha… - Journal of Chemical & Engineering Data, 2013
Cited by 20 Related articles All 3 versions",{},1606-1612,,
A comparative study of CMOS and carbon nanotube field effect transistor based inverter at 32 nm technology node,"P Saha, A Jain, SK Sarkar",2013/1/1,Asian Journal of Chemistry,25,Supplementary Issue,Asian Journal of Chemistry,"Carbon nanotube field effect transistor is emerging as new promising device for future nanotechnology solutions. It utilizes semiconducting carbon nanotube as its channel whose quasi 1-D structure provides high mobility for near ballistic transport and better electrostatic control. In this paper we have designed a basic inverter circuit using carbon nanotube field effect transistor. The key performances of inverter such as noise margin, average power and delay time are analyzed and compared with CMOS inverter. Both the inverters are simulated in HSPICE platform. The simulated results of carbon nanotube field effect transistor inverter shows improved performance in terms of noise margin, power and delay time than CMOS inverter.",3,"A comparative study of CMOS and carbon nanotube field effect transistor based inverter at 32 nm technology node
P Saha, A Jain, SK Sarkar - Asian Journal of Chemistry, 2013
Cited by 3 Related articles",{},S424,,
Transportation of catechin (±C) using physiologically benign vegetable oil as liquid membrane,"Mriganka Sekhar Manna, Kamal Kumar Bhatluri, Prabirkumar Saha, Aloke Kumar Ghoshal",2012/11/21,Industrial & engineering chemistry research,51,46,American Chemical Society,"This paper presents an experimental study on the simultaneous extraction and recovery of catechin through bulk liquid membrane (BLM). Various environmentally benign solvents, namely vegetable oils, have been used as liquid membrane along with various transport-enhancing carrier agents to identify the best solute–carrier combination that would yield optimum performance of the BLM. Tributyl phosphate (TBP) (carrier) in sunflower oil (SFO) (solvent) is found to be the best among the tested combinations. Initially two-phase (feed–membrane) equilibrium studies have been carried out in order to study the effects of operating conditions, namely pH, temperature, initial feed concentration, and carrier concentration, on the equilibrium distribution. Based on these results, simultaneous extraction and recovery of the catechin have been carried out in a BLM type liquid membrane configuration using ethanol as the …",24,"Transportation of catechin (±C) using physiologically benign vegetable oil as liquid membrane
MS Manna, KK Bhatluri, P Saha, AK Ghoshal - Industrial & engineering chemistry research, 2012
Cited by 24 Related articles All 4 versions","{'2013': 1, '2014': 2, '2015': 2, '2016': 1, '2017': 4, '2018': 5, '2019': 2, '2020': 4, '2021': 2, '2022': 1}",15207-15216,,
Modeling and Control of a Complex Interacting Process,"Subhajit Patra, Prabirkumar Saha",2012,,403,,Trans Tech Publications Ltd,"In this paper, two efficient control algorithms are discussed viz., Linear Quadratic Regulator (LQR) and Dynamic Matrix Controller (DMC) and their applicability has been demonstrated through case study with a complex interacting process viz., a laboratory based four tank liquid storage system. The process has Two Input Two Output (TITO) structure and is available for experimental study. A mathematical model of the process has been developed using first principles. Model parameters have been estimated through the experimentation results. The performance of the controllers (LQR and DMC) has been compared to that of industrially more accepted PID controller.",1,"Modeling and Control of a Complex Interacting Process
S Patra, P Saha - Advanced Materials Research, 2012
Cited by 1 Related articles",{'2012': 1},3758-3762,,Advanced Materials Research
Real Time Model Predictive Control of a Four Tank Interacting Storage System,"B Rajasekhara Reddy, Prabirkumar Saha",2012/1/1,,31,,Elsevier,"In this paper, two Model Predictive Control algorithms viz., Linear and Nonlinear Dynamic Matrix controller (DMC) have been implemented on a four tank interacting liquid storage system. The process is a Two Input Two Output (TITO) nonlinear system and is equipped with data acquisition facility. A mechanisic dynamic model of the process has been developed based on the mass balance equations and model parameters are estimated using experimental data. The performance of the predictive controllers (DMC and NLDMC) have been evaluated through both simulation and experimental studies.",1,"Real Time Model Predictive Control of a Four Tank Interacting Storage System
BR Reddy, P Saha - Computer Aided Chemical Engineering, 2012
Cited by 1 Related articles All 2 versions",{'2016': 1},335-339,Computer Aided Chemical Engineering,
Kinetics of phenol degradation and growth of predominant Pseudomonas species in a simple batch stirred tank reactor,"P Saravanan, K Pakshirajan, P Saha",2011/12,Bulgarian Chemical Communications,43,4,,"A culture predominantly consisting of the Pseudomonas species was isolated from a sewage treatment plant and was utilized to study phenol degradation and culture growth kinetics. The culture was capable of completely degrading phenol at a maximum initial concentration up to 400 mg/l in a simple batch stirred tank reactor. The maximum time taken to degrade phenol at this concentration level was 194 h. Kinetics of phenol degradation at various initial concentrations in the media largely exhibited zero order rate with a maximum value of the coefficient of determination (R2)= 0.99 at 400 mg/l of phenol. Deterministic models such as those of Haldane, Han-Levenspiel, Luong, Edward, Yano and Koga, Tseng and Wayman were employed to fit the data of substrate inhibition on the kinetics of culture growth and phenol degradation. All models tested, except the Tseng and Wayman model fitted well the experimental data.",10,"Kinetics of phenol degradation and growth of predominant Pseudomonas species in a simple batch stirred tank reactor
P Saravanan, K Pakshirajan, P Saha - Bulgarian Chemical Communications, 2011
Cited by 10 Related articles All 7 versions",{},502-509,,
Biodegradation kinetics of phenol by predominantly Pseudomonas sp. in a batch shake flask,"Pichiah Saravanan, Kannan Pakshirajan, Prabirkumar Saha",2011/12/1,Desalination and Water Treatment,36,1-3,Taylor & Francis Group,"Biodegradation of phenol by predominantly Pseudomonas species isolated from a sewage wastewater treatment plant was investigated in batch shake flasks. Phenol with a lower concentration of 100 mg/L was degraded in 10 h and a highest of 800 mg/L in 69 h. The phenol degradation rate was observed to vary largely with the concentrations of phenol used and was found to be less than 10 mg/L/h at both the extremes of the initial concentrations. The degradation kinetics was found follow the three half-order kinetic model with the regression greater than 0.97. The specific substrate utilization rates of the culture at various initial phenol concentrations were fitted to modified substrate inhibition kinetic models of Edward, Haldane, Luong, Han–Levenspiel and Yano–Koga. Among these models the Edward was found to fit the data well with a minimum Root Mean Square error value of 0.0039.",16,"Biodegradation kinetics of phenol by predominantly Pseudomonas sp. in a batch shake flask
P Saravanan, K Pakshirajan, P Saha - Desalination and Water Treatment, 2011
Cited by 16 Related articles All 11 versions",{},99-104,,
Studies on growth kinetics of predominantly Pseudomonas sp. in internal loop airlift bioreactor using phenol and m-cresol,"Pichiah Saravanan, Kannan Pakshirajan, Prabirkumar Saha",2011/7,Korean Journal of Chemical Engineering,28,,Springer US,"Growth profile of predominantly Pseudomonas species was studied using wastewater containing phenol and m-cresol, as single and multi component systems in an internal loop airlift bioreactor (ILALR). The species utilized for the study was isolated from a wastewater treatment plant. The reactor was operated at both lower and higher hydraulic retention time (HRTs), 4.1 h and 8.3 h, respectively. The inlet phenol and concentration was varied between 100 and 800 mg/L with 800 mg/L as shock loading concentration for an HRT of 8.3 h. For 4.1 h HRT, the concentration was varied 100 and 500 mg/L using 500 mg/L as a shock loading concentration. The study showed complete degradation of both phenol and m-cresol, when present individually at an HRT of 8.3 h with an enriched biomass output. The specific growth rate of the culture at various phenol and m-cresol concentrations was fitted to a Monod …",5,"Studies on growth kinetics of predominantly Pseudomonas sp. in internal loop airlift bioreactor using phenol and m-cresol
P Saravanan, K Pakshirajan, P Saha - Korean Journal of Chemical Engineering, 2011
Cited by 5 Related articles All 9 versions",{},1550-1555,,
Separation of lignosulfonate from its aqueous solution using emulsion liquid membrane,"Kabita Chakrabarty, Prabirkumar Saha, Aloke Kumar Ghoshal",2010/9/15,Journal of Membrane Science,360,1-2,Elsevier,"This paper presents an experimental study on the carrier-mediated emulsion liquid membrane (ELM) separation of lignosulfonate (LS) from acidic aqueous solution. The ELM contains trioctylamine (TOA) as carrier, dichloroethane as solvent and polyethylene glycol (PEG) as surfactant. The fundamental parameters (viz. surfactant concentration, phase ratio, strip phase concentration, carrier concentration, treat ratio) affecting the separation of LS through the ELM were investigated to select the best combination of process parameters. The maximum separation of LS (about 91%) was achieved at a PEG concentration of 5% (w/v), strip phase concentration of 0.4M NaOH and a phase ratio of 1:1. Extraction of LS increases with increase of strip phase and carrier concentration. The LS concentration in the feed has no considerable effect on the extraction process up to 378mgl−1. Beyond this limiting concentration the …",58,"Separation of lignosulfonate from its aqueous solution using emulsion liquid membrane
K Chakrabarty, P Saha, AK Ghoshal - Journal of Membrane Science, 2010
Cited by 58 Related articles All 5 versions","{'2011': 3, '2012': 5, '2013': 7, '2014': 6, '2015': 7, '2016': 3, '2017': 2, '2018': 8, '2019': 2, '2020': 7, '2021': 4, '2022': 1, '2023': 3}",34-39,,
Separation of Hg (II) from its aqueous solution using bulk liquid membrane,"Ameer Basha Shaik, Kabita Chakrabarty, Prabirkumar Saha, Aloke Kumar Ghoshal",2010/3/17,Industrial & Engineering Chemistry Research,49,6,American Chemical Society,"The focus of this paper is the separation of Hg(II) ions in anionic form from its aqueous solution through bulk liquid membrane (BLM). The efficiency of transport and extraction of Hg (II) through BLM was probed under various experimental criteria such as choice of solvent, operating conditions, and configuration of the system that would render optimal functioning of the BLM. The solvent−carrier combination, dichloroethane−trioctylamine (TOA), shows promising result in the extraction of Hg(II). Investigation was carried out at various process conditions, such as different combinations of pH, initial feed and strip phase concentrations and carrier concentration, and their effects on the equilibrium distribution as well as on the transport of Hg(II) were studied. It was observed that mercury transport phenomenon highly dependent on feed phase pH. Increase of carrier concentration and strip phase concentration increases the …",15,"Separation of Hg (II) from its aqueous solution using bulk liquid membrane
AB Shaik, K Chakrabarty, P Saha, AK Ghoshal - Industrial & Engineering Chemistry Research, 2010
Cited by 15 Related articles All 5 versions",{},2889-2894,,
Separation of mercury from its aqueous solution through supported liquid membrane using environmentally benign diluent,"Kabita Chakrabarty, Prabirkumar Saha, Aloke Kumar Ghoshal",2010/3/15,Journal of Membrane Science,350,1-2,Elsevier,"This paper presents an experimental investigation on the facilitated transport of mercury through flat sheet supported liquid membrane (SLM) containing trioctylamine (TOA) as carrier and coconut oil, an environmentally benign solvent, as diluent. Co-transport mode of mercury transfer was studied using aqueous solution of NaOH as the strip phase. Various polymeric supports were tested in order to select the best SLM configuration. The SLM combination “PVDF–TOA–coconut oil” shows encouraging results and it was stable for a period of 98h. The fundamental parameters, such as feed phase pH and concentration, strip phase concentration, carrier concentration, etc., affecting the transfer of mercury through the SLM were studied. It was observed that the extraction of mercury increases with increase in NaOH concentration in the strip phase, and becomes steady at a 0.3M NaOH. The extraction process depends on …",91,"Separation of mercury from its aqueous solution through supported liquid membrane using environmentally benign diluent
K Chakrabarty, P Saha, AK Ghoshal - Journal of Membrane Science, 2010
Cited by 91 Related articles All 5 versions","{'2010': 1, '2011': 9, '2012': 3, '2013': 3, '2014': 5, '2015': 13, '2016': 7, '2017': 6, '2018': 9, '2019': 10, '2020': 5, '2021': 9, '2022': 6, '2023': 4}",395-401,,
Output feedback mixed H 2/H∞ model predictive control: Observer based approach,"Aadaleesan Pakkirisamy, Prabirkumar Saha",2010,Proceedings of Annual Meeting of American Institute of Chemical Engineers,,,,"The issue of robustness in Model Predictive Control (MPC) is of prime importance since it was developed. Although there are different schemes introduced by the control community to address this issue, it still remains a challenge in the face of control engineers. In the present work, a newer kind of robust observer based MPC has been developed, by extending the Nash game based mixed H 2/H∞ MPC, introduced earlier by the same authors (Aadaleesan and Saha, 2008b), for state feedback case.
It has been shown that the overall closed-loop stability cannot be ensured for systems with individually stable observer and controller for constrained systems. To address this issue the immediate solution was given as tube-based MPC design (Mayne et al. 2006). As an alternative approach to deal with such a problem, incorporating the closed-loop robustness to disturbance rejection/model uncertainty is addressed in the present paper, as a mixed H 2/H∞ observer based MPC. Solving a robust control problem in a game theoretic approach is already well known in the control community (Basar and Olsder, 1999) and to achieve both robust performance and robust stability in a single setting is possible with mixed H 2/H∞ control. To get a better advantage of these both in controller design is attempted for the first time in (Aadaleesan and Saha, 2008b) for state feedback case. This is extended in the present work for output feedback case. The resulting control problem reduces to solving simultaneously three coupled Riccati equations, thereby the closed-loop stability is ensured if there exists a stabilizing solution to these coupled Riccati equations. The …",1,"Output feedback mixed H 2/H∞ model predictive control: Observer based approach
A Pakkirisamy, P Saha - Proceedings of Annual Meeting of American Institute of …, 2010
Cited by 1 Related articles",{'2018': 1},,,
Hydrodynamics and batch biodegradation of phenol in an Internal Loop Airlift Reactor,"Pichiah Saravanan, Kannan Pakshirajan, Prabirkumar Saha",2010/1/1,International Journal of Environmental Engineering,2,1-3,Inderscience Publishers,"Determination of Residence Time Distribution (RTD), oxygen volumetric mass transfer coefficient (kLa) and mixing pattern in an Internal Loop Airlift Reactor (ILALR) for both living and nonliving systems have been investigated in this paper. Optimal operating condition is found at a gas flow rate of 2 l min−1. The estimated kLa values for nonliving and living system at 27°C are 0.004 s−1 and 0.017 s−1 respectively. Batch biodegradation of phenol with an initial concentration of 300 mg l−1 by the mixed microbial culture occurs at a very high degradation rate (0.16 mg l−1 h−1).",6,"Hydrodynamics and batch biodegradation of phenol in an Internal Loop Airlift Reactor
P Saravanan, K Pakshirajan, P Saha - International Journal of Environmental Engineering, 2010
Cited by 6 Related articles All 4 versions",{},303-315,,
Simultaneous separation of mercury and lignosulfonate from aqueous solution using supported liquid membrane,"Kabita Chakrabarty, Prabirkumar Saha, Aloke Kumar Ghoshal",2010/1/1,Journal of Membrane Science,346,1,Elsevier,"This paper presents an experimental investigation on facilitated and simultaneous transport of mercury and lignosulfonate (LS) through a flat sheet supported liquid membrane (SLM) having Nylon 6,6 as support, trioctylamine (TOA) as carrier and dichloroethane as solvent. The experiments were performed at various operating conditions such as strip phase concentration, feed pH, carrier concentration and feed concentration to find the best set of parameters that would yield the maximum separation of pure mercury as well as its mixture with LS. The experiments were performed in co-transport mode using NaOH as the strip phase. It was observed that extraction of mercury as well as its mixture increases with increase in concentration of NaOH up to a certain limit 0.1M NaOH in case of pure solution and 0.2M NaOH in case of mixture). Feed phase pH significantly affects the mercury separation process. However …",84,"Simultaneous separation of mercury and lignosulfonate from aqueous solution using supported liquid membrane
K Chakrabarty, P Saha, AK Ghoshal - Journal of Membrane Science, 2010
Cited by 84 Related articles All 5 versions","{'2010': 4, '2011': 10, '2012': 5, '2013': 12, '2014': 6, '2015': 11, '2016': 7, '2017': 7, '2018': 8, '2019': 3, '2020': 4, '2021': 4, '2022': 1, '2023': 2}",37-44,,
Separation of lignosulfonate from its aqueous solution using supported liquid membrane,"Kabita Chakrabarty, Prabirkumar Saha, Aloke Kumar Ghoshal",2009/9/15,Journal of Membrane Science,340,1-2,Elsevier,"This paper presents an experimental and theoretical study on facilitated transport of lignosulfonate (LS) through a flat sheet supported liquid membrane using trioctylamine (TOA) as carrier and dichloroethane as diluent. The studies were carried out with various support materials and operating conditions (viz. carrier concentration, strip phase concentration, salt concentration, etc.) and their effects on the transport of LS. The results were analyzed to identify a suitable combination of support and operating condition that would yield best performance of the supported liquid membrane (SLM) in terms of fast and efficient transport of LS. The stability of the SLM was assessed in terms of loss of liquid from the pores of membrane support. The SLM is found to be stable till 10h. Co-transport mechanism has been adopted in this work by using NaOH as the strip phase. It was observed that extraction of LS is increased with …",41,"Separation of lignosulfonate from its aqueous solution using supported liquid membrane
K Chakrabarty, P Saha, AK Ghoshal - Journal of Membrane Science, 2009
Cited by 41 Related articles All 5 versions",{},84-91,,
Treatment of phenolics containing synthetic wastewater in an internal loop airlift bioreactor (ILALR) using indigenous mixed strain of Pseudomonas sp. under continuous mode of …,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",2009/9/1,Bioresource technology,100,18,Elsevier,"The scope of this study is to evaluate the performance of internal loop airlift bioreactor (ILALR) in treating synthetic wastewater containing phenol and m-cresol, in single and multi component systems. The microbe utilized in the process was an indigenous mixed strain of Pseudomonas sp. isolated from a wastewater treatment plant. The reactor was operated at both lower and higher hydraulic retention times (HRTs) i.e., 4.1 and 8.3h, respectively, by providing an inlet feed flow rate of 5 and 10mL/min. Shock loading experiments were also performed up to a maximum concentration of 800mg/L for phenol at 8.3h HRT and 500mg/L for m-cresol at 4.1h HRT. The study showed complete degradation of both phenol and m-cresol, when they were degraded individually at a HRT of 8.3h. Experiments with both phenol and m-cresol present as mixtures were performed based on the 22 full factorial design of experiments.",39,"Treatment of phenolics containing synthetic wastewater in an internal loop airlift bioreactor (ILALR) using indigenous mixed strain of Pseudomonas sp. under continuous mode of operation
P Saravanan, K Pakshirajan, P Saha - Bioresource technology, 2009
Cited by 39 Related articles All 14 versions",{},4111-4116,,
Degradation of phenol by TiO2-based heterogeneousphotocatalysts in presence of sunlight,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",2009/6/1,Journal of Hydro-environment Research,3,1,Elsevier,"This paper reports the results of a study on the titanium dioxide Anjatox®, which shows very interesting photocatalytic activity. Produced for commercial purposes as a white pigment, its features make it very interesting in the field of heterogeneous photocatalysis. The results obtained with this photocatalyst are compared with the behavior of the well-studied and widely used TiO2 Degussa P-25® under identical conditions. The degradation experiments showed that the photocatalytic efficiency of Anjatox® is comparatively close to that of Degussa P-25®. Both Anjatox® and Degussa P-25® show optimum degradation efficiency at a certain loading rate. The particle crystallite size and the BET surface area of the Anjatox® TiO2 are also compared with Degussa P-25®. Moreover the XRD study showed that TiO2 Anjatox® was more crystalline than the TiO2 Degussa P-25. The particle size histogram of TiO2 Anjatox® was …",52,"Degradation of phenol by TiO2-based heterogeneousphotocatalysts in presence of sunlight
P Saravanan, K Pakshirajan, P Saha - Journal of Hydro-environment Research, 2009
Cited by 52 Related articles All 5 versions","{'2010': 2, '2011': 6, '2012': 10, '2013': 2, '2014': 2, '2015': 5, '2016': 2, '2017': 6, '2018': 5, '2019': 4, '2020': 2, '2021': 3, '2022': 1}",45-50,,
Modeling and simulation of stirred dead end ultrafiltration process using the aspen engineering suite,"Sabuj Das, Prabirkumar Saha, G Pugazhenthi",2009/5/6,Industrial & engineering chemistry research,48,9,American Chemical Society,"Simulation of pressure-driven membrane process has been carried out considering two different types of solute (silica and dextran) and membrane (partially permeable and totally retentive) in a stirred cell using the Aspen Engineering Suite. One solute, silica, exerts negligible osmotic pressure but the other, dextran, offers adequate osmotic pressure. Silica is very susceptible to form a gel layer while dextran has no such tendency. Two types of membrane are considered for this work. One membrane completely separates solute from the solvent (totally retentive membrane) and the other does it partially (partially permeable membrane). The second type of membrane is regarded as highly compact granulated particle layer which has a different range of porosity. So the diffusivity within the membrane layer is referred to as hindered back diffusion. Osmotic pressure model and gel polarization model have been …",5,"Modeling and simulation of stirred dead end ultrafiltration process using the aspen engineering suite
S Das, P Saha, G Pugazhenthi - Industrial & engineering chemistry research, 2009
Cited by 5 Related articles All 4 versions",{},4428-4439,,
Extraction and recovery of lignosulfonate from its aqueous solution using bulk liquid membrane,"Kabita Chakrabarty, K Vamsee Krishna, Prabirkumar Saha, Aloke Kumar Ghoshal",2009/3/20,Journal of Membrane science,330,1-2,Elsevier,"The paper presents an experimental study on the coupled transport of lignosulfonate (LS) through bulk liquid membrane (BLM) and thereby to identify the best set of solvent, operating conditions and mode of transport that would yield optimum performance of the BLM. Trioctylamine (TOA) is used as carrier. Among various solvents, tested for the above purpose, dichloroethane is found to be the best. The effects of operating condition, viz. pH, temperature, and carrier concentration, on the equilibrium distribution of LS are investigated. The effects of temperature, stirring of aqueous and organic phases, stirring speed, carrier concentration, initial feed and strip phase concentration on the separation of LS using BLM are also studied. It is observed that transport of LS can be enhanced by increasing the temperature and stirring speed of feed phase. Stirring of strip phase has no appreciable effects on the transport of LS …",67,"Extraction and recovery of lignosulfonate from its aqueous solution using bulk liquid membrane
K Chakrabarty, KV Krishna, P Saha, AK Ghoshal - Journal of Membrane science, 2009
Cited by 67 Related articles All 4 versions","{'2009': 1, '2010': 6, '2011': 11, '2012': 2, '2013': 5, '2014': 4, '2015': 9, '2016': 5, '2017': 4, '2018': 6, '2019': 5, '2020': 5, '2021': 1, '2022': 2, '2023': 1}",135-144,,
Batch growth kinetics of an indigenous mixed microbial culture utilizing m-cresol as the sole carbon source,"Pichiah Saravanan, K Pakshirajan, Prabirkumar Saha",2009/2/15,Journal of Hazardous Materials,162,1,Elsevier,"An indigenous mixed microbial culture, isolated from a sewage treatment plant located in Guwahati was used to study biodegradation of m-cresol in batch shake flasks. m-Cresol concentration in the growth media was varied from 100mg/L to 900mg/L. The degradation kinetics was found to follow a three-half-order model at all initial m-cresol concentrations with regression values greater than 0.97. A maximum observed specific degradation rate of 0.585h−1 was observed at 200mg/L m-cresol concentration in the medium. In the range of m-cresol concentrations used in the study, specific growth rate of the culture and specific degradation rates were observed to follow substrate inhibition kinetics. These two rates were fitted to kinetic models of Edward, Haldane, Luong, Han-Levenspiel, and Yano-Koga that are used to explain substrate inhibition on growth of microbial culture. Out of these models Luong and Han …",75,"Batch growth kinetics of an indigenous mixed microbial culture utilizing m-cresol as the sole carbon source
P Saravanan, K Pakshirajan, P Saha - Journal of Hazardous Materials, 2009
Cited by 75 Related articles All 11 versions","{'2009': 1, '2010': 7, '2011': 3, '2012': 7, '2013': 6, '2014': 4, '2015': 12, '2016': 7, '2017': 6, '2018': 5, '2019': 5, '2020': 6, '2021': 1, '2022': 3, '2023': 2}",476-481,,
Biodegradation of phenol and m-cresol in a batch and fed batch operated internal loop airlift bioreactor by indigenous mixed microbial culture predominantly Pseudomonas sp.,"P Saravanan, K Pakshirajan, Prabirkumar Saha",2008/12/1,Bioresource Technology,99,18,Elsevier,"An internal loop airlift reactor (ILALR) is developed and studied for biodegradation of phenol/m-cresol as single and dual substrate systems under batch and fed batch operation using an indigenous mixed microbial strain, predominantly Pseudomonas sp. The results showed that the culture could degrade phenol/m-cresol completely at a maximum concentration of 600mgl−1 and 400mgl−1, respectively. Batch ILALR study has revealed that phenol has been preferentially degraded by the microbial culture rather than m-cresol probably owing to the toxic effect of the later. Sum kinetic model evaluated the interaction between the phenol/m-cresol in dual substrate system, which resulted in a high coefficient of determination (R2) value >0.98). The fed batch results showed that the strain was able to degrade phenol/m-cresol with maximum individual concentrations 600mgl−1 each in 26h and 37h, respectively. Moreover …",108,"Biodegradation of phenol and m-cresol in a batch and fed batch operated internal loop airlift bioreactor by indigenous mixed microbial culture predominantly Pseudomonas sp.
P Saravanan, K Pakshirajan, P Saha - Bioresource Technology, 2008
Cited by 108 Related articles All 12 versions",{},8553-8558,,
Adaptive nonlinear DMC of hydrodealkylation process using Aspen Engineering Suite,"T Jithender Reddy, P Aadaleesan, Prabirkumar Saha",2008/11,Asia‐Pacific Journal of Chemical Engineering,3,6,"John Wiley & Sons, Ltd.","The Dynamic Matrix Control (DMC) is widely used in chemical and petrochemical industries for improving plant efficiency and reducing off‐spec products. While traditional DMC is a technique based on a linear model, the nonlinear extension of DMC is also being investigated by researchers since the early nineties. In this work, the Nonlinear Dynamic Matrix Control (NDMC) is improved to accomplish an on‐line model parameter adaptive process to make it an Adaptive Nonlinear DMC (ANDMC). The performance of the ANDMC is compared with a constant parameter NDMC for disturbance rejection. The entire simulation has been carried out using the commercial dynamic simulator Aspen™ Engineering Suite (2004.1). Copyright © 2008 Curtin University of Technology and John Wiley & Sons, Ltd.",0,"Adaptive nonlinear DMC of hydrodealkylation process using Aspen Engineering Suite
T Jithender Reddy, P Aadaleesan, P Saha - Asia‐Pacific Journal of Chemical Engineering, 2008
Related articles All 2 versions",{},680-687,,
"Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater treatment plant in Guwahati, India","Pichiah Saravanan, K Pakshirajan, PK Saha",2008/9,Water Science and Technology,58,5,IWA Publishing,"An indigenous mixed culture of microorganisms, isolated from a sewage treatment plant, was investigated for its potential to simultaneously degrade phenol and m-cresol during its growth in batch shake flasks. 22 full factorial designs with the two substrates as the factors, at two different levels and two different initial concentration ranges, were employed to carry out the biodegradation experiments. For complete utilisation of phenol and m-cresol, the culture took a minimum duration of 21 hrs at their low concentration of 100 mg/L each, and a maximum duration of 187 hrs at high concentration of 600 mg/L each in the multisubstrate system. The biodegradation results also showed that the presence of phenol in low concentration range (100–300 mg/L did not inhibit m-cresol biodegradation; on the other hand, presence of m-cresol inhibited phenol biodegradation by the culture. Moreover, irrespective of the …",5,"Kinetics of growth and multi substrate degradation by an indigenous mixed microbial culture isolated from a wastewater treatment plant in Guwahati, India
P Saravanan, K Pakshirajan, PK Saha - Water Science and Technology, 2008
Cited by 5 Related articles All 7 versions",{},1101-1106,,
Nonlinear system identification using Wiener type Laguerre–Wavelet network model,"P Aadaleesan, Nitin Miglan, Rajesh Sharma, Prabirkumar Saha",2008/8/1,Chemical Engineering Science,63,15,Pergamon,"Compact nonlinear black box models, capable of representing highly nonlinear systems, are of high demand both in industry and academia. In this paper it has been shown that the use of Laguerre basis filters coupled with a wavelet network in Wiener type model structure are capable of modeling highly nonlinear systems with acceptable accuracy. Although individual merits of orthonormal basis functions (especially Laguerre filters) and multiresolution wavelet decompositions and/or wavelet network have been well documented in various literatures on system identification in the past, their combinational advantages in nonlinear system identification has never been explored. Laguerre filter models have the ability to approximate linear systems (even with time delay) with a model order lower than the traditional ARX (e.g., FIR, AR) modeling. Use of Laguerre models for mildly nonlinear system is possible only with a …",64,"Nonlinear system identification using Wiener type Laguerre–Wavelet network model
P Aadaleesan, N Miglan, R Sharma, P Saha - Chemical Engineering Science, 2008
Cited by 64 Related articles All 6 versions","{'2009': 1, '2010': 5, '2011': 7, '2012': 5, '2013': 5, '2014': 3, '2015': 9, '2016': 6, '2017': 7, '2018': 4, '2019': 4, '2020': 2, '2021': 1, '2022': 3}",3932-3941,,
