Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Lymph node detection in CT scans using modified U-Net with residual learning and 3D deep network,"Nadeem Atif, Manas Bhuyan, Shaik Ahamed",2019/11/8,,,,IEEE,"Among various vibrant areas of research in computer vision, scene understanding is the one, which has garnered exceptional attention from the research community. This increased popularity should be credited to the accelerated research in deep learning techniques, mainly during the last decade. In scene understanding, one important step is semantic segmentation where the goal is to give each pixel of an image a proper object category label so that each object gets properly delineated. This technique is also known as scene parsing. One major challenge in this task is that it combines the problem of object detection, image segmentation and multi-class recognition. It encompasses a wide variety of practical applications such as autonomous driving, indoor navigation, virtual/augmented reality etc. This paper gives a review on semantic segmentation from a modern perspective by giving a special attention to deep …",21,"A review on semantic segmentation from a modern perspective
N Atif, M Bhuyan, S Ahamed - 2019 international conference on electrical, electronics …, 2019
Cited by 21 Related articles All 2 versions","{'2020': 5, '2021': 4, '2022': 6, '2023': 6}",1-6,,,"2019 international conference on electrical, electronics and computer engineering (UPCON)",,,,,
Development of an intelligent recognition system for dynamic mid-air gesticulation of isolated alphanumeric keys,Manas Kamal Bhuyan,2019/11/5,,,,CRC Press,"The book familiarizes readers with fundamental concepts and issues related to computer vision and major approaches that address them. The focus of the book is on image acquisition and image formation models, radiometric models of image formation, image formation in the camera, image processing concepts, concept of feature extraction and feature selection for pattern classification/recognition, and advanced concepts like object classification, object tracking, image-based rendering, and image registration. Intended to be a companion to a typical teaching course on computer vision, the book takes a problem-solving approach.",18,"Computer vision and image processing: Fundamentals and applications
MK Bhuyan - 2019
Cited by 18 Related articles All 3 versions","{'2020': 2, '2021': 4, '2022': 11, '2023': 1}",,,,,,,,,
Hand detection by two-level segmentation with double-tracking and gesture recognition using deep-features,"Tilendra Choudhary, MK Bhuyan, LN Sharma",2019/9/27,IEEE Sensors Journal,20,2,IEEE,"A framework to detect aortic valve opening (AO) phase with the help of seismocardiogram (SCG) signal is proposed. A small electronic circuit board is designed, which consists of 3-D MEMS based accelerometer, pre-amplifier, and filter. It is interfaced with standard data acquisition system to record SCG signals. The signal is decomposed using a proposed modified variational mode decomposition technique. In the first stage of decomposition, baseline drift is suppressed. Whereas, in the second stage, signal information related to AO instants are extracted. Gaussian derivative filtering is performed on each of the decomposed modes to enhance the systolic profiles. These filtered modes are named as Gaussian derivative filtered modes (GDFMs). The GDFMs with probable AO peaks are selected based on proposed relative GDFM energy (RGE). The signal is reconstructed from the selected GDFMs and it is …",24,"A novel method for aortic valve opening phase detection using SCG signal
T Choudhary, MK Bhuyan, LN Sharma - IEEE Sensors Journal, 2019
Cited by 24 Related articles All 2 versions","{'2020': 6, '2021': 7, '2022': 9, '2023': 2}",899-908,,,,,,,,
A saliency map-guided shape compactness for segmentation of polyps in colonoscopy images,"P Singh, M Bandyopadhyay, K Pandya, M Bhuyan, A Chakraborty",2019/8/23,Nuclear Fusion,59,10,IOP Publishing,"A proof of principle experiment has been performed for the in situ measurement of the work function in vacuum conditions (~ 10− 7 torr) relevant to cesium-seeded negative ion sources for fusion applications. The work function is measured using the principle of the photoelectric effect. The performance of the work function measurement setup and temperature-controlled cesium (Cs) oven has been characterized using various diagnostics such as a quartz crystal microbalance, a surface ionization detector and pressure measurements. The background impurities responsible for work function degradation are detected using the residual gas analyzer. The work function (⩽ 3.06 eV) and Cs flux (~ 10 12 atoms s− 1) have been measured directly at the sample surface during controlled Cs evaporation using a novel, inexpensive and portable design of the cathode–anode assembly.",8,"Characterization of in situ work function and cesium flux measurement setup suitable for cesium seeded negative ion source applications
P Singh, M Bandyopadhyay, K Pandya, M Bhuyan… - Nuclear Fusion, 2019
Cited by 8 Related articles All 3 versions","{'2019': 1, '2020': 2, '2021': 2, '2022': 2, '2023': 1}",106023,,,,,,,,
Two-stream fusion model using 3D-CNN and 2D-CNN via video-frames and optical flow motion templates for hand gesture recognition,"MJ Singh, AK Chakraborty, Mainak Bandyopadhyay, Jaydeep Joshi, Hitesh Patel, Kaushal Pandya, Sejal Shah, Agrajit Gahlaut, Ashish Yadav, Deepak Parmar, Dheeraj Sharma, Dhananjay Singh, Himanshu Tyagi, Kaushal Joshi, MV Nagaraju, Manas Bhuyan, Milind Patel, Ratnakar Yadav, Suraj Pillai, D Boilson, J Chareyre, B Schunke, C Rotti",2019/8/1,Nuclear Fusion,59,9,IOP Publishing,"The Indian test facility (INTF) is a R&D facility under development at the Institute for Plasma Research, Gandhinagar, as part of the neutral beam development from negative ion source program. The major advantage of the INTF, besides developing beams from large ion sources, is to characterize and benchmark the ITER diagnostic neutral beam (DNB) to the desired specifications over transport lengths of~ 21 m, a unique feature of this test bed. Such a study will establish the expected power to be delivered by DNB into the ITER plasma, an important parameter to estimate the S/N ratio expected from the He ash measurements by charge exchange recombination spectroscopy. It may be noted that DNB is a procurement package for India as an in-kind contribution to ITER. Extensive physics and thermomechanical calculations have been performed to finalize the component design and layout. Adequate choice of …",6,"R&D status of the Indian test facility for ITER diagnostic neutral beam characterization
MJ Singh, AK Chakraborty, M Bandyopadhyay, J Joshi… - Nuclear Fusion, 2019
Cited by 6 Related articles All 4 versions","{'2019': 1, '2020': 1, '2021': 1, '2022': 2, '2023': 1}",096034,,,,,,,,
Weakly Supervised Learning-based Reconstruction of Planktons in Digital In-line Holography,"Hibiki Toda, Yuji Iwahori, Hiroyasu Usami, Boonserm Kijsirikul, Manas Kamal Bhuyan, Naotaka Ogasawara, Kunio Kasugai",2019/7/7,,,,IEEE,"In the medical diagnosis, endoscopic polyps are examined and discrimination between benign and malignant is judged via the visual observation by a medical doctor. Estimating size of the polyp is important because the larger polyp tends to become malignant if the size is more than 1 cm since it is not easy to estimate the size of the polyp except medical doctors who have several years of experience. This paper proposes reliable correspondence between two images with a slight movment of endoscope using ORB features estimating the absolute size of polyp using blood vessel information in the endoscopic images. The effectiveness of the proposed approach is confirmed via experiments.",3,"Shape recovery of polyp using blood vessel detection and matching estimation by U-Net
H Toda, Y Iwahori, H Usami, B Kijsirikul, MK Bhuyan… - 2019 8th International Congress on Advanced Applied …, 2019
Cited by 3 Related articles All 2 versions",{'2021': 3},450-453,2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI),,,,,,,
"Design and development of a vision‐based system for detection, tracking and recognition of isolated dynamic bare hand gesticulated characters","Guodong Zhang, Guanghua Cheng, Manoj K Bhuyan, Ciro D’amico, Yishan Wang, Razvan Stoian",2019/7/1,Photonics Research,7,7,Optical Society of America,"Ultrashort pulsed Bessel beams with intrinsic nondiffractive character and potential strong excitation confinement down to 100 nm can show a series of advantages over Gaussian beams in fabricating efficient Bragg grating waveguides (BGWs). In this work, we focus on parameter management for the inscription of efficient BGWs using the point-by-point method employing Bessel beams. Due to their high aspect ratio, the resulting one-dimensional void-like structures can section the waveguides and interact efficiently with the optical modes. Effective first-order BGWs with low birefringence can then be fabricated in bulk fused silica. By controlling the size and the relative location of grating voids via the Bessel pulse energy and scan velocities, the resonant behaviors of BGWs can be well regulated. A high value of 34 dB for 8 mm length is achieved. A simple predictive model for BGWs is proposed for analyzing the …",19,"Ultrashort Bessel beam photoinscription of Bragg grating waveguides and their application as temperature sensors
G Zhang, G Cheng, MK Bhuyan, C D'amico, Y Wang… - Photonics Research, 2019
Cited by 19 Related articles All 9 versions","{'2020': 6, '2021': 6, '2022': 5, '2023': 2}",806-814,,,,,,,,
Hand Gesture Recognition Using CBAM-RetinaNet,"M Bandyopadhyay, AJ Deka, D Mukhopadhyay, P Singh, D Borah, A Pandey, H Tyagi, RK Yadav, M Bhuyan, P Bharathi, AK Chattopadhyay, K Pandya, MJ Singh, A Chakraborty",2019/7/1,Nuclear Fusion,59,8,IOP Publishing,"The characteristics of a negative hydrogen ion (H-) source and its neutralization efficiency determine the performance of a negative ion based neutral beam injector (NNBI). Therefore, for the safe operation of an NNBI system, it is necessary to monitor the performance of the ion source and its beam through a systematic characterization process. A judicious selection of different diagnostics based on electrical, optical and thermal types and including calorimetric techniques are required. In this regard, a number of diagnostics are being developed under the NNBI R&D program in the Indian Test Facility (INTF). These diagnostics are versatile in nature in terms of their working principles and independent prototype experimental efforts have been carried out to establish them and prepare them for operational use. Electrical probes (EP), optical emission spectroscopy and cavity ring down spectroscopy (CRDS) are mainly …",9,"Performance evaluation of various diagnostics developed for a negative ion based neutral beam injector program in IPR
M Bandyopadhyay, AJ Deka, D Mukhopadhyay… - Nuclear Fusion, 2019
Cited by 9 Related articles All 5 versions","{'2019': 1, '2020': 2, '2021': 3, '2022': 1, '2023': 2}",085001,,,,,,,,
Keyframe Selection from Colonoscopy Videos to Enhance Visualization for Polyp Detection,"Tilendra Choudhary, MK Bhuyan, LN Sharma",2019/6/7,,,,IEEE,"In this paper, an analysis of thoracic vibrations induced by cardiac activities is presented under two different breathing levels. These levels are associated to respiratory efforts in normal and stopped manner. Usually, the vibrations on the thoracic cavity are captured by the means of seismocardiogram (SCG) signal. Some morphological features are explored in this work towards the development of a SCG based discriminative method for characterizing these levels. The proposed method consists of five major steps: signal segmentation, heartbeat extraction with the help of annotations of aortic valve opening (AO) instants, synchronized beat averaging, feature-extraction, and featureselection scheme. Strengths of the proposed features kurtosis (K), energy of diastolic region (DE), amplitude of IM or IC instant (IA) and all their combinations are measured using two feature selection tests for better discrimination. Among …",8,"Effect of respiratory effort levels on SCG signals
T Choudhary, MK Bhuyan, LN Sharma - 2019 IEEE Region 10 Symposium (TENSYMP), 2019
Cited by 8 Related articles All 2 versions","{'2020': 5, '2021': 2, '2022': 1}",143-146,2019 IEEE Region 10 Symposium (TENSYMP),,,,,,,
Recovering Shape and Size from a Single Endoscope Image using Optimization,"Tilendra Choudhary, Manas Kamal Bhuyan, LN Sharma",2019/4/1,Biomedical Signal Processing and Control,50,,Elsevier,"Early diagnosis and prediction of heart diseases are essential to reduce the cardiac risks. Change in heart cycle morphologies is a vital diagnostic feature for cardiac clinical systems. A seismocardiogram (SCG) signal provides more detailed information of different cardiac phases in a heart cycle compared to other cardiac signals. Hence, heart cycle extraction using SCG is very important to examine cardiac activities. In this manuscript, an orthogonal subspace projection based framework is proposed to extract heart cycles from a SCG signal. The heart cycle is estimated by calculating intervals between consecutive aortic valve opening (AO) instants, and post aortic valve closing (postAC) instants. Orthogonal subspace projection is applied to the SCG signal on ECG subspace for AO peak detection. The signal generated from projection gives the locations of AO peaks in the SCG signal. The postAC peaks are …",14,"Orthogonal subspace projection based framework to extract heart cycles from SCG signal
T Choudhary, MK Bhuyan, LN Sharma - Biomedical Signal Processing and Control, 2019
Cited by 14 Related articles","{'2020': 7, '2021': 2, '2022': 5}",45-51,,,,,,,,
Vision-based continuous sign language spotting using Gaussian hidden Markov model,"Pranabjyoti Haloi, Prathik Gadde, MK Bhuyan",2019/3/21,,,,IEEE,"News video Indexing and story segmentation are one of the important steps for the creation of well categorized, organized and indexed video storage system. Such a system allows disciplined storage to cope with an increasing amount of data, and easier retrieval in the future for viewing. Keeping this approach in mind we proposed a News video Indexing and Story unit segmentation algorithm based on keywords obtained from the text displayed in the news frame during a news program. First with the help of our shot categorization algorithm we classify the news shots into commercial and news based on detection of spatial features of the particular News Channel. Then with the help of our shot indexing algorithm, we detect the presence of words in each frame of a shot and index each shot with a keyword. With the help of our Shot Combination algorithm, we combine the shots having similar keywords to form …",3,"News video indexing and story unit segmentation using text cue
P Haloi, P Gadde, MK Bhuyan - … on Wireless Communications Signal Processing and …, 2019
Cited by 3 Related articles","{'2021': 2, '2022': 1}",501-507,2019 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),,,,,,,
A selective region-based detection and tracking approach towards the recognition of dynamic bare hand gesture using deep neural network,"Pranabjyoti Haloi, Arnab Kisor Bordoloi, MK Bhuyan",2019/3/1,,,,IEEE,"Shot segmentation and categorization is one of the most important and primary steps in building efficient and well sorted video storage and retrieval system. News video story segmentation and commercial detection surely deserve special attention for creation of a well-categorized system as different types of news are being broadcast over a variety of news channels in television. However, in order to garner more viewers, different news channels use different spatial and temporal structures for broadcasting news. Keeping this approach in mind, we present an unsupervised method for shot detection, and subsequently, commercial and news shots are classified. The proposed method does not depend on different temporal and spatial structures adopted by different news channels, and our method needs significantly less number of manual parameters.",7,"Unsupervised broadcast news video shot segmentation and classification
P Haloi, AK Bordoloi, MK Bhuyan - 2019 2nd International Conference on Innovations in …, 2019
Cited by 7 Related articles","{'2020': 3, '2021': 2, '2022': 1}",243-251,"2019 2nd International Conference on Innovations in Electronics, Signal Processing and Communication (IESC)",,,,,,,
Semantic Masking: A Novel Technique to Mitigate the Class-Imbalance Problem in Real-Time Semantic Segmentation,"Hiroyasu Usami, Yuji Iwahori, Aili Wang, MK Bhuyan, Naotaka Ogasawara, Kunio Kasugai",2019/1/31,The Open Bioinformatics Journal,12,1,,"Background:
Polyp shapes play an important role in colorectal diagnosis. However, endoscopy images are usually composed of nonrigid objects such as a polyp. Hence, it is challenging for polyp shape recovery. It is demanded to establish a support system of the colorectal diagnosis system based on polyp shape.
Introduction:
Shape from Shading (SFS) is one valuable approach based on photoclinometry for polyp shape recovery. SFS and endoscope image are compatible on the first sight, but there are constraints for applying SFS to endoscope image. Those approaches need some parameters like a depth from the endoscope lens to the surface, and surface reflectance factor. Furthermore, those approaches assume the whole surface which has the same value of for the Lambertian surface.
Methods:
This paper contributes to mitigating constraint for applying SFS to the endoscope image based on a cue from the medical structure. An extracted medical suture is used to estimate parameters, and a method of polyp shape recovery method is proposed using both geometric and photometric constraint equations. Notably, the proposed method realizes polyp shape recovery from a single endoscope image.
Results:
From experiments it was confirmed that the approximate polyp model shape was recovered and the proposed method recovered absolute size and shape of polyp using medical suture information and obtained parameters from a single endoscope image.
Conclusion:
This paper proposed a polyp shape recovery method which mitigated the constraint for applying SFS to the endoscope image using the medical suture. Notably, the proposed …",1,"Polyp Shape Recovery from Single Endoscope Image using Medical Suture
H Usami, Y Iwahori, A Wang, MK Bhuyan… - The Open Bioinformatics Journal, 2019
Cited by 1 Related articles All 7 versions",{'2020': 1},,,,,,,,,
Extraction and Calculation of Roadway Area from Satellite Images Using Improved Deep Learning Model and Post-Processing,"Amit Vishwakarma, Manas Kamal Bhuyan, Debajit Sarma, Kangkana Bora",2019,,,,Springer International Publishing,"Multi-focus fusion technique is used to combine images obtained from single or different cameras with different focal distance, etc. In the proposed method, the non-subsampled shearlet transform (NSST) is employed to decompose the input image data into the low-frequency and high-frequency bands. These low-frequency and high-frequency bands are combined using sparse representation (SR) and modified difference based fusion rules, respectively. Then, inverse NSST is employed to get the fused image. Both qualitative and quantitative results confirm that the proposed approach yields a better performance as compared to state-of-the-art fusion schemes.",1,"Multi-focus image fusion using sparse representation and modified difference
A Vishwakarma, MK Bhuyan, D Sarma, K Bora - Pattern Recognition and Machine Intelligence: 8th …, 2019
Cited by 1 Related articles All 2 versions",{'2022': 1},482-489,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part I",,,,,,,
Non-contact heart rate measurement from facial video data using a 2d-vmd scheme,"Prabhanshu Purwar, Manas Kamal Bhuyan, Kangkana Bora, Debajit Sarma",2019,,,,Springer International Publishing,"Drug addiction among the population is a major social menace. This paper proposes an innovative method to offer a promising deterrent against alcohol abuse using Augmented Reality (AR) as a tool. The proposed method aims at traumatizing an alcoholic person by augmenting multiple multimedia objects in the vicinity of a person. A modified Parallel Tracking and Mapping (PTAM) technique has been proposed to create an AR workspace. For this, we have proposed an improvement in the Bundle Adjustment. A novel concept of map independence is incorporated in the PTAM, providing freedom of augmenting multimedia in the desired position. The major contribution of this paper is that a versatile AR platform is developed for a monocular camera-based system for educating alcoholic persons for overcoming alcohol addiction.",0,"Modified Parallel Tracking and Mapping for Augmented Reality as an alcohol deterrent
P Purwar, MK Bhuyan, K Bora, D Sarma - Pattern Recognition and Machine Intelligence: 8th …, 2019
Related articles All 2 versions",{},587-595,"Pattern Recognition and Machine Intelligence: 8th International Conference, PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part I",,,,,,,
Two-Stage Hand Gesture Recognition based on Hand Keypoints Localization,"Ryosuke Nakao, Yuji Iwahori, Yoshinori Adachi, Aili Wang, Manas Kamal Bhuyan, Boonserm Kijsirikul",2019/1/1,Procedia Computer Science,159,,Elsevier,Shape from Shading and Photometric Stereo are famous approaches to recover the 3D shape from image(s). These approaches can obtain 3D shape from observed gray scale image(s) but it is necessary to estimate reflectance parameters for objects when some specular reflectance components are observed. Specular reflectance is difficult to be handled as diffuse reflectance in general. It is expected to remove specular reflectance component without assuming any kind of reflectance function (reflectance model). This paper proposes a method to remove specular reflection components using 4 observed images taken under 4 different light source directions using relighting approach of diffused reflectance based on image linearization. Results are demonstrated via computer simulation and experiments.,3,"Detecting and Removing Specular Reflectance Components Based on Image Linearization
R Nakao, Y Iwahori, Y Adachi, A Wang, MK Bhuyan… - Procedia Computer Science, 2019
Cited by 3 Related articles All 2 versions",{},1576-1583,,,,,,,,
A Multiresolution Method for Non-Contact Heart Rate Estimation Using Facial Video Frames,"Sushmita Das, Ankur Deka, Yuji Iwahori, Manas Kamal Bhuyan, Takashi Iwamoto, Jun Ueda",2019/1/1,Procedia Computer Science,159,,Elsevier,"Nuclei segmentation is an important pre-processing step for any vision based cytopathological diagnostic system which extracts information from nuclei to perform tasks such as cancer detection. A cell nuclei segmentation pipeline should be robust, accurate and fast. We propose a deep learning based model, Contour-Aware Residual W-Net (WRC-Net), which consists of double U-Net, [5] or W-Net. The first U-Net learns to predict nuclei boundaries and the second generates the segmentation map. Our model can accurately segment a 128x128 dimensional image in less than 0.05s. Our model can learn from a very limited training data with as low as a single training image. We tested our model on real HE (Hematoxylin and Eosin) stained cell images and it showed better overall performance against previous state-of-the-art nuclei segmentation methods.",12,"Contour-aware residual W-Net for nuclei segmentation
S Das, A Deka, Y Iwahori, MK Bhuyan, T Iwamoto… - Procedia Computer Science, 2019
Cited by 12 Related articles All 2 versions","{'2020': 1, '2021': 6, '2022': 4, '2023': 1}",1479-1488,,,,,,,,
Overview of diagnostics on a small-scale RF source for fusion (ROBIN) and the one planned for the diagnostic beam for ITER,"Bhaskar Chaudhury, Nirbhay Ram, Agam Shah, Himanshu Tyagi, Manas Bhuyan, Kaushal Pandya, Mainak Bandyopadhyay",2019,APS Annual Gaseous Electronics Meeting Abstracts,,,,"Langmuir Probe based measurements of the current (I) at various applied voltages (V) is probably the simplest way to diagnose low temperature plasmas. The standard (classical) approach requires analysis of different regions of the IV curve for the determination of plasma parameters (electron density, temperature etc.). However, the classical approach can be error prone if there is a significant noise (due to collisions, RF noise, magnetic field etc.) in the Langmuir probe data resulting in inaccurate plasma characterization. To address this issue, we have developed a Machine Learning (ML) based algorithm to interpret the Langmuir probe based IV data obtained from ROBIN (inductively coupled single RF driver based negative ion source) experiments, wherein we have explored Convolutional Neural Networks (CNNs) for determining the plasma parameters. Our analysis indicates that the classical approach is …",0,"Machine Learning for Low Temperature Plasma Diagnostics
B Chaudhury, N Ram, A Shah, H Tyagi, M Bhuyan… - APS Annual Gaseous Electronics Meeting Abstracts, 2019
All 2 versions",{},QR3. 007,,,,,,,,
A curvelet-based multi-sensor image denoising for KLT-based image fusion,"Razvan Stoian, Manoj Kumar Bhuyan, Anton Rudenko, Jean-Philippe Colombier, Guanghua Cheng",2019/1/1,,4,1,Taylor & Francis,"Scales in the 100 nm range represent a generic cornerstone for laser material processing, enabling novel size-dependent functions on surfaces and in the bulk and thus a new range of technological applications. On these scales, the processed material acquires optical, transport or contact properties that do not only rely on local effects on singular topographic features but involve increasingly collective behaviors. Rapid access to sub-100 nm features with intense coherent light represents nevertheless a challenge in laser structuring in view of the optical diffraction limit. Ultrafast non-diffractive beams with controllable time envelopes can overcome this limit and achieve super-resolved processing, a prerequisite for the next generation of flexible and precise material processing tools. They show a remarkable capacity of structuring transparent materials with high degree of accuracy and exceptional aspect ratio. This …",35,"High-resolution material structuring using ultrafast laser non-diffractive beams
R Stoian, MK Bhuyan, A Rudenko, JP Colombier… - Advances in Physics: X, 2019
Cited by 35 Related articles All 5 versions","{'2019': 3, '2020': 11, '2021': 10, '2022': 7, '2023': 4}",1659180,,,Advances in Physics: X,,,,,
An unsupervised approach of colonic polyp segmentation using adaptive markov random fields,"Avish Kabra, Yuji Iwahori, Hiroyasu Usami, Manas Kamal Bhuyan, Naotaka Ogasawara, Kunio Kasugai",2019,,,,,Understanding the type of Polyp present in the body plays an important role in medical diagnosis. This paper proposes an approach to classify and cluster the polyp present in an Endoscopic scene into malignant or benign class. CNN and Self Organizing Maps are used to classify and cluster from white light and Narrow Band (NBI) Endoscopic Images. Using Competitive Neural Network different polyps available from previous data are plotted with the new polyp according to their structural similarity. Such kind of presentation not only help the doctor in it’s easy understanding but also helps him to know what kind of medical procedures were followed in similar cases.,1,"Polyp Classification and Clustering from Endoscopic Images using Competitive and Convolutional Neural Networks.
A Kabra, Y Iwahori, H Usami, MK Bhuyan… - ICPRAM, 2019
Cited by 1 Related articles All 2 versions",{'2022': 1},446-452,ICPRAM,,,,,,,
Edge Based Video Clip Searching and Retrieval in Broadcast News Videos,"Hiroyasu Usami, Yuji Iwahori, Manas Kamal Bhuyan, Aili Wang, Naotaka Ogasawara, Kunio Kasugai",2019,BIOIMAGING,2019,,,"The shape and size of a colonic polyp is a biomarker that correlates with its risk of malignancy and guides its clinical management. It is the most accurate method for detecting polyps of all sizes, and it allows biopsy of lesions and resection of most polyps, and it is considered nowadays as the gold standard for colon screening. However, there are still open challenges to overcome, such as the reduction of the missing rate. Colonoscopy images usually consist of nonrigid objects such as a polyp, and no approaches have been proposed to recovery shape and absolute size from a single image. Hence, it is a challenging topic to reconstruct polyp shape using computer vision technique. This paper proposes a polyp shape retrieval method based on Shape from Shading (SFS), and this research contributes to mitigating constraint for applying SFS to the single colonoscopy image using vascular border information. Experiments confirmed that the proposed method recovered approximate polyp shapes.",3,"Polyp Shape Recovery using Vascular Border from Single Colonoscopy Image.
H Usami, Y Iwahori, MK Bhuyan, A Wang… - BIOIMAGING, 2019
Cited by 3 Related articles","{'2020': 1, '2021': 1, '2022': 1}",104-111,,,,,,,,
Improvement of Polyp Detection using MUNIT for Image Generation,"Debajit Sarma, MK Bhuyan",2018/12/16,,,,IEEE,"Vision-based hand gesture recognition involves visual analysis of hand shape, position and/or movement. Most of the previous approaches require complex gesture representation as well as selection of robust features for proper gesture recognition. In this paper, a model-based method for hand gesture recognition has been presented using convolutional neural network. The model is fed with trajectory-to-contour based images obtained from isolated trajectory gesture through segmentation and tracking the hand motion, thereby estimating the hand motion trajectory for recognition. Conventional methods can extract low-level features, while deep learning approaches learn image features hierarchically from local to global with multiple layers of abstraction from vast number of sample images. Feature learning capability of CNN architecture has given outstanding results on three different datasets.",10,"Hand gesture recognition using deep network through trajectory-to-contour based images
D Sarma, MK Bhuyan - 2018 15th IEEE India council international conference …, 2018
Cited by 10 Related articles All 2 versions","{'2020': 4, '2021': 3, '2022': 3}",1-6,2018 15th IEEE India council international conference (INDICON),,,,,,,
Lymph-node Detection and Metastasis Classification from CT Images using a Single U-Net Model,"Pradipta Sasmal, Yuji Iwahori, MK Bhuyan, Kunio Kasugai",2018/12/7,,,,IEEE,"Capsule endoscopy (CE) is an reliable diagnostic modality for detecting any abnormality in the gastrointestinal (GI) tract. Polyp is one such abnormalities which need to be detected early before it becomes malignant. A high accuracy in detecting and predicting polyp type during colonoscopy would help an endoscopists a great deal. In this paper, an automated framework for efficient classification of such polyps as malignant or benign in endoscopic images has been devised.. However, The classification has put many challenges because of difference in geometry, lighting condition and other factors. A deep convolutional neural network (CNN) with Fully connected layer has been employed to train a network and subsequently used for classification of polyp types. Since, there is no availability of labelled data, we manually labelled each frame as benign or malignant using kudo's classification. Data augmentation was …",4,"Classification of polyps in capsule endoscopic images using cnn
P Sasmal, Y Iwahori, MK Bhuyan, K Kasugai - 2018 IEEE Applied Signal Processing Conference …, 2018
Cited by 4 Related articles","{'2020': 2, '2021': 1, '2022': 1}",253-256,2018 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
The effect of neon ion irradiation on tungsten for next generation fusion reactor,"Barnajit Ghosh, MK Bhuyan, Pradipta Sasmal, Yuji Iwahori, Prathik Gadde",2018/12/7,,,,IEEE,"In this paper, we propose a transfer learning based method to classify PCB images into two classes - i) True Defect and ii) Pseudo Defect A pre-trained Inception-V3 model is used for transfer learning and the mid-level representations of the PCB images are extracted from the output of an intermediate layer of the pre-trained model. These mid-level representations of the PCB images are used to train a small adaptation network, which makes the overall network suitable for classification of PCB images. In order to tackle overfitting, regularization strategies are implemented. The results of our experiment, conducted on real world PCB images, show a significant improvement in the classification accuracy as compared to previous work.",23,"Defect classification of printed circuit boards based on transfer learning
B Ghosh, MK Bhuyan, P Sasmal, Y Iwahori, P Gadde - 2018 IEEE Applied Signal Processing Conference …, 2018
Cited by 23 Related articles","{'2019': 1, '2020': 3, '2021': 7, '2022': 8, '2023': 4}",245-248,2018 IEEE Applied Signal Processing Conference (ASPCON),,,,,,,
Removal of self co-articulation and recognition of dynamic hand gestures using deep architectures,"Anjan Kumar Talukdar, MK Bhuyan",2018/12/6,,,,IEEE,This paper presents a novel framework for movement epenthesis detection in continuous fingerspelling sequence for H.264/AVC compressed videos. The framework is based on the motion vectors partially decoded from the compressed videos which are already inherent in them. We have used a three-level filter block to remove the stray motion vectors present in the videos. Then the most significant moving part which is the hand and/or fingers in sign language videos are identified. After that the sign and movement epenthesis frames are separated out based on the observation that hand/finger(s) changes their positions faster compared to other objects present in the video during movement epenthesis phase. The proposed framework is tested on a number of American Sign Language video sequences encoded with H.264/AVC JM encoder.,4,"Movement epenthesis detection in continuous fingerspelling from a coarsely sampled motion vector field in H. 264/AVC video
AK Talukdar, MK Bhuyan - 2018 IEEE Recent Advances in Intelligent …, 2018
Cited by 4 Related articles","{'2021': 2, '2022': 2}",26-30,2018 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,,,
Automatic detection of lst-type polyp by cnn using depth map,"Amit Vishwakarma, Manas Kamal Bhuyan, Yuji Iwahori",2018/12,Multimedia Tools and Applications,77,,Springer US,"Existing image fusion methods can not efficiently capture significant edges, texture and fine details of the source images due to inefficient fusion framework. In addition, for objective evaluation of fusion algorithms, not much attention is given to simultaneously measure both texture and structural information of the source images which are preserved in the fused image. To address these issues, non-subsampled shearlet transform (NSST) is used to decompose pre-registered source images into low- and high-frequency components. These low- and high-frequency coefficients are fused by using our proposed modified weighted salience and local difference fusion rules, respectively. To enrich edge information in the fused image, Canny edge detector with scale multiplication is employed. Moreover, a metric QTS is proposed to jointly measure both texture and structural information present in the fused image …",10,"Non-subsampled shearlet transform-based image fusion using modified weighted saliency and local difference
A Vishwakarma, MK Bhuyan, Y Iwahori - Multimedia Tools and Applications, 2018
Cited by 10 Related articles All 4 versions","{'2019': 2, '2020': 3, '2021': 4, '2022': 1}",32013-32040,,,,,,,,
